,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,669 HK,Techtronic Industries Co Ltd,,,,,,,,,,55%,32%,$     129.90,$          78.67,$         114.98,$           174.40,$         180.41,2.73%,1.08%,1.71%,7.23%,407.42%,416.43%,124%,,,,,,,NO,,,2.60%,0.98%,1.62%,0.03%,54
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Techtronic Industries Co Ltd - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,2.35%,11/10/2017,,,,,,,,,,$        109.08,-16%,1.42%,$          171.16,$          25.50,$             25.60,$           18.39,0.96%,2.35%,1.70%,1.06%,-25.52%,-25.52%,-12%,,,,5Y CAGR,2.07%,,Techtronic Industries Co Ltd - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,15.64%,,Techtronic Industries Co Ltd - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Techtronic Industries Co Ltd - Rating: 55% - Upside: 32%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                        31.00,,,12/29/2014,,12/29/2014,,,,,1.40%,$              31.00,0.43,40.01,18.39,25.50,58%,29%,1.08%,2.35%,5.97%,319.03%,327.86%,2.7375,1.70%,0.00%,,1997,0.00,-,55,,,0,0.98%,25,25,0.96%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                        31.50,,,1/5/2015,,1/5/2015,,,,,1.37%,$              31.50,0.43,40.01,18.39,25.50,61%,27%,1.08%,2.35%,5.87%,312.38%,321.07%,2.7375,1.70%,0.00%,,1998,0.00,,32,,,1,1.01%,40,65,1.54%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        31.70,,,1/12/2015,,1/12/2015,,,,,1.36%,$              31.70,0.43,40.01,18.39,25.50,62%,26%,1.08%,2.35%,5.84%,309.78%,318.41%,2.7375,1.70%,0.00%,,1999,0.00,,,,,2,1.04%,32,97,1.23%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                        31.85,,,1/19/2015,,1/20/2015,,,,,1.36%,$              31.85,0.43,40.01,18.39,25.50,62%,26%,1.08%,2.35%,5.81%,307.85%,316.44%,2.7375,1.70%,0.00%,,2000,0.00,,1/1/1970,1970,,3,1.07%,36,133,1.39%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       30.85,,,1/26/2015,,1/26/2015,,,,,1.40%,$             30.85,0.43,40.01,18.39,25.50,58%,30%,1.08%,2.35%,6.00%,321.07%,329.94%,2.7375,1.70%,-3.14%,,2001,0.00,,1/1/1971,1971,,4,1.10%,25,158,0.96%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                       29.40,,,2/2/2015,,2/2/2015,,,,,1.47%,$             29.40,0.43,40.01,18.39,25.50,51%,36%,1.08%,2.35%,6.29%,341.84%,351.15%,2.7375,1.70%,-7.69%,,2002,0.07,,1/1/1972,1972,,5,1.13%,31,189,1.19%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                       29.70,,,2/9/2015,,2/9/2015,,,,,1.46%,$             29.70,0.43,40.01,18.39,25.50,52%,35%,1.08%,2.35%,6.23%,337.37%,346.59%,2.7375,1.70%,-6.75%,,2003,0.09,32.69%,1/1/1973,1973,,6,1.16%,28,217,1.08%
