,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,AAPL US,Apple,,,,,,,,,,,,$    333.02,,,,,,,,,,,,,,,,,,NO,,,,,,,
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,1.38%,,Apple - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,,11/10/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,5Y CAGR,2.74%,,Apple - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,5.91%,,Apple - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       26.34,,,12/29/2014,,12/29/2014,,,,,2.12%,$             26.34,0.56,,,,,,,,3.61%,,,2.6375,,0.00%,,1997,0.00,-,,,,0,,,,
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       25.68,,,1/5/2015,,1/5/2015,,,,,2.17%,$             25.68,0.56,,,,,,,,3.70%,,,2.6375,,-2.51%,,1998,0.00,,,,,1,,,,
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        25.18,,,1/12/2015,,1/12/2015,,,,,2.21%,$              25.18,0.56,,,,,,,,3.77%,,,2.6375,,-4.41%,,1999,0.00,,,,,2,,,,
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                         24.11,,,1/20/2015,,1/20/2015,,,,,2.31%,$               24.11,0.56,,,,,,,,3.94%,,,2.6375,,-8.45%,,2000,0.00,,1/1/1970,1970,,3,,,,
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       24.24,,,1/26/2015,,1/26/2015,,,,,2.30%,$             24.24,0.56,,,,,,,,3.92%,,,2.6375,,-7.96%,,2001,0.00,,1/1/1971,1971,,4,,,,
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                       24.63,,,2/2/2015,,2/2/2015,,,,,2.26%,$             24.63,0.56,,,,,,,,3.86%,,,2.6375,,-6.47%,,2002,0.00,,1/1/1972,1972,,5,,,,
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                       24.99,,,2/9/2015,,2/9/2015,,,,,2.23%,$             24.99,0.56,,,,,,,,3.80%,,,2.6375,,-5.12%,,2003,0.00,,1/1/1973,1973,,6,,,,
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                       24.35,,,2/17/2015,,2/17/2015,,,,,2.29%,$             24.35,0.56,,,,,,,,3.90%,,,2.6375,,-7.56%,,2004,0.00,,1/1/1974,1974,,7,,,,
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                       24.88,,,2/23/2015,,2/23/2015,,,,,2.24%,$             24.88,0.56,,,,,,,,3.82%,,,2.6375,,-5.53%,,2005,0.00,,1/1/1975,1975,,8,,,,
