,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,ABBN SW,ABB Ltd,,,,,,,,,,149%,-25%,$       80.00,$           19.65,$          28.43,$             88.56,$          60.23,5.55%,1.44%,2.97%,5.83%,455.39%,455.39%,170%,,,,,,,NO,,,5.01%,1.02%,3.99%,0.05%,80
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,1.18%,,ABB Ltd - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,4.43%,11/10/2017,,,,,,,,,,$          28.43,-64%,1.09%,$          60.23,$           24.18,$              14.40,$            16.71,0.98%,4.43%,3.06%,0.95%,-9.67%,-9.67%,-10%,,,,5Y CAGR,1.69%,,ABB Ltd - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,1.63%,,ABB Ltd - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,ABB Ltd - Rating: 149% - Upside: -25%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                        16.74,,,12/29/2014,,12/29/2014,,,,,4.42%,16.74 CHF,0.74,51.23,16.71,24.18,0%,206%,1.44%,4.43%,5.02%,378.03%,396.44%,3.08,3.06%,0.00%,,1997,0.00,-,149,,,0,1.02%,28,28,1.06%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,16.73 CHF,,,1/5/2015,,1/5/2015,,,,,4.42%,16.73 CHF,0.74,51.23,16.71,24.18,0%,206%,1.44%,4.43%,5.02%,378.31%,396.73%,3.08,3.06%,-0.06%,,1998,0.00,,-25,,,1,1.07%,20,48,0.75%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,16.54 CHF,,,1/12/2015,,1/12/2015,,,,,4.47%,16.54 CHF,0.74,51.23,16.71,24.18,0%,210%,1.44%,4.43%,5.08%,383.61%,402.23%,3.08,3.06%,-1.15%,,1999,0.00,,,,,2,1.12%,5,53,0.19%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,16.22 CHF,,,1/19/2015,,1/20/2015,,,,,4.56%,16.22 CHF,0.74,51.23,16.71,24.18,-1%,216%,1.44%,4.43%,5.18%,393.11%,412.09%,3.08,3.06%,-3.06%,,2000,0.00,,1/1/1970,1970,,3,1.17%,8,61,0.30%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,15.87 CHF,,,1/26/2015,,1/26/2015,,,,,4.66%,15.87 CHF,0.74,51.23,16.71,24.18,-2%,223%,1.44%,4.43%,5.29%,404.20%,423.62%,3.08,3.06%,-5.19%,,2001,0.00,,1/1/1971,1971,,4,1.22%,16,77,0.60%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,15.80 CHF,,,2/2/2015,,2/2/2015,,,,,4.68%,15.80 CHF,0.74,51.23,16.71,24.18,-3%,224%,1.44%,4.43%,5.32%,406.36%,425.86%,3.08,3.06%,-5.59%,,2002,0.00,,1/1/1972,1972,,5,1.27%,21,98,0.79%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,16.10 CHF,,,2/9/2015,,2/9/2015,,,,,4.60%,16.10 CHF,0.74,51.23,16.71,24.18,-2%,218%,1.44%,4.43%,5.22%,396.95%,416.08%,3.08,3.06%,-3.81%,,2003,0.00,,1/1/1973,1973,,6,1.32%,8,106,0.30%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,16.22 CHF,,,2/16/2015,,2/17/2015,,,,,4.56%,16.22 CHF,0.74,51.23,16.71,24.18,-1%,216%,1.44%,4.43%,5.18%,393.11%,412.09%,3.08,3.06%,-3.06%,,2004,0.00,,1/1/1974,1974,,7,1.37%,6,112,0.23%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,16.21 CHF,,,2/23/2015,,2/23/2015,,,,,4.56%,16.21 CHF,0.74,51.23,16.71,24.18,-1%,216%,1.44%,4.43%,5.18%,393.40%,412.40%,3.08,3.06%,-3.11%,,2005,0.00,,1/1/1975,1975,,8,1.42%,22,134,0.83%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,15.57 CHF,,,3/2/2015,,3/2/2015,,,,,4.75%,15.57 CHF,0.74,51.23,16.71,24.18,-3%,229%,1.44%,4.43%,5.40%,413.89%,433.68%,3.08,3.06%,-6.98%,,2006,0.12,,1/1/1976,1976,,9,1.47%,38,172,1.43%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,15.53 CHF,,,3/9/2015,,3/9/2015,,,,,4.77%,15.53 CHF,0.74,51.23,16.71,24.18,-3%,230%,1.44%,4.43%,5.41%,415.17%,435.01%,3.08,3.06%,-7.21%,,2007,0.24,100.00%,1/1/1977,1977,,10,1.52%,30,202,1.13%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,15.88 CHF,,,3/16/2015,,3/16/2015,,,,,4.66%,15.88 CHF,0.74,51.23,16.71,24.18,-2%,223%,1.44%,4.43%,5.29%,403.90%,423.30%,3.08,3.06%,-5.13%,,2008,0.48,100.00%,1/1/1978,1978,,11,1.57%,18,220,0.68%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,15.49 CHF,,,3/23/2015,,3/23/2015,,,,,4.78%,15.49 CHF,0.74,51.23,16.71,24.18,-4%,231%,1.44%,4.43%,5.42%,416.46%,436.34%,3.08,3.06%,-7.44%,,2009,0.48,0.00%,1/1/1979,1979,,12,1.62%,26,246,0.98%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,15.70 CHF,,,3/30/2015,,3/30/2015,,,,,4.71%,15.70 CHF,0.74,51.23,16.71,24.18,-3%,226%,1.44%,4.43%,5.35%,409.47%,429.09%,3.08,3.06%,-6.17%,,2010,0.51,6.25%,1/1/1980,1980,,13,1.67%,37,283,1.39%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,16.19 CHF,,,4/7/2015,,4/6/2015,,,,,4.57%,16.19 CHF,0.74,51.23,16.71,24.18,-2%,216%,1.44%,4.43%,5.19%,393.99%,413.01%,3.08,3.06%,-3.23%,,2011,0.60,17.65%,1/1/1981,1981,,14,1.72%,81,364,3.05%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,16.01 CHF,,,4/13/2015,,4/13/2015,,,,,4.62%,16.01 CHF,0.74,51.23,16.71,24.18,-2%,220%,1.44%,4.43%,5.25%,399.65%,418.88%,3.08,3.06%,-4.33%,,2012,0.65,8.33%,1/1/1982,1982,,15,1.77%,71,435,2.68%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,16.33 CHF,,,4/20/2015,,4/20/2015,,,,,4.53%,16.33 CHF,0.74,51.23,16.71,24.18,-1%,214%,1.44%,4.43%,5.14%,389.90%,408.76%,3.08,3.06%,-2.42%,,2013,0.68,4.62%,1/1/1983,1983,,16,1.82%,56,491,2.11%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,16.72 CHF,,,4/27/2015,,4/27/2015,,,,,4.43%,16.72 CHF,0.74,51.23,16.71,24.18,0%,206%,1.44%,4.43%,5.03%,378.59%,397.01%,3.08,3.06%,-0.12%,,2014,0.70,2.94%,1/1/1984,1984,,17,1.87%,19,510,0.72%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,16.59 CHF,,,5/4/2015,,5/4/2015,,,,,4.46%,16.59 CHF,0.74,51.23,16.71,24.18,0%,209%,1.44%,4.43%,5.06%,382.21%,400.77%,3.08,3.06%,-0.87%,,2015,0.72,2.86%,1/1/1985,1985,,18,1.92%,21,531,0.79%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,16.89 CHF,,,5/11/2015,,5/11/2015,,,,,4.38%,16.89 CHF,0.74,51.23,16.71,24.18,1%,203%,1.44%,4.43%,4.97%,373.66%,391.90%,3.08,3.06%,0.00%,,2016,0.74,2.78%,1/1/1986,1986,,19,1.97%,6,537,0.23%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,16.86 CHF,,,5/18/2015,,5/18/2015,,,,,4.39%,16.86 CHF,0.74,51.23,16.71,24.18,0%,204%,1.44%,4.43%,4.98%,374.48%,392.75%,3.08,3.06%,-0.17%,,2017,0.76,2.70%,1/1/1987,1987,,20,2.02%,17,554,0.64%
,,,,,,,,,,,,,,,,,,2016,2/2/2016,16.71 CHF,,,5/26/2015,,5/26/2015,,,,,4.43%,16.71 CHF,0.74,51.23,16.71,24.18,0%,207%,1.44%,4.43%,5.03%,378.86%,397.30%,3.08,3.06%,-1.09%,,2018,0.78,2.63%,1/1/1988,1988,,21,2.07%,18,572,0.68%
,,,,,,,,,,,,,,,,,,2016,2/3/2016,16.63 CHF,,,6/1/2015,,6/1/2015,,,,,4.45%,16.63 CHF,0.74,51.23,16.71,24.18,0%,208%,1.44%,4.43%,5.05%,381.09%,399.61%,3.08,3.06%,-1.54%,,2019,0.80,2.56%,1/1/1989,1989,,22,2.12%,18,590,0.68%
,,,,,,,,,,,,,,,,,,2016,2/4/2016,16.93 CHF,,,6/8/2015,,6/8/2015,,,,,4.37%,16.93 CHF,0.74,51.23,16.71,24.18,1%,203%,1.44%,4.43%,4.96%,372.58%,390.78%,3.08,3.06%,0.00%,,2020,0.80,0.00%,1/1/1990,1990,,23,2.17%,4,594,0.15%
,,,,,,,,,,,,,,,,,,2016,2/5/2016,16.99 CHF,,,6/15/2015,,6/15/2015,,,,,4.36%,16.99 CHF,0.74,51.23,16.71,24.18,1%,202%,1.44%,4.43%,4.95%,370.97%,389.11%,3.08,3.06%,0.00%,,2021,0.80,0.00%,1/1/1991,1991,,24,2.22%,13,607,0.49%
,,,,,,,,,,,,,,,,,,2016,2/8/2016,16.30 CHF,,,6/22/2015,,6/22/2015,,,,,4.54%,16.30 CHF,0.74,51.23,16.71,24.18,-1%,214%,1.44%,4.43%,5.15%,390.77%,409.67%,3.08,3.06%,-4.03%,,2022,0.82,2.50%,1/1/1992,1992,,25,2.27%,9,616,0.34%
,,,,,,,,,,,,,,,,,,2016,2/9/2016,15.92 CHF,,,6/29/2015,,6/29/2015,,,,,4.65%,15.92 CHF,0.74,51.23,16.71,24.18,-2%,222%,1.44%,4.43%,5.27%,402.37%,421.71%,3.08,3.06%,-6.25%,,2023,0.84,2.44%,1/1/1993,1993,,26,2.32%,10,626,0.38%
,,,,,,,,,,,,,,,,,,2016,2/10/2016,16.11 CHF,,,7/6/2015,,7/6/2015,,,,,4.59%,16.11 CHF,0.74,51.23,16.71,24.18,-2%,218%,1.44%,4.43%,5.21%,396.65%,415.77%,3.08,3.06%,-5.17%,,2024,0.87,3.57%,1/1/1994,1994,,27,2.37%,57,683,2.15%
,,,,,,,,,,,,,,,,,,2016,2/11/2016,15.61 CHF,,,7/13/2015,,7/13/2015,,,,,4.74%,15.61 CHF,0.74,51.23,16.71,24.18,-3%,228%,1.44%,4.43%,5.38%,412.62%,432.36%,3.08,3.06%,-8.12%,,2025,0.87,0.00%,1/1/1995,1995,,28,2.42%,56,739,2.11%
,,,,,,,,,,,,,,,,,,2016,2/12/2016,15.93 CHF,,,7/20/2015,,7/20/2015,,,,,4.64%,15.93 CHF,0.74,51.23,16.71,24.18,-2%,222%,1.44%,4.43%,5.27%,402.07%,421.40%,3.08,3.06%,-6.19%,,2026,0.87,0.00%,1/1/1996,1996,,29,2.47%,61,800,2.30%
,,,,,,,,,,,,,,,,,,2016,2/15/2016,16.49 CHF,,,7/27/2015,,7/27/2015,,,,,4.49%,16.49 CHF,0.74,51.23,16.71,24.18,-1%,211%,1.44%,4.43%,5.09%,385.03%,403.70%,3.08,3.06%,-2.90%,,,,,1/1/1997,1997,,30,2.52%,51,851,1.92%
,,,,,,,,,,,,,,,,,,2016,2/16/2016,16.59 CHF,,,8/3/2015,,8/3/2015,,,,,4.46%,16.59 CHF,0.74,51.23,16.71,24.18,0%,209%,1.44%,4.43%,5.06%,382.21%,400.77%,3.08,3.06%,-2.33%,,,,,1/1/1998,1998,,31,2.57%,56,907,2.11%
,,,,,,,,,,,,,,,,,,2016,2/17/2016,17.15 CHF,,,8/10/2015,,8/10/2015,,,,,4.31%,17.15 CHF,0.74,51.23,16.71,24.18,1%,199%,1.44%,4.43%,4.90%,366.47%,384.43%,3.08,3.06%,0.00%,,,,,1/1/1999,1999,,32,2.62%,62,969,2.34%
,,,,,,,,,,,,,,,,,,2016,2/18/2016,17.17 CHF,,,8/17/2015,,8/17/2015,,,,,4.31%,17.17 CHF,0.74,51.23,16.71,24.18,1%,198%,1.44%,4.43%,4.89%,365.94%,383.88%,3.08,3.06%,0.00%,,,,,1/1/2000,2000,,33,2.67%,65,1034,2.45%
,,,,,,,,,,,,,,,,,,2016,2/19/2016,17.07 CHF,,,8/24/2015,,8/24/2015,,,,,4.33%,17.07 CHF,0.74,51.23,16.71,24.18,1%,200%,1.44%,4.43%,4.92%,368.58%,386.62%,3.08,3.06%,-0.56%,,,,,1/1/2001,2001,,34,2.72%,53,1087,2.00%
