,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,ABBV US,Abbvie,,,,,,,,,,118%,-8%,$    259.36,$         123.61,$        179.57,$           261.07,$       238.54,7.32%,2.90%,4.05%,11.57%,406.76%,431.59%,123%,,,,,,,NO,,,6.58%,2.65%,3.93%,0.05%,79
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,5.34%,,Abbvie - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,5.60%,11/10/2017,,,,,,,,,,$        179.57,-31%,2.67%,$       238.54,$           59.17,$               51.18,$          40.73,2.61%,5.60%,3.85%,2.27%,-0.65%,-0.65%,-25%,,,,5Y CAGR,5.88%,,Abbvie - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,11.74%,,Abbvie - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Abbvie - Rating: 118% - Upside: -8%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                        57.61,,,12/29/2014,,12/29/2014,,,,,3.96%,$              57.61,2.28,78.59,40.73,59.17,45%,36%,2.90%,5.60%,10.28%,350.20%,372.26%,12.71,3.85%,0.00%,,1997,0.00,-,118,,,0,2.65%,20,20,0.75%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       57.37,,,1/5/2015,,1/5/2015,,,,,3.97%,$             57.37,2.28,78.59,40.73,59.17,44%,37%,2.90%,5.60%,10.32%,352.08%,374.24%,12.71,3.85%,-0.42%,,1998,0.00,,-8,,,1,2.70%,23,43,0.87%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       57.38,,,1/12/2015,,1/12/2015,,,,,3.97%,$             57.38,2.28,78.59,40.73,59.17,44%,37%,2.90%,5.60%,10.32%,352.00%,374.15%,12.71,3.85%,-0.40%,,1999,0.00,,,,,2,2.75%,15,58,0.57%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                        57.21,,,1/20/2015,,1/20/2015,,,,,3.99%,$              57.21,2.28,78.59,40.73,59.17,44%,37%,2.90%,5.60%,10.35%,353.35%,375.56%,12.71,3.85%,-0.69%,,2000,0.00,,1/1/1970,1970,,3,2.80%,33,91,1.24%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       55.65,,,1/26/2015,,1/26/2015,,,,,4.10%,$             55.65,2.28,78.59,40.73,59.17,39%,41%,2.90%,5.60%,10.64%,366.06%,388.89%,12.71,3.85%,-3.40%,,2001,0.00,,1/1/1971,1971,,4,2.85%,29,120,1.09%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                       53.88,,,2/2/2015,,2/2/2015,,,,,4.23%,$             53.88,2.28,78.59,40.73,59.17,35%,46%,2.90%,5.60%,10.99%,381.37%,404.96%,12.71,3.85%,-6.47%,,2002,0.00,,1/1/1972,1972,,5,2.90%,28,148,1.06%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                       54.84,,,2/9/2015,,2/9/2015,,,,,4.16%,$             54.84,2.28,78.59,40.73,59.17,37%,43%,2.90%,5.60%,10.80%,372.94%,396.12%,12.71,3.85%,-4.81%,,2003,0.00,,1/1/1973,1973,,6,2.95%,22,170,0.83%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                         51.18,,,2/17/2015,,2/17/2015,,,,,4.45%,$               51.18,2.28,78.59,40.73,59.17,28%,54%,2.90%,5.60%,11.57%,406.76%,431.59%,12.71,3.85%,-11.16%,,2004,0.00,,1/1/1974,1974,,7,3.00%,32,202,1.21%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                       54.56,,,2/23/2015,,2/23/2015,,,,,4.18%,$             54.56,2.28,78.59,40.73,59.17,37%,44%,2.90%,5.60%,10.85%,375.37%,398.66%,12.71,3.85%,-5.29%,,2005,0.00,,1/1/1975,1975,,8,3.05%,41,243,1.54%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                       57.34,,,3/2/2015,,3/2/2015,,,,,3.98%,$             57.34,2.28,78.59,40.73,59.17,44%,37%,2.90%,5.60%,10.32%,352.32%,374.49%,12.71,3.85%,-0.47%,,2006,0.00,,1/1/1976,1976,,9,3.10%,48,291,1.81%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                       54.99,,,3/9/2015,,3/9/2015,,,,,4.15%,$             54.99,2.28,78.59,40.73,59.17,38%,43%,2.90%,5.60%,10.77%,371.65%,394.76%,12.71,3.85%,-4.55%,,2007,0.00,,1/1/1977,1977,,10,3.15%,50,341,1.88%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                        57.15,,,3/16/2015,,3/16/2015,,,,,3.99%,$              57.15,2.28,78.59,40.73,59.17,43%,38%,2.90%,5.60%,10.36%,353.82%,376.06%,12.71,3.85%,-0.80%,,2008,0.00,,1/1/1978,1978,,11,3.20%,39,380,1.47%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                       58.36,,,3/23/2015,,3/23/2015,,,,,3.91%,$             58.36,2.28,78.59,40.73,59.17,47%,35%,2.90%,5.60%,10.14%,344.41%,366.19%,12.71,3.85%,0.00%,,2009,0.00,,1/1/1979,1979,,12,3.25%,30,410,1.13%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,$                                                       58.83,,,3/30/2015,,3/30/2015,,,,,3.88%,$             58.83,2.28,78.59,40.73,59.17,48%,34%,2.90%,5.60%,10.06%,340.86%,362.47%,12.71,3.85%,0.00%,,2010,0.00,,1/1/1980,1980,,13,3.30%,35,445,1.32%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,$                                                       58.65,,,4/6/2015,,4/6/2015,,,,,3.89%,$             58.65,2.28,78.59,40.73,59.17,47%,34%,2.90%,5.60%,10.09%,342.22%,363.89%,12.71,3.85%,-0.31%,,2011,0.00,,1/1/1981,1981,,14,3.35%,36,481,1.36%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,$                                                       58.26,,,4/13/2015,,4/13/2015,,,,,3.91%,$             58.26,2.28,78.59,40.73,59.17,46%,35%,2.90%,5.60%,10.16%,345.18%,366.99%,12.71,3.85%,-0.97%,,2012,0.00,,1/1/1982,1982,,15,3.40%,76,557,2.86%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,$                                                         57.11,,,4/20/2015,,4/20/2015,,,,,3.99%,$               57.11,2.28,78.59,40.73,59.17,43%,38%,2.90%,5.60%,10.37%,354.14%,376.40%,12.71,3.85%,-2.92%,,2013,1.60,,1/1/1983,1983,,16,3.45%,67,624,2.52%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,$                                                       55.85,,,4/27/2015,,4/27/2015,,,,,4.08%,$             55.85,2.28,78.59,40.73,59.17,40%,41%,2.90%,5.60%,10.60%,364.39%,387.14%,12.71,3.85%,-5.07%,,2014,1.66,3.75%,1/1/1984,1984,,17,3.50%,95,719,3.58%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,$                                                       54.90,,,5/4/2015,,5/4/2015,,,,,4.15%,$             54.90,2.28,78.59,40.73,59.17,37%,43%,2.90%,5.60%,10.78%,372.42%,395.57%,12.71,3.85%,-6.68%,,2015,2.02,21.69%,1/1/1985,1985,,18,3.55%,84,803,3.17%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,$                                                       54.39,,,5/11/2015,,5/11/2015,,,,,4.19%,$             54.39,2.28,78.59,40.73,59.17,36%,45%,2.90%,5.60%,10.88%,376.85%,400.22%,12.71,3.85%,-7.55%,,2016,2.28,12.87%,1/1/1986,1986,,19,3.60%,101,904,3.81%
,,,,,,,,,,,,,,,,,,2016,2/2/2016,$                                                       53.95,,,5/18/2015,,5/18/2015,,,,,4.23%,$             53.95,2.28,78.59,40.73,59.17,35%,46%,2.90%,5.60%,10.97%,380.74%,404.30%,12.71,3.85%,-8.30%,,2017,2.56,12.28%,1/1/1987,1987,,20,3.65%,101,1005,3.81%
,,,,,,,,,,,,,,,,,,2016,2/3/2016,$                                                       56.84,,,5/26/2015,,5/26/2015,,,,,4.01%,$             56.84,2.28,78.59,40.73,59.17,43%,38%,2.90%,5.60%,10.42%,356.30%,378.66%,12.71,3.85%,-3.38%,,2018,3.59,40.23%,1/1/1988,1988,,21,3.70%,95,1100,3.58%
,,,,,,,,,,,,,,,,,,2016,2/4/2016,$                                                       56.76,,,6/1/2015,,6/1/2015,,,,,4.02%,$             56.76,2.28,78.59,40.73,59.17,42%,38%,2.90%,5.60%,10.43%,356.94%,379.33%,12.71,3.85%,-3.52%,,2019,4.28,19.22%,1/1/1989,1989,,22,3.75%,89,1189,3.35%
,,,,,,,,,,,,,,,,,,2016,2/5/2016,$                                                        53.12,,,6/8/2015,,6/8/2015,,,,,4.29%,$              53.12,2.28,78.59,40.73,59.17,33%,48%,2.90%,5.60%,11.14%,388.25%,412.18%,12.71,3.85%,-9.71%,,2020,4.72,10.28%,1/1/1990,1990,,23,3.80%,118,1307,4.45%
,,,,,,,,,,,,,,,,,,2016,2/8/2016,$                                                       52.89,,,6/15/2015,,6/15/2015,,,,,4.31%,$             52.89,2.28,78.59,40.73,59.17,32%,49%,2.90%,5.60%,11.19%,390.38%,414.41%,12.71,3.85%,-10.10%,,2021,5.20,10.17%,1/1/1991,1991,,24,3.85%,108,1415,4.07%
,,,,,,,,,,,,,,,,,,2016,2/9/2016,$                                                       53.48,,,6/22/2015,,6/22/2015,,,,,4.26%,$             53.48,2.28,78.59,40.73,59.17,34%,47%,2.90%,5.60%,11.07%,384.97%,408.73%,12.71,3.85%,-9.09%,,2022,5.64,8.46%,1/1/1992,1992,,25,3.90%,70,1485,2.64%
,,,,,,,,,,,,,,,,,,2016,2/10/2016,$                                                       52.72,,,6/29/2015,,6/29/2015,,,,,4.32%,$             52.72,2.28,78.59,40.73,59.17,32%,49%,2.90%,5.60%,11.23%,391.96%,416.07%,12.71,3.85%,-10.39%,,2023,5.92,4.96%,1/1/1993,1993,,26,3.95%,97,1582,3.65%
,,,,,,,,,,,,,,,,,,2016,2/11/2016,$                                                        52.18,,,7/6/2015,,7/6/2015,,,,,4.37%,$              52.18,2.28,78.59,40.73,59.17,30%,51%,2.90%,5.60%,11.35%,397.05%,421.41%,12.71,3.85%,-11.30%,,2024,6.20,4.73%,1/1/1994,1994,,27,4.00%,75,1657,2.83%
,,,,,,,,,,,,,,,,,,2016,2/12/2016,$                                                       52.58,,,7/13/2015,,7/13/2015,,,,,4.34%,$             52.58,2.28,78.59,40.73,59.17,31%,49%,2.90%,5.60%,11.26%,393.27%,417.44%,12.71,3.85%,-10.62%,,2025,6.56,5.81%,1/1/1995,1995,,28,4.05%,59,1716,2.22%
,,,,,,,,,,,,,,,,,,2016,2/16/2016,$                                                        53.51,,,7/20/2015,,7/20/2015,,,,,4.26%,$              53.51,2.28,78.59,40.73,59.17,34%,47%,2.90%,5.60%,11.06%,384.69%,408.45%,12.71,3.85%,-9.04%,,2026,6.92,5.49%,1/1/1996,1996,,29,4.10%,38,1754,1.43%
,,,,,,,,,,,,,,,,,,2016,2/17/2016,$                                                        55.01,,,7/27/2015,,7/27/2015,,,,,4.14%,$              55.01,2.28,78.59,40.73,59.17,38%,43%,2.90%,5.60%,10.76%,371.48%,394.58%,12.71,3.85%,-6.49%,,,,,1/1/1997,1997,,30,4.15%,46,1800,1.73%
,,,,,,,,,,,,,,,,,,2016,2/18/2016,$                                                       54.55,,,8/3/2015,,8/3/2015,,,,,4.18%,$             54.55,2.28,78.59,40.73,59.17,37%,44%,2.90%,5.60%,10.85%,375.45%,398.75%,12.71,3.85%,-7.28%,,,,,1/1/1998,1998,,31,4.20%,22,1822,0.83%
,,,,,,,,,,,,,,,,,,2016,2/19/2016,$                                                       54.29,,,8/10/2015,,8/10/2015,,,,,4.20%,$             54.29,2.28,78.59,40.73,59.17,36%,45%,2.90%,5.60%,10.90%,377.73%,401.14%,12.71,3.85%,-7.72%,,,,,1/1/1999,1999,,32,4.25%,37,1859,1.39%
,,,,,,,,,,,,,,,,,,2016,2/22/2016,$                                                       55.28,,,8/17/2015,,8/17/2015,,,,,4.12%,$             55.28,2.28,78.59,40.73,59.17,38%,42%,2.90%,5.60%,10.71%,369.18%,392.17%,12.71,3.85%,-6.03%,,,,,1/1/2000,2000,,33,4.30%,25,1884,0.94%
,,,,,,,,,,,,,,,,,,2016,2/23/2016,$                                                       55.07,,,8/24/2015,,8/24/2015,,,,,4.14%,$             55.07,2.28,78.59,40.73,59.17,38%,43%,2.90%,5.60%,10.75%,370.96%,394.04%,12.71,3.85%,-6.39%,,,,,1/1/2001,2001,,34,4.35%,26,1910,0.98%
,,,,,,,,,,,,,,,,,,2016,2/24/2016,$                                                       54.89,,,8/31/2015,,8/31/2015,,,,,4.15%,$             54.89,2.28,78.59,40.73,59.17,37%,43%,2.90%,5.60%,10.79%,372.51%,395.66%,12.71,3.85%,-6.70%,,,,,1/1/2002,2002,,35,4.40%,31,1941,1.17%
,,,,,,,,,,,,,,,,,,2016,2/25/2016,$                                                       56.20,,,9/8/2015,,9/8/2015,,,,,4.06%,$             56.20,2.28,78.59,40.73,59.17,41%,40%,2.90%,5.60%,10.53%,361.49%,384.11%,12.71,3.85%,-4.47%,,,,,1/1/2003,2003,,36,4.45%,40,1981,1.51%
,,,,,,,,,,,,,,,,,,2016,2/26/2016,$                                                       56.00,,,9/14/2015,,9/14/2015,,,,,4.07%,$             56.00,2.28,78.59,40.73,59.17,40%,40%,2.90%,5.60%,10.57%,363.14%,385.84%,12.71,3.85%,-4.81%,,,,,1/1/2004,2004,,37,4.50%,34,2015,1.28%
,,,,,,,,,,,,,,,,,,2016,2/29/2016,$                                                        54.61,,,9/21/2015,,9/21/2015,,,,,4.18%,$              54.61,2.28,78.59,40.73,59.17,37%,44%,2.90%,5.60%,10.84%,374.93%,398.21%,12.71,3.85%,-7.17%,,,,,1/1/2005,2005,,38,4.55%,13,2028,0.49%
,,,,,,,,,,,,,,,,,,2016,3/1/2016,$                                                       56.34,,,9/28/2015,,9/28/2015,,,,,4.05%,$             56.34,2.28,78.59,40.73,59.17,41%,39%,2.90%,5.60%,10.51%,360.35%,382.91%,12.71,3.85%,-4.23%,,,,,1/1/2006,2006,,39,4.60%,17,2045,0.64%
,,,,,,,,,,,,,,,,,,2016,3/2/2016,$                                                       55.70,,,10/5/2015,,10/5/2015,,,,,4.09%,$             55.70,2.28,78.59,40.73,59.17,40%,41%,2.90%,5.60%,10.63%,365.64%,388.46%,12.71,3.85%,-5.32%,,,,,1/1/2007,2007,,40,4.65%,17,2062,0.64%
,,,,,,,,,,,,,,,,,,2016,3/3/2016,$                                                       55.93,,,10/12/2015,,10/12/2015,,,,,4.08%,$             55.93,2.28,78.59,40.73,59.17,40%,41%,2.90%,5.60%,10.58%,363.72%,386.45%,12.71,3.85%,-4.93%,,,,,1/1/2008,2008,,41,4.70%,18,2080,0.68%
,,,,,,,,,,,,,,,,,,2016,3/4/2016,$                                                        56.15,,,10/19/2015,,10/19/2015,,,,,4.06%,$              56.15,2.28,78.59,40.73,59.17,41%,40%,2.90%,5.60%,10.54%,361.91%,384.54%,12.71,3.85%,-4.56%,,,,,1/1/2009,2009,,42,4.75%,41,2121,1.54%
,,,,,,,,,,,,,,,,,,2016,3/7/2016,$                                                       56.40,,,10/26/2015,,10/26/2015,,,,,4.04%,$             56.40,2.28,78.59,40.73,59.17,41%,39%,2.90%,5.60%,10.50%,359.86%,382.39%,12.71,3.85%,-4.13%,,,,,1/1/2010,2010,,43,4.80%,45,2166,1.70%
,,,,,,,,,,,,,,,,,,2016,3/8/2016,$                                                       55.32,,,11/2/2015,,11/2/2015,,,,,4.12%,$             55.32,2.28,78.59,40.73,59.17,39%,42%,2.90%,5.60%,10.70%,368.84%,391.81%,12.71,3.85%,-5.97%,,,,,1/1/2011,2011,,44,4.85%,40,2206,1.51%
,,,,,,,,,,,,,,,,,,2016,3/9/2016,$                                                       56.39,,,11/9/2015,,11/9/2015,,,,,4.04%,$             56.39,2.28,78.59,40.73,59.17,41%,39%,2.90%,5.60%,10.50%,359.94%,382.48%,12.71,3.85%,-4.15%,,,,,1/1/2012,2012,,45,4.90%,34,2240,1.28%
,,,,,,,,,,,,,,,,,,2016,3/10/2016,$                                                       56.23,,,11/16/2015,,11/16/2015,,,,,4.05%,$             56.23,2.28,78.59,40.73,59.17,41%,40%,2.90%,5.60%,10.53%,361.25%,383.85%,12.71,3.85%,-4.42%,,,,,1/1/2013,2013,,46,4.95%,25,2265,0.94%
,,,,,,,,,,,,,,,,,,2016,3/11/2016,$                                                       57.73,,,11/23/2015,,11/23/2015,,,,,3.95%,$             57.73,2.28,78.59,40.73,59.17,45%,36%,2.90%,5.60%,10.25%,349.26%,371.28%,12.71,3.85%,-1.87%,,,,,1/1/2014,2014,,47,5.00%,22,2287,0.83%
,,,,,,,,,,,,,,,,,,2016,3/14/2016,$                                                        57.21,,,11/30/2015,,11/30/2015,,,,,3.99%,$              57.21,2.28,78.59,40.73,59.17,44%,37%,2.90%,5.60%,10.35%,353.35%,375.56%,12.71,3.85%,-2.75%,,,,,1/1/2015,2015,,48,5.05%,14,2301,0.53%
,,,,,,,,,,,,,,,,,,2016,3/15/2016,$                                                       55.62,,,12/7/2015,,12/7/2015,,,,,4.10%,$             55.62,2.28,78.59,40.73,59.17,39%,41%,2.90%,5.60%,10.64%,366.31%,389.16%,12.71,3.85%,-5.46%,,,,,1/1/2016,2016,,49,5.10%,11,2312,0.41%
,,,,,,,,,,,,,,,,,,2016,3/16/2016,$                                                        56.31,,,12/14/2015,,12/14/2015,,,,,4.05%,$              56.31,2.28,78.59,40.73,59.17,41%,40%,2.90%,5.60%,10.51%,360.59%,383.16%,12.71,3.85%,-4.28%,,,,,1/1/2017,2017,,50,5.15%,12,2324,0.45%
,,,,,,,,,,,,,,,,,,2016,3/17/2016,$                                                       55.32,,,12/21/2015,,12/21/2015,,,,,4.12%,$             55.32,2.28,78.59,40.73,59.17,39%,42%,2.90%,5.60%,10.70%,368.84%,391.81%,12.71,3.85%,-5.97%,,,,,1/1/2018,2018,,51,5.20%,18,2342,0.68%
,,,,,,,,,,,,,,,,,,2016,3/18/2016,$                                                       56.57,,,12/28/2015,,12/28/2015,,,,,4.03%,$             56.57,2.28,78.59,40.73,59.17,42%,39%,2.90%,5.60%,10.46%,358.48%,380.94%,12.71,3.85%,-3.84%,,,,,1/1/2019,2019,,52,5.25%,23,2365,0.87%
,,,,,,,,,,,,,,,,,,2016,3/21/2016,$                                                        56.01,,,1/4/2016,,1/4/2016,,,,,4.07%,$              56.01,2.28,78.59,40.73,59.17,40%,40%,2.90%,5.60%,10.57%,363.06%,385.75%,12.71,3.85%,-4.79%,,,,,1/1/2020,2020,,53,5.30%,26,2391,0.98%
,,,,,,,,,,,,,,,,,,2016,3/22/2016,$                                                       57.50,,,1/11/2016,,1/11/2016,,,,,3.97%,$             57.50,2.28,78.59,40.73,59.17,44%,37%,2.90%,5.60%,10.30%,351.06%,373.17%,12.71,3.85%,-2.26%,,,,,,,,54,5.35%,32,2423,1.21%
,,,,,,,,,,,,,,,,,,2016,3/23/2016,$                                                       56.36,,,1/19/2016,,1/19/2016,,,,,4.05%,$             56.36,2.28,78.59,40.73,59.17,41%,39%,2.90%,5.60%,10.50%,360.18%,382.74%,12.71,3.85%,-4.20%,,,,,,,,55,5.40%,27,2450,1.02%
,,,,,,,,,,,,,,,,,,2016,3/24/2016,$                                                        56.12,,,1/25/2016,,1/25/2016,,,,,4.06%,$              56.12,2.28,78.59,40.73,59.17,41%,40%,2.90%,5.60%,10.55%,362.15%,384.80%,12.71,3.85%,-4.61%,,,,,,,,56,5.45%,25,2475,0.94%
,,,,,,,,,,,,,,,,,,2016,3/28/2016,$                                                         56.11,,,2/1/2016,,2/1/2016,,,,,4.06%,$               56.11,2.28,78.59,40.73,59.17,41%,40%,2.90%,5.60%,10.55%,362.23%,384.89%,12.71,3.85%,-4.62%,,,,,,80%,,57,5.50%,19,2494,0.72%
,,,,,,,,,,,,,,,,,,2016,3/29/2016,$                                                       57.05,,,2/8/2016,,2/8/2016,,,,,4.00%,$             57.05,2.28,78.59,40.73,59.17,43%,38%,2.90%,5.60%,10.38%,354.62%,376.90%,12.71,3.85%,-3.03%,,,,,,81%,,58,5.55%,15,2509,0.57%
,,,,,,,,,,,,,,,,,,2016,3/30/2016,$                                                       57.00,,,2/16/2016,,2/16/2016,,,,,4.00%,$             57.00,2.28,78.59,40.73,59.17,43%,38%,2.90%,5.60%,10.39%,355.02%,377.32%,12.71,3.85%,-3.11%,,,,,,82%,,59,5.60%,10,2519,0.38%
,,,,,,,,,,,,,,,,,,2016,3/31/2016,$                                                        57.12,,,2/22/2016,,2/22/2016,,,,,3.99%,$              57.12,2.28,78.59,40.73,59.17,43%,38%,2.90%,5.60%,10.36%,354.06%,376.31%,12.71,3.85%,-2.91%,,,,,,83%,,60,5.65%,7,2526,0.26%
,,,,,,,,,,,,,,,,,,2016,4/1/2016,$                                                       57.42,,,2/29/2016,,2/29/2016,,,,,3.97%,$             57.42,2.28,78.59,40.73,59.17,44%,37%,2.90%,5.60%,10.31%,351.69%,373.82%,12.71,3.85%,-2.40%,,,,,,84%,,61,5.70%,11,2537,0.41%
,,,,,,,,,,,,,,,,,,2016,4/4/2016,$                                                        59.21,,,3/7/2016,,3/7/2016,,,,,3.85%,$              59.21,2.28,78.59,40.73,59.17,49%,33%,2.90%,5.60%,10.00%,338.03%,359.50%,12.71,3.85%,0.00%,,,,,,85%,,62,5.75%,10,2547,0.38%
,,,,,,,,,,,,,,,,,,2016,4/5/2016,$                                                       58.54,,,3/14/2016,,3/14/2016,,,,,3.89%,$             58.54,2.28,78.59,40.73,59.17,47%,34%,2.90%,5.60%,10.11%,343.05%,364.76%,12.71,3.85%,-1.13%,,,,,,86%,,63,5.80%,8,2555,0.30%
,,,,,,,,,,,,,,,,,,2016,4/6/2016,$                                                       59.89,,,3/21/2016,,3/21/2016,,,,,3.81%,$             59.89,2.28,78.59,40.73,59.17,51%,31%,2.90%,5.60%,9.88%,333.06%,354.28%,12.71,3.85%,0.00%,,,,,,87%,,64,5.85%,7,2562,0.26%
,,,,,,,,,,,,,,,,,,2016,4/7/2016,$                                                       59.30,,,3/28/2016,,3/28/2016,,,,,3.84%,$             59.30,2.28,78.59,40.73,59.17,49%,33%,2.90%,5.60%,9.98%,337.37%,358.80%,12.71,3.85%,-0.99%,,,,,,88%,,65,5.90%,4,2566,0.15%
,,,,,,,,,,,,,,,,,,2016,4/8/2016,$                                                       58.47,,,4/4/2016,,4/4/2016,,,,,3.90%,$             58.47,2.28,78.59,40.73,59.17,47%,34%,2.90%,5.60%,10.12%,343.58%,365.32%,12.71,3.85%,-2.37%,,,,,,89%,,66,5.95%,3,2569,0.11%
,,,,,,,,,,,,,,,,,,2016,4/11/2016,$                                                       58.50,,,4/11/2016,,4/11/2016,,,,,3.90%,$             58.50,2.28,78.59,40.73,59.17,47%,34%,2.90%,5.60%,10.12%,343.35%,365.08%,12.71,3.85%,-2.32%,,,,,,90%,,67,6.00%,7,2576,0.26%
,,,,,,,,,,,,,,,,,,2016,4/12/2016,$                                                       59.89,,,4/18/2016,,4/18/2016,,,,,3.81%,$             59.89,2.28,78.59,40.73,59.17,51%,31%,2.90%,5.60%,9.88%,333.06%,354.28%,12.71,3.85%,0.00%,,,,,,91%,,68,6.05%,4,2580,0.15%
,,,,,,,,,,,,,,,,,,2016,4/13/2016,$                                                       59.06,,,4/25/2016,,4/25/2016,,,,,3.86%,$             59.06,2.28,78.59,40.73,59.17,48%,33%,2.90%,5.60%,10.02%,339.15%,360.67%,12.71,3.85%,-1.39%,,,,,,92%,,69,6.10%,1,2581,0.04%
,,,,,,,,,,,,,,,,,,2016,4/14/2016,$                                                       59.28,,,5/2/2016,,5/2/2016,,,,,3.85%,$             59.28,2.28,78.59,40.73,59.17,49%,33%,2.90%,5.60%,9.99%,337.52%,358.96%,12.71,3.85%,-1.02%,,,,,,93%,,70,6.15%,3,2584,0.11%
,,,,,,,,,,,,,,,,,,2016,4/15/2016,$                                                        59.51,,,5/9/2016,,5/9/2016,,,,,3.83%,$              59.51,2.28,78.59,40.73,59.17,50%,32%,2.90%,5.60%,9.95%,335.83%,357.18%,12.71,3.85%,-0.63%,,,,,,94%,,71,6.20%,2,2586,0.08%
,,,,,,,,,,,,,,,,,,2016,4/18/2016,$                                                       59.88,,,5/16/2016,,5/16/2016,,,,,3.81%,$             59.88,2.28,78.59,40.73,59.17,51%,31%,2.90%,5.60%,9.89%,333.13%,354.36%,12.71,3.85%,-0.02%,,,,,,95%,,72,6.25%,8,2594,0.30%
