,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,ACKB BB,Ackermans & van Haaren NV,,,,,,,,,,132%,-11%,$    265.80,$        150.72,$        187.07,$          298.00,$       237.78,2.27%,1.30%,1.67%,3.08%,164.48%,172.96%,169%,,,,,,,NO,,,2.21%,1.08%,1.14%,0.02%,57
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Ackermans & van Haaren NV - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,2.06%,11/10/2017,,,,,,,,,,$        187.07,-30%,1.17%,$       237.78,$         118.28,$           100.50,$          95.30,1.04%,2.06%,1.66%,1.04%,-10.81%,-10.81%,-16%,,,,5Y CAGR,5.70%,,Ackermans & van Haaren NV - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,4.69%,,Ackermans & van Haaren NV - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Ackermans & van Haaren NV - Rating: 132% - Upside: -11%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                      131.95,,,12/29/2014,,12/29/2014,,,,,1.49%,€              131.95,1.96,150.34,95.30,118.28,67%,14%,1.30%,2.06%,2.35%,101.44%,107.90%,8.52,1.66%,0.00%,,1997,0.00,-,132,,,0,1.08%,20,,0.74%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,€                                                        131.85,,,1/5/2015,,1/5/2015,,,,,1.49%,€              131.85,1.96,150.34,95.30,118.28,66%,14%,1.30%,2.06%,2.35%,101.59%,108.05%,8.52,1.66%,-0.08%,,1998,0.00,,-11,,,1,1.10%,17,,0.63%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,€                                                        131.00,,,1/12/2015,,1/12/2015,,,,,1.50%,€              131.00,1.96,150.34,95.30,118.28,65%,15%,1.30%,2.06%,2.37%,102.90%,109.40%,8.52,1.66%,-0.72%,,1999,0.00,,,,,2,1.12%,20,,0.74%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,€                                                       128.45,,,1/19/2015,,1/20/2015,,,,,1.53%,€             128.45,1.96,150.34,95.30,118.28,60%,17%,1.30%,2.06%,2.41%,106.93%,113.56%,8.52,1.66%,-2.65%,,2000,0.00,,1/1/1970,1970,,3,1.14%,20,,0.74%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,€                                                        126.15,,,1/26/2015,,1/26/2015,,,,,1.55%,€              126.15,1.96,150.34,95.30,118.28,56%,19%,1.30%,2.06%,2.46%,110.70%,117.46%,8.52,1.66%,-4.40%,,2001,0.00,,1/1/1971,1971,,4,1.16%,18,,
