,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,ACO/X CN,Atco Ltd/Canada,,,,,,,,,,115%,-7%,$       79.75,$          37.70,$          48.90,$               80.11,$          74.34,6.20%,2.56%,3.82%,6.78%,184.21%,184.21%,122%,,,,,,,NO,,,5.49%,2.34%,3.15%,0.04%,79
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Atco Ltd/Canada - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,5.05%,11/10/2017,,,,,,,,,,$          48.90,-39%,2.39%,$          74.34,$          29.30,$             28.06,$          22.59,2.31%,5.05%,3.89%,2.37%,-0.45%,-0.45%,-19%,,,,5Y CAGR,1.19%,,Atco Ltd/Canada - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,5.25%,,Atco Ltd/Canada - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Atco Ltd/Canada - Rating: 115% - Upside: -7%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       35.34,,,12/29/2014,,12/29/2014,,,,,3.23%,$             35.34,1.14,44.55,22.59,29.30,58%,26%,2.56%,5.05%,5.38%,125.66%,141.44%,5.5756,3.89%,0.00%,,1997,0.00,-,115,,,0,2.34%,21,21,0.79%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       35.46,,,1/5/2015,,1/5/2015,,,,,3.21%,$             35.46,1.14,44.55,22.59,29.30,59%,26%,2.56%,5.05%,5.36%,124.90%,140.62%,5.5756,3.89%,0.00%,,1998,0.00,,-7,,,1,2.38%,9,30,0.34%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        35.15,,,1/12/2015,,1/12/2015,,,,,3.24%,$              35.15,1.14,44.55,22.59,29.30,57%,27%,2.56%,5.05%,5.41%,126.88%,142.75%,5.5756,3.89%,-0.87%,,1999,0.00,,,,,2,2.42%,38,68,1.43%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       34.20,,,1/19/2015,,1/20/2015,,,,,3.33%,$             34.20,1.14,44.55,22.59,29.30,53%,30%,2.56%,5.05%,5.56%,133.19%,149.49%,5.5756,3.89%,-3.55%,,2000,0.00,,1/1/1970,1970,,3,2.46%,18,86,0.68%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       35.40,,,1/26/2015,,1/26/2015,,,,,3.22%,$             35.40,1.14,44.55,22.59,29.30,58%,26%,2.56%,5.05%,5.37%,125.28%,141.03%,5.5756,3.89%,-0.17%,,2001,0.00,,1/1/1971,1971,,4,2.50%,12,98,0.45%
