,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,ADM US,Archer-Daniels-Midland,,,,,,,,,,78%,12%,$       85.92,$           48.12,$           61.89,$             98.22,$          96.47,4.91%,1.87%,2.86%,6.14%,193.14%,198.72%,129%,,,,,,,NO,,,4.22%,1.66%,2.56%,0.04%,64
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Archer-Daniels-Midland - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,3.74%,11/10/2017,,,,,,,,,,$           61.89,-28%,2.09%,$          96.47,$           41.26,$              29.31,$          32.08,1.63%,3.74%,2.91%,1.83%,-12.52%,-12.52%,-24%,,,,5Y CAGR,3.99%,,Archer-Daniels-Midland - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,4.14%,,Archer-Daniels-Midland - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Archer-Daniels-Midland - Rating: 78% - Upside: 12%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       35.84,,,12/29/2014,,12/29/2014,,,,,3.35%,$             35.84,1.20,64.32,32.08,41.26,12%,79%,1.87%,3.74%,5.02%,139.73%,154.30%,5.22,2.91%,0.00%,,1997,0.00,-,78,,,0,1.66%,22,22,0.83%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       36.24,,,1/5/2015,,1/5/2015,,,,,3.31%,$             36.24,1.20,64.32,32.08,41.26,13%,77%,1.87%,3.74%,4.97%,137.09%,151.49%,5.22,2.91%,0.00%,,1998,0.00,,12,,,1,1.70%,23,45,0.87%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       35.36,,,1/12/2015,,1/12/2015,,,,,3.39%,$             35.36,1.20,64.32,32.08,41.26,10%,82%,1.87%,3.74%,5.09%,142.99%,157.75%,5.22,2.91%,-2.43%,,1999,0.00,,,,,2,1.74%,19,64,0.72%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       34.52,,,1/20/2015,,1/20/2015,,,,,3.48%,$             34.52,1.20,64.32,32.08,41.26,8%,86%,1.87%,3.74%,5.21%,148.90%,164.02%,5.22,2.91%,-4.75%,,2000,0.00,,1/1/1970,1970,,3,1.78%,27,91,1.02%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       34.39,,,1/26/2015,,1/26/2015,,,,,3.49%,$             34.39,1.20,64.32,32.08,41.26,7%,87%,1.87%,3.74%,5.23%,149.84%,165.02%,5.22,2.91%,-5.10%,,2001,0.00,,1/1/1971,1971,,4,1.82%,28,119,1.06%
