,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,ADP US,Automatic Data Processing,,,,,,,,,,15%,39%,$    250.09,$       232.37,$        291.46,$           326.81,$       348.50,3.36%,1.81%,2.21%,6.66%,223.36%,237.04%,152%,,,,,,,NO,,,3.15%,1.62%,1.53%,0.02%,77
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,7.06%,,Automatic Data Processing - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,2.72%,11/10/2017,,,,,,,,,,$        291.46,17%,2.53%,$       348.50,$           99.61,$             77.34,$          79.42,1.54%,2.72%,2.17%,1.58%,-23.48%,-23.48%,-38%,,,,5Y CAGR,10.54%,,Automatic Data Processing - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,11.33%,,Automatic Data Processing - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Automatic Data Processing - Rating: 15% - Upside: 39%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       82.07,,,12/29/2014,,12/29/2014,,,,,2.63%,$             82.07,2.16,119.11,79.42,99.61,7%,45%,1.81%,2.72%,6.28%,204.73%,217.62%,10.58,2.17%,0.00%,,1997,0.00,-,15,,,0,1.62%,9,9,0.34%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       82.27,,,1/5/2015,,1/5/2015,,,,,2.63%,$             82.27,2.16,119.11,79.42,99.61,7%,45%,1.81%,2.72%,6.26%,203.99%,216.85%,10.58,2.17%,0.00%,,1998,0.00,,39,,,1,1.64%,12,21,0.45%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        81.26,,,1/12/2015,,1/12/2015,,,,,2.66%,$              81.26,2.16,119.11,79.42,99.61,5%,47%,1.81%,2.72%,6.34%,207.77%,220.79%,10.58,2.17%,-1.23%,,1999,0.00,,,,,2,1.66%,14,35,0.53%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       78.78,,,1/20/2015,,1/20/2015,,,,,2.74%,$             78.78,2.16,119.11,79.42,99.61,-2%,51%,1.81%,2.72%,6.54%,217.45%,230.88%,10.58,2.17%,-4.24%,,2000,0.00,,1/1/1970,1970,,3,1.68%,15,50,0.57%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                        78.13,,,1/26/2015,,1/26/2015,,,,,2.76%,$              78.13,2.16,119.11,79.42,99.61,-3%,52%,1.81%,2.72%,6.59%,220.09%,233.64%,10.58,2.17%,-5.03%,,2001,0.00,,1/1/1971,1971,,4,1.70%,10,60,0.38%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                        78.51,,,2/2/2015,,2/2/2015,,,,,2.75%,$              78.51,2.16,119.11,79.42,99.61,-2%,52%,1.81%,2.72%,6.56%,218.55%,232.02%,10.58,2.17%,-4.57%,,2002,0.47,,1/1/1972,1972,,5,1.72%,6,66,0.23%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                       79.47,,,2/9/2015,,2/9/2015,,,,,2.72%,$             79.47,2.16,119.11,79.42,99.61,0%,50%,1.81%,2.72%,6.48%,214.70%,228.01%,10.58,2.17%,-3.40%,,2003,0.50,7.53%,1/1/1973,1973,,6,1.74%,11,77,0.41%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                       77.34,,,2/17/2015,,2/17/2015,,,,,2.79%,$             77.34,2.16,119.11,79.42,99.61,-5%,54%,1.81%,2.72%,6.66%,223.36%,237.04%,10.58,2.17%,-5.99%,,2004,0.58,15.00%,1/1/1974,1974,,7,1.76%,8,85,0.30%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                       78.99,,,2/23/2015,,2/23/2015,,,,,2.73%,$             78.99,2.16,119.11,79.42,99.61,-1%,51%,1.81%,2.72%,6.52%,216.61%,230.00%,10.58,2.17%,-3.99%,,2005,0.65,13.04%,1/1/1975,1975,,8,1.78%,23,108,0.87%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                       77.92,,,3/2/2015,,3/2/2015,,,,,2.77%,$             77.92,2.16,119.11,79.42,99.61,-4%,53%,1.81%,2.72%,6.61%,220.96%,234.54%,10.58,2.17%,-5.29%,,2006,0.79,20.77%,1/1/1976,1976,,9,1.80%,18,126,0.68%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                         79.11,,,3/9/2015,,3/9/2015,,,,,2.73%,$               79.11,2.16,119.11,79.42,99.61,-1%,51%,1.81%,2.72%,6.51%,216.13%,229.50%,10.58,2.17%,-3.84%,,2007,0.98,24.84%,1/1/1977,1977,,10,1.82%,23,149,0.87%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                       78.22,,,3/16/2015,,3/16/2015,,,,,2.76%,$             78.22,2.16,119.11,79.42,99.61,-3%,52%,1.81%,2.72%,6.58%,219.73%,233.25%,10.58,2.17%,-4.92%,,2008,1.20,22.45%,1/1/1978,1978,,11,1.84%,29,178,1.09%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                       79.25,,,3/23/2015,,3/23/2015,,,,,2.73%,$             79.25,2.16,119.11,79.42,99.61,0%,50%,1.81%,2.72%,6.50%,215.57%,228.92%,10.58,2.17%,-3.67%,,2009,1.33,10.83%,1/1/1979,1979,,12,1.86%,37,215,1.39%
