,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,AED BB,Aedifica SA,,,,,,,,,,9%,186%,$       70.05,$          57.05,$         113.09,$           136.40,$        212.49,7.91%,1.90%,4.14%,7.91%,45.69%,50.09%,119%,,,,,,,NO,,,7.43%,1.71%,5.72%,0.10%,57
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Aedifica SA - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,6.66%,11/10/2017,,,,,,,,,,$        106.66,52%,5.43%,$       200.43,$          58.93,$             48.08,$           31.52,1.67%,6.66%,3.56%,2.79%,-48.64%,-48.64%,-6%,,,,5Y CAGR,12.52%,,Aedifica SA - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,6.11%,,Aedifica SA - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Aedifica SA - Rating: 9% - Upside: 186%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                        59.13,,,12/29/2014,,12/29/2014,,,,,3.55%,€                59.13,2.10,110.73,31.52,58.93,35%,87%,1.90%,6.66%,6.43%,18.46%,34.78%,9.65,3.56%,0.00%,,1997,0.00,-,9,,,0,1.71%,43,43,1.59%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,€                                                         58.93,,,1/5/2015,,1/5/2015,,,,,3.56%,€               58.93,2.10,110.73,31.52,58.93,35%,88%,1.90%,6.66%,6.45%,18.87%,35.25%,9.65,3.56%,-0.35%,,1998,0.00,,186,,,1,1.81%,81,124,3.00%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,€                                                         57.95,,,1/12/2015,,1/12/2015,,,,,3.62%,€               57.95,2.10,110.73,31.52,58.93,33%,91%,1.90%,6.66%,6.56%,20.89%,37.54%,9.65,3.56%,-2.01%,,1999,0.00,,,,,2,1.91%,26,150,0.96%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,€                                                         57.88,,,1/19/2015,,1/20/2015,,,,,3.63%,€               57.88,2.10,110.73,31.52,58.93,33%,91%,1.90%,6.66%,6.57%,21.03%,37.70%,9.65,3.56%,-2.12%,,2000,0.00,,1/1/1970,1970,,3,2.01%,55,205,2.04%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,€                                                         57.33,,,1/26/2015,,1/26/2015,,,,,3.66%,€               57.33,2.10,110.73,31.52,58.93,33%,93%,1.90%,6.66%,6.63%,22.18%,39.01%,9.65,3.56%,-3.04%,,2001,0.00,,1/1/1971,1971,,4,2.11%,39,244,1.44%
