,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,AFL US,Aflac,,,,,,,,,,124%,-11%,$     125.60,$          55.74,$          73.37,$           125.60,$          111.86,4.43%,1.50%,2.24%,6.65%,397.03%,397.03%,124%,,,,,,,NO,,,3.41%,1.38%,2.03%,0.03%,68
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Aflac - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,3.01%,11/10/2017,,,,,,,,,,$          73.37,-42%,1.34%,$          111.86,$          36.25,$             25.27,$          27.54,1.34%,3.01%,2.29%,1.34%,0.00%,0.00%,-32%,,,,5Y CAGR,4.94%,,Aflac - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,7.31%,,Aflac - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Aflac - Rating: 124% - Upside: -11%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       29.59,,,12/29/2014,,12/29/2014,,,,,2.81%,$             29.59,0.83,55.26,27.54,36.25,7%,87%,1.50%,3.01%,5.68%,324.47%,337.38%,3.82,2.29%,0.00%,,1997,0.00,-,124,,,0,1.38%,6,6,0.23%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       29.55,,,1/5/2015,,1/5/2015,,,,,2.81%,$             29.55,0.83,55.26,27.54,36.25,7%,87%,1.50%,3.01%,5.69%,325.04%,337.97%,3.82,2.29%,-0.14%,,1998,0.00,,-11,,,1,1.41%,22,28,0.83%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        29.10,,,1/12/2015,,1/12/2015,,,,,2.85%,$              29.10,0.83,55.26,27.54,36.25,6%,90%,1.50%,3.01%,5.77%,331.62%,344.74%,3.82,2.29%,-1.66%,,1999,0.00,,,,,2,1.44%,40,68,1.51%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                        28.61,,,1/20/2015,,1/20/2015,,,,,2.90%,$              28.61,0.83,55.26,27.54,36.25,4%,93%,1.50%,3.01%,5.87%,339.08%,352.44%,3.82,2.29%,-3.33%,,2000,0.00,,1/1/1970,1970,,3,1.47%,58,126,2.19%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       28.36,,,1/26/2015,,1/26/2015,,,,,2.93%,$             28.36,0.83,55.26,27.54,36.25,3%,95%,1.50%,3.01%,5.92%,342.96%,356.43%,3.82,2.29%,-4.17%,,2001,0.00,,1/1/1971,1971,,4,1.50%,83,209,3.13%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                       28.54,,,2/2/2015,,2/2/2015,,,,,2.91%,$             28.54,0.83,55.26,27.54,36.25,4%,94%,1.50%,3.01%,5.89%,340.08%,353.47%,3.82,2.29%,-3.55%,,2002,0.12,,1/1/1972,1972,,5,1.53%,87,296,3.28%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                       28.90,,,2/9/2015,,2/9/2015,,,,,2.87%,$             28.90,0.83,55.26,27.54,36.25,5%,91%,1.50%,3.01%,5.81%,334.60%,347.82%,3.82,2.29%,-2.33%,,2003,0.15,30.43%,1/1/1973,1973,,6,1.56%,62,358,2.34%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                       28.46,,,2/17/2015,,2/17/2015,,,,,2.92%,$             28.46,0.83,55.26,27.54,36.25,3%,94%,1.50%,3.01%,5.90%,341.40%,354.82%,3.82,2.29%,-3.84%,,2004,0.19,26.67%,1/1/1974,1974,,7,1.59%,51,409,1.92%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                       28.66,,,2/23/2015,,2/23/2015,,,,,2.90%,$             28.66,0.83,55.26,27.54,36.25,4%,93%,1.50%,3.01%,5.86%,338.24%,351.57%,3.82,2.29%,-3.14%,,2005,0.22,15.79%,1/1/1975,1975,,8,1.62%,50,459,1.88%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                        28.31,,,3/2/2015,,3/2/2015,,,,,2.93%,$              28.31,0.83,55.26,27.54,36.25,3%,95%,1.50%,3.01%,5.94%,343.74%,357.23%,3.82,2.29%,-4.34%,,2006,0.28,25.00%,1/1/1976,1976,,9,1.65%,15,474,0.57%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                       28.25,,,3/9/2015,,3/9/2015,,,,,2.94%,$             28.25,0.83,55.26,27.54,36.25,3%,96%,1.50%,3.01%,5.95%,344.68%,358.20%,3.82,2.29%,-4.55%,,2007,0.40,45.45%,1/1/1977,1977,,10,1.68%,8,482,0.30%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                       27.78,,,3/16/2015,,3/16/2015,,,,,2.99%,$             27.78,0.83,55.26,27.54,36.25,1%,99%,1.50%,3.01%,6.05%,352.21%,365.96%,3.82,2.29%,-6.13%,,2008,0.48,20.00%,1/1/1978,1978,,11,1.71%,1,483,0.04%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                        27.91,,,3/23/2015,,3/23/2015,,,,,2.97%,$              27.91,0.83,55.26,27.54,36.25,1%,98%,1.50%,3.01%,6.02%,350.02%,363.70%,3.82,2.29%,-5.68%,,2009,0.56,16.67%,1/1/1979,1979,,12,1.74%,3,486,0.11%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,$                                                       28.64,,,3/30/2015,,3/30/2015,,,,,2.90%,$             28.64,0.83,55.26,27.54,36.25,4%,93%,1.50%,3.01%,5.87%,338.62%,351.96%,3.82,2.29%,-3.23%,,2010,0.57,1.79%,1/1/1980,1980,,13,1.77%,9,495,0.34%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,$                                                       28.28,,,4/6/2015,,4/6/2015,,,,,2.94%,$             28.28,0.83,55.26,27.54,36.25,3%,95%,1.50%,3.01%,5.94%,344.21%,357.72%,3.82,2.29%,-4.44%,,2011,0.62,7.89%,1/1/1981,1981,,14,1.80%,3,498,0.11%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,$                                                       28.76,,,4/13/2015,,4/13/2015,,,,,2.89%,$             28.76,0.83,55.26,27.54,36.25,4%,92%,1.50%,3.01%,5.84%,336.72%,350.00%,3.82,2.29%,-2.81%,,2012,0.67,8.94%,1/1/1982,1982,,15,1.83%,2,500,0.08%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,$                                                       28.73,,,4/20/2015,,4/20/2015,,,,,2.89%,$             28.73,0.83,55.26,27.54,36.25,4%,92%,1.50%,3.01%,5.85%,337.25%,350.55%,3.82,2.29%,-2.92%,,2013,0.71,5.97%,1/1/1983,1983,,16,1.86%,15,515,0.57%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,$                                                        29.16,,,4/27/2015,,4/27/2015,,,,,2.85%,$              29.16,0.83,55.26,27.54,36.25,6%,90%,1.50%,3.01%,5.76%,330.80%,343.90%,3.82,2.29%,-1.47%,,2014,0.75,5.63%,1/1/1984,1984,,17,1.89%,26,541,0.98%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,$                                                       28.98,,,5/4/2015,,5/4/2015,,,,,2.86%,$             28.98,0.83,55.26,27.54,36.25,5%,91%,1.50%,3.01%,5.80%,333.40%,346.58%,3.82,2.29%,-2.06%,,2015,0.79,5.33%,1/1/1985,1985,,18,1.92%,12,553,0.45%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,$                                                       28.26,,,5/11/2015,,5/11/2015,,,,,2.94%,$             28.26,0.83,55.26,27.54,36.25,3%,96%,1.50%,3.01%,5.95%,344.52%,358.04%,3.82,2.29%,-4.51%,,2016,0.83,5.06%,1/1/1986,1986,,19,1.95%,50,603,1.88%
,,,,,,,,,,,,,,,,,,2016,2/2/2016,$                                                       28.64,,,5/18/2015,,5/18/2015,,,,,2.90%,$             28.64,0.83,55.26,27.54,36.25,4%,93%,1.50%,3.01%,5.87%,338.55%,351.89%,3.82,2.29%,-3.21%,,2017,0.87,4.82%,1/1/1987,1987,,20,1.98%,57,660,2.15%
,,,,,,,,,,,,,,,,,,2016,2/3/2016,$                                                       28.66,,,5/26/2015,,5/26/2015,,,,,2.90%,$             28.66,0.83,55.26,27.54,36.25,4%,93%,1.50%,3.01%,5.86%,338.24%,351.57%,3.82,2.29%,-3.14%,,2018,1.04,19.54%,1/1/1988,1988,,21,2.01%,57,717,2.15%
,,,,,,,,,,,,,,,,,,2016,2/4/2016,$                                                        29.01,,,6/1/2015,,6/1/2015,,,,,2.86%,$              29.01,0.83,55.26,27.54,36.25,5%,91%,1.50%,3.01%,5.79%,332.95%,346.12%,3.82,2.29%,-1.96%,,2019,1.08,3.85%,1/1/1989,1989,,22,2.04%,90,807,3.39%
,,,,,,,,,,,,,,,,,,2016,2/5/2016,$                                                         29.11,,,6/8/2015,,6/8/2015,,,,,2.85%,$               29.11,0.83,55.26,27.54,36.25,6%,90%,1.50%,3.01%,5.77%,331.54%,344.67%,3.82,2.29%,-1.64%,,2020,1.12,3.70%,1/1/1990,1990,,23,2.07%,60,867,2.26%
,,,,,,,,,,,,,,,,,,2016,2/8/2016,$                                                       29.00,,,6/15/2015,,6/15/2015,,,,,2.86%,$             29.00,0.83,55.26,27.54,36.25,5%,91%,1.50%,3.01%,5.79%,333.10%,346.28%,3.82,2.29%,-1.99%,,2021,1.32,17.86%,1/1/1991,1991,,24,2.10%,57,924,2.15%
,,,,,,,,,,,,,,,,,,2016,2/9/2016,$                                                       28.97,,,6/22/2015,,6/22/2015,,,,,2.87%,$             28.97,0.83,55.26,27.54,36.25,5%,91%,1.50%,3.01%,5.80%,333.63%,346.82%,3.82,2.29%,-2.11%,,2022,1.60,21.21%,1/1/1992,1992,,25,2.13%,57,981,2.15%
,,,,,,,,,,,,,,,,,,2016,2/10/2016,$                                                       28.75,,,6/29/2015,,6/29/2015,,,,,2.89%,$             28.75,0.83,55.26,27.54,36.25,4%,92%,1.50%,3.01%,5.84%,336.95%,350.23%,3.82,2.29%,-2.86%,,2023,1.68,5.00%,1/1/1993,1993,,26,2.16%,54,1035,2.03%
,,,,,,,,,,,,,,,,,,2016,2/11/2016,$                                                       27.80,,,7/6/2015,,7/6/2015,,,,,2.99%,$             27.80,0.83,55.26,27.54,36.25,1%,99%,1.50%,3.01%,6.04%,351.80%,365.54%,3.82,2.29%,-6.05%,,2024,1.68,0.00%,1/1/1994,1994,,27,2.19%,91,1126,3.43%
,,,,,,,,,,,,,,,,,,2016,2/12/2016,$                                                       28.66,,,7/13/2015,,7/13/2015,,,,,2.90%,$             28.66,0.83,55.26,27.54,36.25,4%,93%,1.50%,3.01%,5.86%,338.32%,351.65%,3.82,2.29%,-3.16%,,2025,1.68,0.00%,1/1/1995,1995,,28,2.22%,88,1214,3.32%
,,,,,,,,,,,,,,,,,,2016,2/16/2016,$                                                       29.07,,,7/20/2015,,7/20/2015,,,,,2.86%,$             29.07,0.83,55.26,27.54,36.25,6%,90%,1.50%,3.01%,5.78%,332.13%,345.28%,3.82,2.29%,-1.77%,,2026,1.68,0.00%,1/1/1996,1996,,29,2.25%,87,1301,3.28%
,,,,,,,,,,,,,,,,,,2016,2/17/2016,$                                                       29.54,,,7/27/2015,,7/27/2015,,,,,2.81%,$             29.54,0.83,55.26,27.54,36.25,7%,87%,1.50%,3.01%,5.69%,325.26%,338.19%,3.82,2.29%,-0.19%,,,,,1/1/1997,1997,,30,2.28%,117,1418,4.41%
,,,,,,,,,,,,,,,,,,2016,2/18/2016,$                                                       29.58,,,8/3/2015,,8/3/2015,,,,,2.81%,$             29.58,0.83,55.26,27.54,36.25,7%,87%,1.50%,3.01%,5.68%,324.61%,337.53%,3.82,2.29%,-0.03%,,,,,1/1/1998,1998,,31,2.31%,128,1546,4.82%
,,,,,,,,,,,,,,,,,,2016,2/19/2016,$                                                       29.66,,,8/10/2015,,8/10/2015,,,,,2.80%,$             29.66,0.83,55.26,27.54,36.25,8%,86%,1.50%,3.01%,5.66%,323.47%,336.35%,3.82,2.29%,0.00%,,,,,1/1/1999,1999,,32,2.34%,111,1657,4.18%
,,,,,,,,,,,,,,,,,,2016,2/22/2016,$                                                       29.85,,,8/17/2015,,8/17/2015,,,,,2.78%,$             29.85,0.83,55.26,27.54,36.25,8%,85%,1.50%,3.01%,5.63%,320.77%,333.57%,3.82,2.29%,0.00%,,,,,1/1/2000,2000,,33,2.37%,105,1762,3.96%
,,,,,,,,,,,,,,,,,,2016,2/23/2016,$                                                       29.69,,,8/24/2015,,8/24/2015,,,,,2.80%,$             29.69,0.83,55.26,27.54,36.25,8%,86%,1.50%,3.01%,5.66%,323.11%,335.98%,3.82,2.29%,-0.55%,,,,,1/1/2001,2001,,34,2.40%,118,1880,4.45%
,,,,,,,,,,,,,,,,,,2016,2/24/2016,$                                                       29.82,,,8/31/2015,,8/31/2015,,,,,2.78%,$             29.82,0.83,55.26,27.54,36.25,8%,85%,1.50%,3.01%,5.63%,321.26%,334.08%,3.82,2.29%,-0.12%,,,,,1/1/2002,2002,,35,2.43%,76,1956,2.86%
,,,,,,,,,,,,,,,,,,2016,2/25/2016,$                                                        30.17,,,9/8/2015,,9/8/2015,,,,,2.75%,$              30.17,0.83,55.26,27.54,36.25,9%,83%,1.50%,3.01%,5.57%,316.38%,329.04%,3.82,2.29%,0.00%,,,,,1/1/2003,2003,,36,2.46%,78,2034,2.94%
,,,,,,,,,,,,,,,,,,2016,2/26/2016,$                                                       30.09,,,9/14/2015,,9/14/2015,,,,,2.76%,$             30.09,0.83,55.26,27.54,36.25,9%,84%,1.50%,3.01%,5.58%,317.48%,330.18%,3.82,2.29%,-0.27%,,,,,1/1/2004,2004,,37,2.49%,60,2094,2.26%
,,,,,,,,,,,,,,,,,,2016,2/29/2016,$                                                       29.76,,,9/21/2015,,9/21/2015,,,,,2.79%,$             29.76,0.83,55.26,27.54,36.25,8%,86%,1.50%,3.01%,5.65%,322.04%,334.88%,3.82,2.29%,-1.34%,,,,,1/1/2005,2005,,38,2.52%,46,2140,1.73%
,,,,,,,,,,,,,,,,,,2016,3/1/2016,$                                                       30.54,,,9/28/2015,,9/28/2015,,,,,2.72%,$             30.54,0.83,55.26,27.54,36.25,11%,81%,1.50%,3.01%,5.50%,311.33%,323.84%,3.82,2.29%,0.00%,,,,,1/1/2006,2006,,39,2.55%,32,2172,1.21%
,,,,,,,,,,,,,,,,,,2016,3/2/2016,$                                                        30.71,,,10/5/2015,,10/5/2015,,,,,2.70%,$              30.71,0.83,55.26,27.54,36.25,11%,80%,1.50%,3.01%,5.47%,309.05%,321.49%,3.82,2.29%,0.00%,,,,,1/1/2007,2007,,40,2.58%,44,2216,1.66%
,,,,,,,,,,,,,,,,,,2016,3/3/2016,$                                                       30.49,,,10/12/2015,,10/12/2015,,,,,2.72%,$             30.49,0.83,55.26,27.54,36.25,11%,81%,1.50%,3.01%,5.51%,311.94%,324.47%,3.82,2.29%,-0.70%,,,,,1/1/2008,2008,,41,2.61%,28,2244,1.06%
,,,,,,,,,,,,,,,,,,2016,3/4/2016,$                                                       30.52,,,10/19/2015,,10/19/2015,,,,,2.72%,$             30.52,0.83,55.26,27.54,36.25,11%,81%,1.50%,3.01%,5.51%,311.60%,324.12%,3.82,2.29%,-0.62%,,,,,1/1/2009,2009,,42,2.64%,27,2271,1.02%
,,,,,,,,,,,,,,,,,,2016,3/7/2016,$                                                       30.28,,,10/26/2015,,10/26/2015,,,,,2.74%,$             30.28,0.83,55.26,27.54,36.25,10%,83%,1.50%,3.01%,5.55%,314.86%,327.48%,3.82,2.29%,-1.40%,,,,,1/1/2010,2010,,43,2.67%,34,2305,1.28%
,,,,,,,,,,,,,,,,,,2016,3/8/2016,$                                                       30.03,,,11/2/2015,,11/2/2015,,,,,2.76%,$             30.03,0.83,55.26,27.54,36.25,9%,84%,1.50%,3.01%,5.59%,318.25%,330.97%,3.82,2.29%,-2.20%,,,,,1/1/2011,2011,,44,2.70%,17,2322,0.64%
,,,,,,,,,,,,,,,,,,2016,3/9/2016,$                                                       30.22,,,11/9/2015,,11/9/2015,,,,,2.75%,$             30.22,0.83,55.26,27.54,36.25,10%,83%,1.50%,3.01%,5.56%,315.69%,328.33%,3.82,2.29%,-1.60%,,,,,1/1/2012,2012,,45,2.73%,20,2342,0.75%
,,,,,,,,,,,,,,,,,,2016,3/10/2016,$                                                        30.19,,,11/16/2015,,11/16/2015,,,,,2.75%,$              30.19,0.83,55.26,27.54,36.25,10%,83%,1.50%,3.01%,5.57%,316.10%,328.76%,3.82,2.29%,-1.69%,,,,,1/1/2013,2013,,46,2.76%,17,2359,0.64%
