,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,AGNC US,AGNC Investment Corp,,,,,,,,,,20%,55%,$        10.59,$               9.11,$            19.15,$             22.28,$          26.25,20.75%,8.76%,12.35%,20.75%,52.59%,52.59%,131%,,,,,,,NO,,,18.25%,7.78%,10.47%,0.15%,70
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,AGNC Investment Corp - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,15.81%,11/10/2017,,,,,,,,,,$            11.99,13%,13.60%,$           16.43,$            11.99,$                6.94,$               9.11,7.70%,15.81%,12.01%,6.46%,-52.47%,-46.02%,-30%,,,,5Y CAGR,0.00%,,AGNC Investment Corp - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,-4.57%,,AGNC Investment Corp - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,AGNC Investment Corp - Rating: 20% - Upside: 55%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                         17.71,,,12/29/2014,,12/29/2014,,,,,12.99%,$               17.71,2.30,26.25,14.55,19.15,27%,48%,8.76%,15.81%,8.13%,-40.20%,8.47%,8.62,12.01%,0.00%,,1997,0.00,-,20,,,0,7.78%,9,9,0.34%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                        17.79,,,1/5/2015,,1/5/2015,,,,,12.93%,$              17.79,2.30,26.25,14.55,19.15,28%,48%,8.76%,15.81%,8.09%,-40.47%,7.98%,8.62,12.01%,0.00%,,1998,0.00,,55,,,1,7.93%,12,21,0.45%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        17.86,,,1/12/2015,,1/12/2015,,,,,12.88%,$              17.86,2.30,26.25,14.55,19.15,28%,47%,8.76%,15.81%,8.06%,-40.71%,7.56%,8.62,12.01%,0.00%,,1999,0.00,,,,,2,8.08%,12,33,0.45%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                        17.72,,,1/20/2015,,1/20/2015,,,,,12.98%,$              17.72,2.30,26.25,14.55,19.15,27%,48%,8.76%,15.81%,8.13%,-40.24%,8.41%,8.62,12.01%,-0.78%,,2000,0.00,,1/1/1970,1970,,3,8.23%,18,51,0.68%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                        17.63,,,1/26/2015,,1/26/2015,,,,,13.05%,$              17.63,2.30,26.25,14.55,19.15,26%,49%,8.76%,15.81%,8.17%,-39.93%,8.96%,8.62,12.01%,-1.29%,,2001,0.00,,1/1/1971,1971,,4,8.38%,27,78,1.02%
