,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,AGO US,Assured Guaranty Ltd,,,,,,,,,,94%,4%,$       85.36,$           39.31,$          66.85,$             95.47,$           88.41,4.20%,1.27%,1.76%,5.87%,347.61%,347.61%,114%,,,,,,,NO,,,3.92%,1.20%,2.72%,0.04%,68
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Assured Guaranty Ltd - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,2.85%,11/10/2017,,,,,,,,,,$          66.85,-22%,1.31%,$           88.41,$           31.04,$              19.07,$           18.25,1.17%,2.85%,1.68%,1.17%,-10.59%,-10.59%,-26%,,,,5Y CAGR,4.94%,,Assured Guaranty Ltd - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,7.97%,,Assured Guaranty Ltd - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Assured Guaranty Ltd - Rating: 94% - Upside: 4%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                         26.11,,,12/29/2014,,12/29/2014,,,,,1.99%,$               26.11,0.52,41.05,18.25,31.04,34%,57%,1.27%,2.85%,4.29%,226.92%,236.31%,2.45,1.68%,0.00%,,1997,0.00,-,94,,,0,1.20%,65,65,2.45%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       26.70,,,1/5/2015,,1/5/2015,,,,,1.95%,$             26.70,0.52,41.05,18.25,31.04,37%,54%,1.27%,2.85%,4.19%,219.70%,228.88%,2.45,1.68%,0.00%,,1998,0.00,,4,,,1,1.24%,94,159,3.54%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        26.19,,,1/12/2015,,1/12/2015,,,,,1.99%,$              26.19,0.52,41.05,18.25,31.04,35%,57%,1.27%,2.85%,4.28%,225.93%,235.28%,2.45,1.68%,-1.91%,,1999,0.00,,,,,2,1.28%,108,267,4.07%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                        25.51,,,1/20/2015,,1/20/2015,,,,,2.04%,$              25.51,0.52,41.05,18.25,31.04,32%,61%,1.27%,2.85%,4.39%,234.61%,244.22%,2.45,1.68%,-4.46%,,2000,0.00,,1/1/1970,1970,,3,1.32%,173,440,6.52%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       24.94,,,1/26/2015,,1/26/2015,,,,,2.09%,$             24.94,0.52,41.05,18.25,31.04,29%,65%,1.27%,2.85%,4.49%,242.26%,252.09%,2.45,1.68%,-6.59%,,2001,0.00,,1/1/1971,1971,,4,1.36%,151,591,5.69%
