,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,ALB US,Albemarle Corp,,,,,,,,,,25%,125%,$      114.85,$          67.29,$          119.01,$          325.38,$       258.84,3.15%,0.62%,1.38%,3.35%,140.73%,151.85%,137%,,,,,,,NO,,,2.87%,0.54%,2.33%,0.03%,78
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Albemarle Corp - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,2.38%,11/10/2017,,,,,,,,,,$          119.01,4%,1.39%,$       258.84,$          90.75,$              47.71,$            51.31,0.49%,2.38%,1.34%,0.49%,-64.70%,-64.70%,-9%,,,,5Y CAGR,0.51%,,Albemarle Corp - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,2.75%,,Albemarle Corp - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Albemarle Corp - Rating: 25% - Upside: 125%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       55.55,,,12/29/2014,,12/29/2014,,,,,2.20%,$             55.55,1.22,197.36,51.31,90.75,3%,255%,0.62%,2.38%,2.88%,106.75%,116.31%,5.31,1.34%,0.00%,,1997,0.00,-,25,,,0,0.54%,58,58,2.19%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       54.70,,,1/5/2015,,1/5/2015,,,,,2.23%,$             54.70,1.22,197.36,51.31,90.75,2%,261%,0.62%,2.38%,2.93%,109.96%,119.67%,5.31,1.34%,-1.53%,,1998,0.00,,125,,,1,0.57%,45,103,1.70%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        52.31,,,1/12/2015,,1/12/2015,,,,,2.33%,$              52.31,1.22,197.36,51.31,90.75,1%,277%,0.62%,2.38%,3.06%,119.56%,129.71%,5.31,1.34%,-5.83%,,1999,0.00,,,,,2,0.60%,37,140,1.39%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       49.95,,,1/20/2015,,1/20/2015,,,,,2.44%,$             49.95,1.22,197.36,51.31,90.75,-1%,295%,0.62%,2.38%,3.20%,129.93%,140.56%,5.31,1.34%,-10.08%,,2000,0.00,,1/1/1970,1970,,3,0.63%,55,195,2.07%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                        49.01,,,1/26/2015,,1/26/2015,,,,,2.49%,$              49.01,1.22,197.36,51.31,90.75,-2%,303%,0.62%,2.38%,3.26%,134.34%,145.17%,5.31,1.34%,-11.77%,,2001,0.00,,1/1/1971,1971,,4,0.66%,63,258,2.37%
