,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,AMGN US,Amgen Inc,,,,,,,,,,94%,2%,$    376.04,$        271.95,$        328.12,$           388.16,$       383.25,3.98%,2.48%,2.96%,6.30%,178.09%,192.65%,131%,,,,,,,NO,,,3.85%,2.31%,1.55%,0.02%,77
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,3.77%,,Amgen Inc - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,3.50%,11/10/2017,,,,,,,,,,$        328.12,-13%,2.53%,$       383.25,$        137.87,$           135.22,$         114.26,2.28%,3.50%,2.90%,2.19%,-3.12%,-3.12%,-29%,,,,5Y CAGR,6.22%,,Amgen Inc - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,9.06%,,Amgen Inc - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Amgen Inc - Rating: 94% - Upside: 2%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                     158.34,,,12/29/2014,,12/29/2014,,,,,2.53%,$           158.34,4.00,161.03,114.26,137.87,94%,2%,2.48%,3.50%,5.38%,137.49%,149.92%,19.68,2.90%,0.00%,,1997,0.00,-,94,,,0,2.31%,12,12,0.45%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                      158.17,,,1/5/2015,,1/5/2015,,,,,2.53%,$            158.17,4.00,161.03,114.26,137.87,94%,2%,2.48%,3.50%,5.39%,137.74%,150.19%,19.68,2.90%,-0.11%,,1998,0.00,,2,,,1,2.33%,12,24,0.45%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                     156.72,,,1/12/2015,,1/12/2015,,,,,2.55%,$           156.72,4.00,161.03,114.26,137.87,91%,3%,2.48%,3.50%,5.44%,139.94%,152.50%,19.68,2.90%,-1.02%,,1999,0.00,,,,,2,2.35%,7,31,0.26%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                     152.98,,,1/20/2015,,1/20/2015,,,,,2.61%,$           152.98,4.00,161.03,114.26,137.87,83%,5%,2.48%,3.50%,5.57%,145.81%,158.67%,19.68,2.90%,-3.39%,,2000,0.00,,1/1/1970,1970,,3,2.37%,2,33,0.08%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                      150.71,,,1/26/2015,,1/26/2015,,,,,2.65%,$            150.71,4.00,161.03,114.26,137.87,78%,7%,2.48%,3.50%,5.65%,149.52%,162.58%,19.68,2.90%,-4.82%,,2001,0.00,,1/1/1971,1971,,4,2.39%,17,50,0.64%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                     147.69,,,2/2/2015,,2/2/2015,,,,,2.71%,$           147.69,4.00,161.03,114.26,137.87,71%,9%,2.48%,3.50%,5.77%,154.61%,167.94%,19.68,2.90%,-6.73%,,2002,0.00,,1/1/1972,1972,,5,2.41%,6,56,0.23%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                     150.79,,,2/9/2015,,2/9/2015,,,,,2.65%,$           150.79,4.00,161.03,114.26,137.87,78%,7%,2.48%,3.50%,5.65%,149.38%,162.43%,19.68,2.90%,-4.77%,,2003,0.00,,1/1/1973,1973,,6,2.43%,8,64,0.30%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                     145.46,,,2/17/2015,,2/17/2015,,,,,2.75%,$           145.46,4.00,161.03,114.26,137.87,67%,11%,2.48%,3.50%,5.86%,158.52%,172.05%,19.68,2.90%,-8.13%,,2004,0.00,,1/1/1974,1974,,7,2.45%,20,84,0.75%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                      153.16,,,2/23/2015,,2/23/2015,,,,,2.61%,$            153.16,4.00,161.03,114.26,137.87,83%,5%,2.48%,3.50%,5.56%,145.52%,158.37%,19.68,2.90%,-3.27%,,2005,0.00,,1/1/1975,1975,,8,2.47%,39,123,1.47%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                      151.30,,,3/2/2015,,3/2/2015,,,,,2.64%,$            151.30,4.00,161.03,114.26,137.87,79%,6%,2.48%,3.50%,5.63%,148.54%,161.55%,19.68,2.90%,-4.45%,,2006,0.00,,1/1/1976,1976,,9,2.49%,19,142,0.72%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                      151.30,,,3/9/2015,,3/9/2015,,,,,2.64%,$            151.30,4.00,161.03,114.26,137.87,79%,6%,2.48%,3.50%,5.63%,148.54%,161.55%,19.68,2.90%,-4.45%,,2007,0.00,,1/1/1977,1977,,10,2.51%,25,167,0.94%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                     155.02,,,3/16/2015,,3/16/2015,,,,,2.58%,$           155.02,4.00,161.03,114.26,137.87,87%,4%,2.48%,3.50%,5.50%,142.58%,155.27%,19.68,2.90%,-2.10%,,2008,0.00,,1/1/1978,1978,,11,2.53%,33,200,1.24%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                     152.78,,,3/23/2015,,3/23/2015,,,,,2.62%,$           152.78,4.00,161.03,114.26,137.87,82%,5%,2.48%,3.50%,5.58%,146.13%,159.01%,19.68,2.90%,-3.51%,,2009,0.00,,1/1/1979,1979,,12,2.55%,33,233,1.24%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,$                                                     156.08,,,3/30/2015,,3/30/2015,,,,,2.56%,$           156.08,4.00,161.03,114.26,137.87,89%,3%,2.48%,3.50%,5.46%,140.93%,153.54%,19.68,2.90%,-1.43%,,2010,0.00,,1/1/1980,1980,,13,2.57%,31,264,1.17%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,$                                                     153.43,,,4/6/2015,,4/6/2015,,,,,2.61%,$           153.43,4.00,161.03,114.26,137.87,84%,5%,2.48%,3.50%,5.55%,145.09%,157.92%,19.68,2.90%,-3.10%,,2011,0.56,,1/1/1981,1981,,14,2.59%,49,313,1.85%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,$                                                     153.78,,,4/13/2015,,4/13/2015,,,,,2.60%,$           153.78,4.00,161.03,114.26,137.87,84%,5%,2.48%,3.50%,5.54%,144.53%,157.33%,19.68,2.90%,-2.88%,,2012,1.44,157.14%,1/1/1982,1982,,15,2.61%,46,359,1.73%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,$                                                     150.47,,,4/20/2015,,4/20/2015,,,,,2.66%,$           150.47,4.00,161.03,114.26,137.87,77%,7%,2.48%,3.50%,5.66%,149.91%,162.99%,19.68,2.90%,-4.97%,,2013,1.88,30.56%,1/1/1983,1983,,16,2.63%,46,405,1.73%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,$                                                     148.35,,,4/27/2015,,4/27/2015,,,,,2.70%,$           148.35,4.00,161.03,114.26,137.87,73%,9%,2.48%,3.50%,5.74%,153.48%,166.75%,19.68,2.90%,-6.31%,,2014,2.44,29.79%,1/1/1984,1984,,17,2.65%,58,463,2.19%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,$                                                     152.73,,,5/4/2015,,5/4/2015,,,,,2.62%,$           152.73,4.00,161.03,114.26,137.87,82%,5%,2.48%,3.50%,5.58%,146.21%,159.10%,19.68,2.90%,-3.54%,,2015,3.16,29.51%,1/1/1985,1985,,18,2.67%,72,535,2.71%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,$                                                     152.75,,,5/11/2015,,5/11/2015,,,,,2.62%,$           152.75,4.00,161.03,114.26,137.87,82%,5%,2.48%,3.50%,5.58%,146.18%,159.06%,19.68,2.90%,-3.53%,,2016,4.00,26.58%,1/1/1986,1986,,19,2.69%,76,611,2.86%
,,,,,,,,,,,,,,,,,,2016,2/2/2016,$                                                       150.11,,,5/18/2015,,5/18/2015,,,,,2.66%,$             150.11,4.00,161.03,114.26,137.87,77%,7%,2.48%,3.50%,5.68%,150.51%,163.62%,19.68,2.90%,-5.20%,,2017,4.60,15.00%,1/1/1987,1987,,20,2.71%,90,701,3.39%
,,,,,,,,,,,,,,,,,,2016,2/3/2016,$                                                     150.69,,,5/26/2015,,5/26/2015,,,,,2.65%,$           150.69,4.00,161.03,114.26,137.87,78%,7%,2.48%,3.50%,5.65%,149.55%,162.61%,19.68,2.90%,-4.83%,,2018,5.28,14.78%,1/1/1988,1988,,21,2.73%,62,763,2.34%
,,,,,,,,,,,,,,,,,,2016,2/4/2016,$                                                      149.91,,,6/1/2015,,6/1/2015,,,,,2.67%,$            149.91,4.00,161.03,114.26,137.87,76%,7%,2.48%,3.50%,5.68%,150.84%,163.97%,19.68,2.90%,-5.32%,,2019,5.80,9.85%,1/1/1989,1989,,22,2.75%,65,828,2.45%
