,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,AMP US,Ameriprise Financial,,,,,,,,,,103%,-2%,$    528.90,$        166.34,$       272.75,$           575.13,$        518.20,4.93%,1.02%,2.03%,6.95%,593.46%,611.16%,116%,,,,,,,NO,,,3.99%,0.94%,3.05%,0.04%,76
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Ameriprise Financial - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,3.19%,11/10/2017,,,,,,,,,,$       272.75,-48%,1.00%,$        518.20,$        150.27,$             76.27,$           91.64,0.92%,3.19%,1.94%,0.92%,-8.04%,-8.04%,-17%,,,,5Y CAGR,3.65%,,Ameriprise Financial - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,6.14%,,Ameriprise Financial - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Ameriprise Financial - Rating: 103% - Upside: -2%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                     104.25,,,12/29/2014,,12/29/2014,,,,,2.80%,$           104.25,2.92,285.50,91.64,150.27,7%,174%,1.02%,3.19%,5.08%,407.34%,420.29%,13.5,1.94%,0.00%,,1997,0.00,-,103,,,0,0.94%,37,37,1.39%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                     103.84,,,1/5/2015,,1/5/2015,,,,,2.81%,$           103.84,2.92,285.50,91.64,150.27,6%,175%,1.02%,3.19%,5.10%,409.34%,422.34%,13.5,1.94%,-0.39%,,1998,0.00,,-2,,,1,0.98%,71,108,2.68%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                      100.31,,,1/12/2015,,1/12/2015,,,,,2.91%,$            100.31,2.92,285.50,91.64,150.27,4%,185%,1.02%,3.19%,5.28%,427.27%,440.72%,13.5,1.94%,-3.78%,,1999,0.00,,,,,2,1.02%,94,202,3.54%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                        97.13,,,1/20/2015,,1/20/2015,,,,,3.01%,$              97.13,2.92,285.50,91.64,150.27,3%,194%,1.02%,3.19%,5.46%,444.53%,458.43%,13.5,1.94%,-6.83%,,2000,0.00,,1/1/1970,1970,,3,1.06%,73,275,2.75%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       94.94,,,1/26/2015,,1/26/2015,,,,,3.08%,$             94.94,2.92,285.50,91.64,150.27,2%,201%,1.02%,3.19%,5.58%,457.09%,471.31%,13.5,1.94%,-8.93%,,2001,0.00,,1/1/1971,1971,,4,1.10%,79,354,2.98%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                       95.66,,,2/2/2015,,2/2/2015,,,,,3.05%,$             95.66,2.92,285.50,91.64,150.27,2%,198%,1.02%,3.19%,5.54%,452.90%,467.01%,13.5,1.94%,-8.24%,,2002,0.00,,1/1/1972,1972,,5,1.14%,62,416,2.34%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                        96.15,,,2/9/2015,,2/9/2015,,,,,3.04%,$              96.15,2.92,285.50,91.64,150.27,2%,197%,1.02%,3.19%,5.51%,450.08%,464.12%,13.5,1.94%,-7.77%,,2003,0.00,,1/1/1973,1973,,6,1.18%,64,480,2.41%
