,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,ANDE US,Andersons Inc/The,,,,,,,,,,147%,-24%,$        77.71,$           19.54,$           39.01,$             80.87,$          59.03,6.18%,1.26%,2.08%,6.58%,586.48%,586.48%,155%,,,,,,,NO,,,5.40%,0.97%,4.43%,0.10%,44
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Andersons Inc/The - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,3.81%,11/10/2017,,,,,,,,,,$           39.01,-50%,0.96%,$          59.03,$          32.73,$               11.32,$           16.39,0.92%,3.81%,1.91%,0.92%,-3.91%,-3.91%,-19%,,,,5Y CAGR,1.11%,,Andersons Inc/The - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,1.77%,,Andersons Inc/The - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Andersons Inc/The - Rating: 147% - Upside: -24%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       30.67,,,12/29/2014,,12/29/2014,,,,,2.04%,$             30.67,0.63,49.52,16.39,32.73,43%,61%,1.26%,3.81%,2.43%,153.37%,161.92%,2.62,1.91%,0.00%,,1997,0.00,-,147,,,0,0.97%,68,68,2.56%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       30.75,,,1/5/2015,,1/5/2015,,,,,2.03%,$             30.75,0.63,49.52,16.39,32.73,43%,61%,1.26%,3.81%,2.42%,152.72%,161.24%,2.62,1.91%,0.00%,,1998,0.00,,-24,,,1,1.07%,38,106,1.43%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       30.57,,,1/12/2015,,1/12/2015,,,,,2.04%,$             30.57,0.63,49.52,16.39,32.73,43%,62%,1.26%,3.81%,2.44%,154.20%,162.77%,2.62,1.91%,-0.59%,,1999,0.00,,,,,2,1.17%,17,123,0.64%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       29.59,,,1/20/2015,,1/20/2015,,,,,2.11%,$             29.59,0.63,49.52,16.39,32.73,40%,67%,1.26%,3.81%,2.52%,162.62%,171.48%,2.62,1.91%,-3.77%,,2000,0.00,,1/1/1970,1970,,3,1.27%,81,204,3.05%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       29.50,,,1/26/2015,,1/26/2015,,,,,2.12%,$             29.50,0.63,49.52,16.39,32.73,40%,68%,1.26%,3.81%,2.53%,163.42%,172.31%,2.62,1.91%,-4.07%,,2001,0.00,,1/1/1971,1971,,4,1.37%,178,382,6.71%
