,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,APD US,Air Products and Chemicals Inc,,,,,,,,,,48%,19%,$    297.87,$       244.96,$        281.62,$          338.07,$       354.24,3.25%,1.98%,2.45%,6.51%,177.01%,192.15%,150%,,,,,,,NO,,,3.14%,1.78%,1.37%,0.02%,68
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Air Products and Chemicals Inc - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,2.86%,11/10/2017,,,,,,,,,,$        281.62,-5%,2.35%,$       354.24,$        138.40,$           107.53,$        120.38,1.71%,2.86%,2.49%,2.07%,-11.89%,-11.89%,-27%,,,,5Y CAGR,3.13%,,Air Products and Chemicals Inc - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,7.36%,,Air Products and Chemicals Inc - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Air Products and Chemicals Inc - Rating: 48% - Upside: 19%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                      119.44,,,12/29/2014,,12/29/2014,,,,,2.88%,$            119.44,3.44,174.08,120.38,138.40,-2%,46%,1.98%,2.86%,5.86%,149.40%,163.03%,16.28,2.49%,0.00%,,1997,0.00,-,48,,,0,1.78%,6,6,0.23%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                      117.30,,,1/5/2015,,1/5/2015,,,,,2.93%,$            117.30,3.44,174.08,120.38,138.40,-6%,48%,1.98%,2.86%,5.97%,153.94%,167.82%,16.28,2.49%,-1.79%,,1998,0.00,,19,,,1,1.80%,11,17,0.41%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                      114.44,,,1/12/2015,,1/12/2015,,,,,3.01%,$            114.44,3.44,174.08,120.38,138.40,-11%,52%,1.98%,2.86%,6.12%,160.27%,174.50%,16.28,2.49%,-4.18%,,1999,0.00,,,,,2,1.82%,16,33,0.60%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       110.61,,,1/20/2015,,1/20/2015,,,,,3.11%,$             110.61,3.44,174.08,120.38,138.40,-18%,57%,1.98%,2.86%,6.33%,169.30%,184.02%,16.28,2.49%,-7.39%,,2000,0.00,,1/1/1970,1970,,3,1.84%,13,46,0.49%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                      110.03,,,1/26/2015,,1/26/2015,,,,,3.13%,$            110.03,3.44,174.08,120.38,138.40,-19%,58%,1.98%,2.86%,6.36%,170.71%,185.50%,16.28,2.49%,-7.87%,,2001,0.00,,1/1/1971,1971,,4,1.86%,10,56,0.38%
