,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,ARCC US,Ares Capital,,,,,,,,,,22%,29%,$        18.78,$            17.19,$          20.65,$              23.81,$          24.25,19.80%,7.92%,9.42%,23.76%,132.43%,132.43%,132%,,,,,,,NO,,,14.32%,7.47%,6.85%,0.10%,69
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Ares Capital - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,11.17%,11/10/2017,,,,,,,,,,$          20.65,10%,10.22%,$          24.25,$           16.33,$                8.08,$           13.60,7.25%,11.17%,9.30%,8.06%,-21.13%,-21.13%,-106%,,,,5Y CAGR,4.06%,,Ares Capital - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,2.37%,,Ares Capital - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Ares Capital - Rating: 22% - Upside: 29%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                        14.46,,,12/29/2014,,12/29/2014,,,,,10.50%,$              14.46,1.52,19.18,13.60,16.33,15%,33%,7.92%,11.17%,13.28%,29.88%,72.58%,6.1752,9.30%,0.00%,,1997,0.00,-,22,,,0,7.47%,19,19,0.72%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                        14.59,,,1/5/2015,,1/5/2015,,,,,10.41%,$              14.59,1.52,19.18,13.60,16.33,18%,31%,7.92%,11.17%,13.16%,28.72%,71.04%,6.1752,9.30%,0.00%,,1998,0.00,,29,,,1,7.57%,19,38,0.72%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        14.54,,,1/12/2015,,1/12/2015,,,,,10.44%,$              14.54,1.52,19.18,13.60,16.33,17%,32%,7.92%,11.17%,13.20%,29.16%,71.63%,6.1752,9.30%,-0.34%,,1999,0.00,,,,,2,7.67%,18,56,0.68%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                        14.08,,,1/20/2015,,1/20/2015,,,,,10.78%,$              14.08,1.52,19.18,13.60,16.33,9%,36%,7.92%,11.17%,13.64%,33.38%,77.24%,6.1752,9.30%,-3.50%,,2000,0.00,,1/1/1970,1970,,3,7.77%,32,88,1.21%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                         13.91,,,1/26/2015,,1/26/2015,,,,,10.92%,$               13.91,1.52,19.18,13.60,16.33,6%,38%,7.92%,11.17%,13.80%,35.01%,79.40%,6.1752,9.30%,-4.66%,,2001,0.00,,1/1/1971,1971,,4,7.87%,41,129,1.54%
