,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,ARE US,Alexandria Real Estate Equities Inc,,,,,,,,,,-1%,345%,$       50.94,$           53.17,$        173.80,$          223.57,$       226.72,13.07%,2.33%,3.93%,12.27%,26.06%,26.06%,121%,,,,,,,NO,,,11.91%,2.10%,9.81%,0.15%,65
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,2.11%,,Alexandria Real Estate Equities Inc - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,9.93%,11/10/2017,,,,,,,,,,$        173.80,241%,10.37%,$       226.72,$        106.32,$              40.41,$          32.53,2.00%,9.93%,3.04%,2.22%,-77.22%,-77.22%,-7%,,,,5Y CAGR,3.34%,,Alexandria Real Estate Equities Inc - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,5.04%,,Alexandria Real Estate Equities Inc - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Alexandria Real Estate Equities Inc - Rating: -1% - Upside: 345%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                         89.11,,,12/29/2014,,12/29/2014,,,,,3.62%,$               89.11,3.23,138.69,32.53,106.32,53%,56%,2.33%,9.93%,5.57%,-42.83%,-26.66%,14.41,3.04%,0.00%,,1997,0.00,-,-1,,,0,2.10%,78,78,2.94%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       90.34,,,1/5/2015,,1/5/2015,,,,,3.58%,$             90.34,3.23,138.69,32.53,106.32,54%,54%,2.33%,9.93%,5.49%,-43.61%,-27.66%,14.41,3.04%,0.00%,,1998,0.00,,345,,,1,2.25%,73,151,2.75%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       89.73,,,1/12/2015,,1/12/2015,,,,,3.60%,$             89.73,3.23,138.69,32.53,106.32,54%,55%,2.33%,9.93%,5.53%,-43.23%,-27.17%,14.41,3.04%,-0.68%,,1999,0.00,,,,,2,2.40%,200,351,7.54%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       86.76,,,1/20/2015,,1/20/2015,,,,,3.72%,$             86.76,3.23,138.69,32.53,106.32,51%,60%,2.33%,9.93%,5.72%,-41.29%,-24.68%,14.41,3.04%,-3.96%,,2000,0.00,,1/1/1970,1970,,3,2.55%,248,599,9.34%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       85.57,,,1/26/2015,,1/26/2015,,,,,3.77%,$             85.57,3.23,138.69,32.53,106.32,50%,62%,2.33%,9.93%,5.80%,-40.47%,-23.63%,14.41,3.04%,-5.28%,,2001,0.00,,1/1/1971,1971,,4,2.70%,225,824,8.48%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                       84.50,,,2/2/2015,,2/2/2015,,,,,3.82%,$             84.50,3.23,138.69,32.53,106.32,49%,64%,2.33%,9.93%,5.87%,-39.72%,-22.66%,14.41,3.04%,-6.46%,,2002,2.46,,1/1/1972,1972,,5,2.85%,405,1229,15.26%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                       83.54,,,2/9/2015,,2/9/2015,,,,,3.87%,$             83.54,3.23,138.69,32.53,106.32,48%,66%,2.33%,9.93%,5.94%,-39.02%,-21.77%,14.41,3.04%,-7.53%,,2003,2.20,-10.57%,1/1/1973,1973,,6,3.00%,280,1509,10.55%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                        81.28,,,2/17/2015,,2/17/2015,,,,,3.97%,$              81.28,3.23,138.69,32.53,106.32,46%,71%,2.33%,9.93%,6.10%,-37.33%,-19.60%,14.41,3.04%,-10.03%,,2004,2.52,14.55%,1/1/1974,1974,,7,3.15%,108,1617,4.07%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                         81.01,,,2/23/2015,,2/23/2015,,,,,3.99%,$               81.01,3.23,138.69,32.53,106.32,46%,71%,2.33%,9.93%,6.12%,-37.12%,-19.33%,14.41,3.04%,-10.33%,,2005,2.72,7.94%,1/1/1975,1975,,8,3.30%,69,1686,2.60%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                        80.16,,,3/2/2015,,3/2/2015,,,,,4.03%,$              80.16,3.23,138.69,32.53,106.32,45%,73%,2.33%,9.93%,6.19%,-36.45%,-18.48%,14.41,3.04%,-11.27%,,2006,2.29,-15.96%,1/1/1976,1976,,9,3.45%,49,1735,1.85%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                       80.37,,,3/9/2015,,3/9/2015,,,,,4.02%,$             80.37,3.23,138.69,32.53,106.32,45%,73%,2.33%,9.93%,6.17%,-36.62%,-18.69%,14.41,3.04%,-11.04%,,2007,3.04,32.98%,1/1/1977,1977,,10,3.60%,16,1751,0.60%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                       76.45,,,3/16/2015,,3/16/2015,,,,,4.22%,$             76.45,3.23,138.69,32.53,106.32,41%,81%,2.33%,9.93%,6.49%,-33.37%,-14.52%,14.41,3.04%,-15.38%,,2008,3.18,4.61%,1/1/1978,1978,,11,3.75%,19,1770,0.72%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                       76.42,,,3/23/2015,,3/23/2015,,,,,4.23%,$             76.42,3.23,138.69,32.53,106.32,41%,81%,2.33%,9.93%,6.49%,-33.34%,-14.49%,14.41,3.04%,-15.41%,,2009,1.85,-41.82%,1/1/1979,1979,,12,3.90%,69,1839,2.60%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,$                                                       78.30,,,3/30/2015,,3/30/2015,,,,,4.13%,$             78.30,3.23,138.69,32.53,106.32,43%,77%,2.33%,9.93%,6.33%,-34.94%,-16.54%,14.41,3.04%,-13.33%,,2010,1.50,-18.92%,1/1/1980,1980,,13,4.05%,123,1962,4.63%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,$                                                       77.47,,,4/6/2015,,4/6/2015,,,,,4.17%,$             77.47,3.23,138.69,32.53,106.32,42%,79%,2.33%,9.93%,6.40%,-34.25%,-15.64%,14.41,3.04%,-14.25%,,2011,1.86,24.00%,1/1/1981,1981,,14,4.20%,114,2076,4.30%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,$                                                       78.67,,,4/13/2015,,4/13/2015,,,,,4.11%,$             78.67,3.23,138.69,32.53,106.32,43%,76%,2.33%,9.93%,6.30%,-35.25%,-16.93%,14.41,3.04%,-12.92%,,2012,2.09,12.37%,1/1/1982,1982,,15,4.35%,80,2156,3.01%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,$                                                       77.82,,,4/20/2015,,4/20/2015,,,,,4.15%,$             77.82,3.23,138.69,32.53,106.32,43%,78%,2.33%,9.93%,6.37%,-34.54%,-16.02%,14.41,3.04%,-13.86%,,2013,2.61,24.88%,1/1/1983,1983,,16,4.50%,19,2175,0.72%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,$                                                       77.66,,,4/27/2015,,4/27/2015,,,,,4.16%,$             77.66,3.23,138.69,32.53,106.32,43%,79%,2.33%,9.93%,6.39%,-34.41%,-15.85%,14.41,3.04%,-14.04%,,2014,2.88,10.34%,1/1/1984,1984,,17,4.65%,16,2191,0.60%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,$                                                        79.18,,,5/4/2015,,5/4/2015,,,,,4.08%,$              79.18,3.23,138.69,32.53,106.32,44%,75%,2.33%,9.93%,6.26%,-35.67%,-17.47%,14.41,3.04%,-12.35%,,2015,3.05,5.90%,1/1/1985,1985,,18,4.80%,19,2210,0.72%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,$                                                        78.15,,,5/11/2015,,5/11/2015,,,,,4.13%,$              78.15,3.23,138.69,32.53,106.32,43%,77%,2.33%,9.93%,6.35%,-34.82%,-16.38%,14.41,3.04%,-13.49%,,2016,3.23,5.90%,1/1/1986,1986,,19,4.95%,18,2228,0.68%
,,,,,,,,,,,,,,,,,,2016,2/2/2016,$                                                       76.26,,,5/18/2015,,5/18/2015,,,,,4.24%,$             76.26,3.23,138.69,32.53,106.32,41%,82%,2.33%,9.93%,6.50%,-33.20%,-14.31%,14.41,3.04%,-15.59%,,2017,3.45,6.81%,1/1/1987,1987,,20,5.10%,27,2255,1.02%
,,,,,,,,,,,,,,,,,,2016,2/3/2016,$                                                       76.20,,,5/26/2015,,5/26/2015,,,,,4.24%,$             76.20,3.23,138.69,32.53,106.32,41%,82%,2.33%,9.93%,6.51%,-33.15%,-14.24%,14.41,3.04%,-15.65%,,2018,3.73,8.12%,1/1/1988,1988,,21,5.25%,19,2274,0.72%
,,,,,,,,,,,,,,,,,,2016,2/4/2016,$                                                        76.91,,,6/1/2015,,6/1/2015,,,,,4.20%,$              76.91,3.23,138.69,32.53,106.32,42%,80%,2.33%,9.93%,6.45%,-33.77%,-15.03%,14.41,3.04%,-14.87%,,2019,4.00,7.24%,1/1/1989,1989,,22,5.40%,31,2305,1.17%
,,,,,,,,,,,,,,,,,,2016,2/5/2016,$                                                       76.55,,,6/8/2015,,6/8/2015,,,,,4.22%,$             76.55,3.23,138.69,32.53,106.32,41%,81%,2.33%,9.93%,6.48%,-33.46%,-14.63%,14.41,3.04%,-15.26%,,2020,4.24,6.00%,1/1/1990,1990,,23,5.55%,5,2310,0.19%
,,,,,,,,,,,,,,,,,,2016,2/8/2016,$                                                        74.61,,,6/15/2015,,6/15/2015,,,,,4.33%,$              74.61,3.23,138.69,32.53,106.32,40%,86%,2.33%,9.93%,6.65%,-31.72%,-12.41%,14.41,3.04%,-17.41%,,2021,4.48,5.66%,1/1/1991,1991,,24,5.70%,3,2313,0.11%
,,,,,,,,,,,,,,,,,,2016,2/9/2016,$                                                        72.10,,,6/22/2015,,6/22/2015,,,,,4.48%,$              72.10,3.23,138.69,32.53,106.32,37%,92%,2.33%,9.93%,6.88%,-29.35%,-9.36%,14.41,3.04%,-20.19%,,2022,4.72,5.36%,1/1/1992,1992,,25,5.85%,0,2313,0.00%
,,,,,,,,,,,,,,,,,,2016,2/10/2016,$                                                       72.85,,,6/29/2015,,6/29/2015,,,,,4.43%,$             72.85,3.23,138.69,32.53,106.32,38%,90%,2.33%,9.93%,6.81%,-30.08%,-10.30%,14.41,3.04%,-19.36%,,2023,4.96,5.08%,1/1/1993,1993,,26,6.00%,6,2319,0.23%
,,,,,,,,,,,,,,,,,,2016,2/11/2016,$                                                        71.65,,,7/6/2015,,7/6/2015,,,,,4.51%,$              71.65,3.23,138.69,32.53,106.32,37%,94%,2.33%,9.93%,6.92%,-28.90%,-8.79%,14.41,3.04%,-20.69%,,2024,5.08,2.42%,1/1/1994,1994,,27,6.15%,11,2330,0.41%
,,,,,,,,,,,,,,,,,,2016,2/12/2016,$                                                        71.85,,,7/13/2015,,7/13/2015,,,,,4.50%,$              71.85,3.23,138.69,32.53,106.32,37%,93%,2.33%,9.93%,6.90%,-29.10%,-9.05%,14.41,3.04%,-20.47%,,2025,5.28,3.94%,1/1/1995,1995,,28,6.30%,10,2340,0.38%
,,,,,,,,,,,,,,,,,,2016,2/16/2016,$                                                       74.00,,,7/20/2015,,7/20/2015,,,,,4.36%,$             74.00,3.23,138.69,32.53,106.32,39%,87%,2.33%,9.93%,6.70%,-31.16%,-11.69%,14.41,3.04%,-18.09%,,2026,5.28,0.00%,1/1/1996,1996,,29,6.45%,10,2350,0.38%
,,,,,,,,,,,,,,,,,,2016,2/17/2016,$                                                       74.34,,,7/27/2015,,7/27/2015,,,,,4.34%,$             74.34,3.23,138.69,32.53,106.32,39%,87%,2.33%,9.93%,6.67%,-31.48%,-12.09%,14.41,3.04%,-17.71%,,,,,1/1/1997,1997,,30,6.60%,11,2361,0.41%
,,,,,,,,,,,,,,,,,,2016,2/18/2016,$                                                       74.76,,,8/3/2015,,8/3/2015,,,,,4.32%,$             74.76,3.23,138.69,32.53,106.32,40%,86%,2.33%,9.93%,6.63%,-31.86%,-12.59%,14.41,3.04%,-17.25%,,,,,1/1/1998,1998,,31,6.75%,27,2388,1.02%
,,,,,,,,,,,,,,,,,,2016,2/19/2016,$                                                       74.97,,,8/10/2015,,8/10/2015,,,,,4.31%,$             74.97,3.23,138.69,32.53,106.32,40%,85%,2.33%,9.93%,6.62%,-32.05%,-12.83%,14.41,3.04%,-17.01%,,,,,1/1/1999,1999,,32,6.90%,15,2403,0.57%
,,,,,,,,,,,,,,,,,,2016,2/22/2016,$                                                       76.30,,,8/17/2015,,8/17/2015,,,,,4.23%,$             76.30,3.23,138.69,32.53,106.32,41%,82%,2.33%,9.93%,6.50%,-33.24%,-14.35%,14.41,3.04%,-15.54%,,,,,1/1/2000,2000,,33,7.05%,20,2423,0.75%
,,,,,,,,,,,,,,,,,,2016,2/23/2016,$                                                       76.30,,,8/24/2015,,8/24/2015,,,,,4.23%,$             76.30,3.23,138.69,32.53,106.32,41%,82%,2.33%,9.93%,6.50%,-33.24%,-14.35%,14.41,3.04%,-15.54%,,,,,1/1/2001,2001,,34,7.20%,14,2437,0.53%
