,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,AROW US,Arrow Financial Corp,,,,,,,,,,106%,-2%,$       39.45,$           21.92,$          32.27,$             42.50,$          38.53,6.42%,2.80%,3.54%,6.42%,134.40%,134.40%,124%,,,,,,,NO,,,6.27%,2.64%,3.63%,0.05%,73
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Arrow Financial Corp - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,4.93%,11/10/2017,,,,,,,,,,$          32.27,-18%,2.74%,$          38.53,$          29.88,$              16.83,$          20.29,2.54%,4.93%,3.35%,2.54%,-7.18%,-7.18%,-31%,,,,5Y CAGR,0.76%,,Arrow Financial Corp - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,0.77%,,Arrow Financial Corp - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Arrow Financial Corp - Rating: 106% - Upside: -2%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       24.34,,,12/29/2014,,12/29/2014,,,,,4.11%,$             24.34,1.00,35.68,20.29,29.88,26%,47%,2.80%,4.93%,4.44%,62.05%,78.73%,4.06,3.35%,0.00%,,1997,0.00,-,106,,,0,2.64%,14,14,0.53%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                        24.14,,,1/5/2015,,1/5/2015,,,,,4.14%,$              24.14,1.00,35.68,20.29,29.88,25%,48%,2.80%,4.93%,4.47%,63.42%,80.24%,4.06,3.35%,-0.84%,,1998,0.00,,-2,,,1,2.69%,24,38,0.90%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        24.21,,,1/12/2015,,1/12/2015,,,,,4.13%,$              24.21,1.00,35.68,20.29,29.88,25%,47%,2.80%,4.93%,4.46%,62.94%,79.71%,4.06,3.35%,-0.55%,,1999,0.00,,,,,2,2.74%,66,104,2.49%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       23.70,,,1/20/2015,,1/20/2015,,,,,4.22%,$             23.70,1.00,35.68,20.29,29.88,22%,51%,2.80%,4.93%,4.56%,66.48%,83.62%,4.06,3.35%,-2.66%,,2000,0.00,,1/1/1970,1970,,3,2.79%,65,169,2.45%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       23.52,,,1/26/2015,,1/26/2015,,,,,4.25%,$             23.52,1.00,35.68,20.29,29.88,21%,52%,2.80%,4.93%,4.59%,67.74%,85.01%,4.06,3.35%,-3.39%,,2001,0.00,,1/1/1971,1971,,4,2.84%,114,283,4.30%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                       23.84,,,2/2/2015,,2/2/2015,,,,,4.19%,$             23.84,1.00,35.68,20.29,29.88,23%,50%,2.80%,4.93%,4.53%,65.49%,82.52%,4.06,3.35%,-2.08%,,2002,0.78,,1/1/1972,1972,,5,2.89%,105,388,3.96%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                       23.83,,,2/9/2015,,2/9/2015,,,,,4.20%,$             23.83,1.00,35.68,20.29,29.88,23%,50%,2.80%,4.93%,4.53%,65.55%,82.59%,4.06,3.35%,-2.12%,,2003,0.84,6.63%,1/1/1973,1973,,6,2.94%,96,484,3.62%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                       23.34,,,2/17/2015,,2/17/2015,,,,,4.28%,$             23.34,1.00,35.68,20.29,29.88,20%,53%,2.80%,4.93%,4.63%,69.02%,86.41%,4.06,3.35%,-4.12%,,2004,0.91,8.85%,1/1/1974,1974,,7,2.99%,124,608,4.68%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                       23.29,,,2/23/2015,,2/23/2015,,,,,4.29%,$             23.29,1.00,35.68,20.29,29.88,19%,53%,2.80%,4.93%,4.64%,69.41%,86.84%,4.06,3.35%,-4.34%,,2005,0.94,3.30%,1/1/1975,1975,,8,3.04%,101,709,3.81%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                       22.67,,,3/2/2015,,3/2/2015,,,,,4.41%,$             22.67,1.00,35.68,20.29,29.88,15%,57%,2.80%,4.93%,4.76%,73.99%,91.89%,4.06,3.35%,-6.86%,,2006,0.96,2.13%,1/1/1976,1976,,9,3.09%,102,811,3.85%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                        23.19,,,3/9/2015,,3/9/2015,,,,,4.31%,$              23.19,1.00,35.68,20.29,29.88,19%,54%,2.80%,4.93%,4.66%,70.12%,87.63%,4.06,3.35%,-4.74%,,2007,0.96,0.00%,1/1/1977,1977,,10,3.14%,135,946,5.09%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                       23.63,,,3/16/2015,,3/16/2015,,,,,4.23%,$             23.63,1.00,35.68,20.29,29.88,22%,51%,2.80%,4.93%,4.57%,66.92%,84.10%,4.06,3.35%,-2.92%,,2008,0.98,2.08%,1/1/1978,1978,,11,3.19%,130,1076,4.90%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                       23.53,,,3/23/2015,,3/23/2015,,,,,4.25%,$             23.53,1.00,35.68,20.29,29.88,21%,52%,2.80%,4.93%,4.59%,67.68%,84.94%,4.06,3.35%,-3.36%,,2009,1.00,2.04%,1/1/1979,1979,,12,3.24%,115,1191,4.34%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,$                                                        23.81,,,3/30/2015,,3/30/2015,,,,,4.20%,$              23.81,1.00,35.68,20.29,29.88,23%,50%,2.80%,4.93%,4.54%,65.68%,82.73%,4.06,3.35%,-2.19%,,2010,1.00,0.00%,1/1/1980,1980,,13,3.29%,110,1301,4.15%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,$                                                        22.91,,,4/6/2015,,4/6/2015,,,,,4.36%,$              22.91,1.00,35.68,20.29,29.88,17%,56%,2.80%,4.93%,4.71%,72.17%,89.88%,4.06,3.35%,-5.88%,,2011,1.00,0.00%,1/1/1981,1981,,14,3.34%,111,1412,4.19%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,$                                                       23.30,,,4/13/2015,,4/13/2015,,,,,4.29%,$             23.30,1.00,35.68,20.29,29.88,20%,53%,2.80%,4.93%,4.64%,69.34%,86.77%,4.06,3.35%,-4.31%,,2012,1.00,0.00%,1/1/1982,1982,,15,3.39%,102,1514,3.85%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,$                                                       22.97,,,4/20/2015,,4/20/2015,,,,,4.35%,$             22.97,1.00,35.68,20.29,29.88,17%,55%,2.80%,4.93%,4.70%,71.77%,89.44%,4.06,3.35%,-5.66%,,2013,1.00,0.00%,1/1/1983,1983,,16,3.44%,88,1602,3.32%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,$                                                       23.44,,,4/27/2015,,4/27/2015,,,,,4.27%,$             23.44,1.00,35.68,20.29,29.88,20%,52%,2.80%,4.93%,4.61%,68.31%,85.64%,4.06,3.35%,-3.72%,,2014,1.00,0.00%,1/1/1984,1984,,17,3.49%,54,1656,2.04%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,$                                                       24.45,,,5/4/2015,,5/4/2015,,,,,4.09%,$             24.45,1.00,35.68,20.29,29.88,27%,46%,2.80%,4.93%,4.42%,61.34%,77.95%,4.06,3.35%,0.00%,,2015,1.00,0.00%,1/1/1985,1985,,18,3.54%,50,1706,1.89%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,$                                                       23.86,,,5/11/2015,,5/11/2015,,,,,4.19%,$             23.86,1.00,35.68,20.29,29.88,23%,49%,2.80%,4.93%,4.53%,65.31%,82.32%,4.06,3.35%,-2.40%,,2016,1.00,0.00%,1/1/1986,1986,,19,3.59%,40,1746,1.51%
,,,,,,,,,,,,,,,,,,2016,2/2/2016,$                                                       23.59,,,5/18/2015,,5/18/2015,,,,,4.24%,$             23.59,1.00,35.68,20.29,29.88,21%,51%,2.80%,4.93%,4.58%,67.24%,84.45%,4.06,3.35%,-3.52%,,2017,1.00,0.00%,1/1/1987,1987,,20,3.64%,51,1797,1.92%
,,,,,,,,,,,,,,,,,,2016,2/3/2016,$                                                       23.62,,,5/26/2015,,5/26/2015,,,,,4.23%,$             23.62,1.00,35.68,20.29,29.88,22%,51%,2.80%,4.93%,4.57%,66.99%,84.17%,4.06,3.35%,-3.38%,,2018,1.02,2.00%,1/1/1988,1988,,21,3.69%,57,1854,2.15%
,,,,,,,,,,,,,,,,,,2016,2/4/2016,$                                                       23.35,,,6/1/2015,,6/1/2015,,,,,4.28%,$             23.35,1.00,35.68,20.29,29.88,20%,53%,2.80%,4.93%,4.63%,68.96%,86.34%,4.06,3.35%,-4.51%,,2019,1.04,1.96%,1/1/1989,1989,,22,3.74%,59,1913,2.22%
,,,,,,,,,,,,,,,,,,2016,2/5/2016,$                                                        23.19,,,6/8/2015,,6/8/2015,,,,,4.31%,$              23.19,1.00,35.68,20.29,29.88,19%,54%,2.80%,4.93%,4.66%,70.12%,87.63%,4.06,3.35%,-5.16%,,2020,1.04,0.00%,1/1/1990,1990,,23,3.79%,40,1953,1.51%
,,,,,,,,,,,,,,,,,,2016,2/8/2016,$                                                       23.42,,,6/15/2015,,6/15/2015,,,,,4.27%,$             23.42,1.00,35.68,20.29,29.88,20%,52%,2.80%,4.93%,4.61%,68.44%,85.78%,4.06,3.35%,-4.22%,,2021,1.04,0.00%,1/1/1991,1991,,24,3.84%,38,1991,1.43%
,,,,,,,,,,,,,,,,,,2016,2/9/2016,$                                                       23.35,,,6/22/2015,,6/22/2015,,,,,4.28%,$             23.35,1.00,35.68,20.29,29.88,20%,53%,2.80%,4.93%,4.63%,68.96%,86.34%,4.06,3.35%,-4.51%,,2022,1.08,3.85%,1/1/1992,1992,,25,3.89%,45,2036,1.70%
,,,,,,,,,,,,,,,,,,2016,2/10/2016,$                                                       23.32,,,6/29/2015,,6/29/2015,,,,,4.29%,$             23.32,1.00,35.68,20.29,29.88,20%,53%,2.80%,4.93%,4.63%,69.15%,86.56%,4.06,3.35%,-4.61%,,2023,1.08,0.00%,1/1/1993,1993,,26,3.94%,48,2084,1.81%
,,,,,,,,,,,,,,,,,,2016,2/11/2016,$                                                       23.20,,,7/6/2015,,7/6/2015,,,,,4.31%,$             23.20,1.00,35.68,20.29,29.88,19%,54%,2.80%,4.93%,4.66%,70.06%,87.56%,4.06,3.35%,-5.12%,,2024,1.08,0.00%,1/1/1994,1994,,27,3.99%,47,2131,1.77%
,,,,,,,,,,,,,,,,,,2016,2/12/2016,$                                                       23.64,,,7/13/2015,,7/13/2015,,,,,4.23%,$             23.64,1.00,35.68,20.29,29.88,22%,51%,2.80%,4.93%,4.57%,66.86%,84.03%,4.06,3.35%,-3.31%,,2025,1.08,0.00%,1/1/1995,1995,,28,4.04%,41,2172,1.55%
,,,,,,,,,,,,,,,,,,2016,2/16/2016,$                                                        24.16,,,7/20/2015,,7/20/2015,,,,,4.14%,$              24.16,1.00,35.68,20.29,29.88,25%,48%,2.80%,4.93%,4.47%,63.30%,80.11%,4.06,3.35%,-1.20%,,2026,1.08,0.00%,1/1/1996,1996,,29,4.09%,43,2215,1.62%
,,,,,,,,,,,,,,,,,,2016,2/17/2016,$                                                       23.73,,,7/27/2015,,7/27/2015,,,,,4.21%,$             23.73,1.00,35.68,20.29,29.88,22%,50%,2.80%,4.93%,4.55%,66.24%,83.34%,4.06,3.35%,-2.94%,,,,,1/1/1997,1997,,30,4.14%,34,2249,1.28%
,,,,,,,,,,,,,,,,,,2016,2/18/2016,$                                                       23.37,,,8/3/2015,,8/3/2015,,,,,4.28%,$             23.37,1.00,35.68,20.29,29.88,20%,53%,2.80%,4.93%,4.62%,68.83%,86.20%,4.06,3.35%,-4.43%,,,,,1/1/1998,1998,,31,4.19%,35,2284,1.32%
,,,,,,,,,,,,,,,,,,2016,2/19/2016,$                                                        23.41,,,8/10/2015,,8/10/2015,,,,,4.27%,$              23.41,1.00,35.68,20.29,29.88,20%,52%,2.80%,4.93%,4.61%,68.51%,85.85%,4.06,3.35%,-4.25%,,,,,1/1/1999,1999,,32,4.24%,37,2321,1.40%
,,,,,,,,,,,,,,,,,,2016,2/22/2016,$                                                       23.49,,,8/17/2015,,8/17/2015,,,,,4.26%,$             23.49,1.00,35.68,20.29,29.88,21%,52%,2.80%,4.93%,4.60%,67.93%,85.22%,4.06,3.35%,-3.92%,,,,,1/1/2000,2000,,33,4.29%,42,2363,1.58%
,,,,,,,,,,,,,,,,,,2016,2/23/2016,$                                                       22.98,,,8/24/2015,,8/24/2015,,,,,4.35%,$             22.98,1.00,35.68,20.29,29.88,17%,55%,2.80%,4.93%,4.70%,71.70%,89.37%,4.06,3.35%,-6.03%,,,,,1/1/2001,2001,,34,4.34%,31,2394,1.17%
,,,,,,,,,,,,,,,,,,2016,2/24/2016,$                                                        23.18,,,8/31/2015,,8/31/2015,,,,,4.31%,$              23.18,1.00,35.68,20.29,29.88,19%,54%,2.80%,4.93%,4.66%,70.19%,87.70%,4.06,3.35%,-5.20%,,,,,1/1/2002,2002,,35,4.39%,26,2420,0.98%
,,,,,,,,,,,,,,,,,,2016,2/25/2016,$                                                       23.45,,,9/8/2015,,9/8/2015,,,,,4.26%,$             23.45,1.00,35.68,20.29,29.88,21%,52%,2.80%,4.93%,4.61%,68.25%,85.57%,4.06,3.35%,-4.11%,,,,,1/1/2003,2003,,36,4.44%,17,2437,0.64%
