,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,ARTNA US,Artesian Resources Corp,,,,,,,,,,10%,60%,$       34.45,$           32.16,$           41.70,$              61.96,$          55.06,3.83%,2.06%,2.79%,4.45%,34.99%,49.75%,130%,,,,,,,NO,,,3.70%,1.87%,1.83%,0.03%,61
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Artesian Resources Corp - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,3.53%,11/10/2017,,,,,,,,,,$           41.70,21%,3.30%,$          55.06,$          33.03,$             25.52,$          25.46,1.83%,3.53%,2.72%,1.83%,-44.40%,-44.40%,-11%,,,,5Y CAGR,1.65%,,Artesian Resources Corp - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,2.36%,,Artesian Resources Corp - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Artesian Resources Corp - Rating: 10% - Upside: 60%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       26.39,,,12/29/2014,,12/29/2014,,,,,3.41%,$             26.39,0.90,43.60,25.46,33.03,5%,65%,2.06%,3.53%,4.31%,30.54%,44.81%,3.7652,2.72%,0.00%,,1997,0.00,-,10,,,0,1.87%,8,8,0.30%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       26.82,,,1/5/2015,,1/5/2015,,,,,3.35%,$             26.82,0.90,43.60,25.46,33.03,7%,63%,2.06%,3.53%,4.24%,28.45%,42.49%,3.7652,2.72%,0.00%,,1998,0.00,,60,,,1,1.90%,13,21,0.49%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       27.25,,,1/12/2015,,1/12/2015,,,,,3.30%,$             27.25,0.90,43.60,25.46,33.03,10%,60%,2.06%,3.53%,4.17%,26.42%,40.24%,3.7652,2.72%,0.00%,,1999,0.00,,,,,2,1.93%,18,39,0.68%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                        27.14,,,1/20/2015,,1/20/2015,,,,,3.32%,$              27.14,0.90,43.60,25.46,33.03,9%,61%,2.06%,3.53%,4.19%,26.93%,40.81%,3.7652,2.72%,-0.40%,,2000,0.00,,1/1/1970,1970,,3,1.96%,23,62,0.87%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       27.44,,,1/26/2015,,1/26/2015,,,,,3.28%,$             27.44,0.90,43.60,25.46,33.03,11%,59%,2.06%,3.53%,4.14%,25.55%,39.27%,3.7652,2.72%,0.00%,,2001,0.00,,1/1/1971,1971,,4,1.99%,20,82,0.75%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                       27.86,,,2/2/2015,,2/2/2015,,,,,3.23%,$             27.86,0.90,43.60,25.46,33.03,13%,57%,2.06%,3.53%,4.08%,23.65%,37.17%,3.7652,2.72%,0.00%,,2002,0.52,,1/1/1972,1972,,5,2.02%,23,105,0.87%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                        27.16,,,2/9/2015,,2/9/2015,,,,,3.31%,$              27.16,0.90,43.60,25.46,33.03,9%,61%,2.06%,3.53%,4.18%,26.84%,40.70%,3.7652,2.72%,-2.51%,,2003,0.53,3.13%,1/1/1973,1973,,6,2.05%,25,130,0.94%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                       26.98,,,2/17/2015,,2/17/2015,,,,,3.33%,$             26.98,0.90,43.60,25.46,33.03,8%,62%,2.06%,3.53%,4.21%,27.69%,41.64%,3.7652,2.72%,-3.16%,,2004,0.55,4.07%,1/1/1974,1974,,7,2.08%,14,144,0.53%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                        27.17,,,2/23/2015,,2/23/2015,,,,,3.31%,$              27.17,0.90,43.60,25.46,33.03,9%,60%,2.06%,3.53%,4.18%,26.79%,40.65%,3.7652,2.72%,-2.48%,,2005,0.58,4.90%,1/1/1975,1975,,8,2.11%,24,168,0.90%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                       26.74,,,3/2/2015,,3/2/2015,,,,,3.36%,$             26.74,0.90,43.60,25.46,33.03,7%,63%,2.06%,3.53%,4.25%,28.83%,42.91%,3.7652,2.72%,-4.02%,,2006,0.61,5.68%,1/1/1976,1976,,9,2.14%,10,178,0.38%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                       26.83,,,3/9/2015,,3/9/2015,,,,,3.35%,$             26.83,0.90,43.60,25.46,33.03,8%,63%,2.06%,3.53%,4.23%,28.40%,42.43%,3.7652,2.72%,-3.70%,,2007,0.66,8.24%,1/1/1977,1977,,10,2.17%,21,199,0.79%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                       27.09,,,3/16/2015,,3/16/2015,,,,,3.32%,$             27.09,0.90,43.60,25.46,33.03,9%,61%,2.06%,3.53%,4.19%,27.17%,41.07%,3.7652,2.72%,-2.76%,,2008,0.71,6.51%,1/1/1978,1978,,11,2.20%,20,219,0.75%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                       27.29,,,3/23/2015,,3/23/2015,,,,,3.30%,$             27.29,0.90,43.60,25.46,33.03,10%,60%,2.06%,3.53%,4.16%,26.24%,40.03%,3.7652,2.72%,-2.05%,,2009,0.72,2.16%,1/1/1979,1979,,12,2.23%,26,245,0.98%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,$                                                       28.32,,,3/30/2015,,3/30/2015,,,,,3.18%,$             28.32,0.90,43.60,25.46,33.03,16%,54%,2.06%,3.53%,4.01%,21.65%,34.94%,3.7652,2.72%,0.00%,,2010,0.75,4.21%,1/1/1980,1980,,13,2.26%,38,283,1.43%
