,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,ASML NA,ASML Holding NV,,,,,,,,,,97%,2%,$ 1.429,80,$       450.30,$        791.78,$        1.721,40,$    1.461,75,2.39%,0.51%,0.98%,8.31%,1892.75%,1902.23%,126%,,,,,,,NO,,,2.22%,0.45%,1.77%,0.03%,59
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,7.96%,,ASML Holding NV - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,1.67%,11/10/2017,,,,,,,,,,$        791.78,-45%,0.52%,$    1.461,75,$         110.85,$              71.75,$          63.04,0.43%,1.67%,0.95%,0.35%,-16.94%,-16.94%,-14%,,,,5Y CAGR,17.49%,,ASML Holding NV - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,21.73%,,ASML Holding NV - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,ASML Holding NV - Rating: 97% - Upside: 2%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       80.08,,,12/29/2014,,12/29/2014,,,,,1.31%,€               80.08,1.05,204.64,63.04,110.85,12%,156%,0.51%,1.67%,7.44%,1685.46%,1693.96%,6.8,0.95%,0.00%,,1997,0.00,-,97,,,0,0.45%,69,69,2.55%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,€                                                          80.71,,,1/5/2015,,1/5/2015,,,,,1.30%,€                80.71,1.05,204.64,63.04,110.85,12%,154%,0.51%,1.67%,7.38%,1671.53%,1679.95%,6.8,0.95%,0.00%,,1998,0.00,,2,,,1,0.48%,52,121,1.92%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,€                                                         78.83,,,1/12/2015,,1/12/2015,,,,,1.33%,€               78.83,1.05,204.64,63.04,110.85,11%,160%,0.51%,1.67%,7.56%,1713.78%,1722.40%,6.8,0.95%,-2.33%,,1999,0.00,,,,,2,0.51%,28,149,1.04%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,€                                                         76.99,,,1/19/2015,,1/20/2015,,,,,1.36%,€               76.99,1.05,204.64,63.04,110.85,10%,166%,0.51%,1.67%,7.74%,1757.12%,1765.96%,6.8,0.95%,-4.61%,,2000,0.00,,1/1/1970,1970,,3,0.54%,16,165,0.59%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,€                                                         73.74,,,1/26/2015,,1/26/2015,,,,,1.42%,€               73.74,1.05,204.64,63.04,110.85,8%,178%,0.51%,1.67%,8.08%,1838.97%,1848.20%,6.8,0.95%,-8.64%,,2001,0.00,,1/1/1971,1971,,4,0.57%,42,207,1.55%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,€                                                         75.69,,,2/2/2015,,2/2/2015,,,,,1.39%,€               75.69,1.05,204.64,63.04,110.85,9%,170%,0.51%,1.67%,7.87%,1789.02%,1798.01%,6.8,0.95%,-6.22%,,2002,0.00,,1/1/1972,1972,,5,0.60%,72,279,2.66%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,€                                                         75.99,,,2/9/2015,,2/9/2015,,,,,1.38%,€               75.99,1.05,204.64,63.04,110.85,9%,169%,0.51%,1.67%,7.84%,1781.56%,1790.51%,6.8,0.95%,-5.85%,,2003,0.00,,1/1/1973,1973,,6,0.63%,77,356,2.85%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,€                                                         75.35,,,2/16/2015,,2/17/2015,,,,,1.39%,€               75.35,1.05,204.64,63.04,110.85,9%,172%,0.51%,1.67%,7.91%,1797.54%,1806.57%,6.8,0.95%,-6.64%,,2004,0.00,,1/1/1974,1974,,7,0.66%,46,402,1.70%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,€                                                          75.17,,,2/23/2015,,2/23/2015,,,,,1.40%,€                75.17,1.05,204.64,63.04,110.85,9%,172%,0.51%,1.67%,7.93%,1802.09%,1811.13%,6.8,0.95%,-6.86%,,2005,0.00,,1/1/1975,1975,,8,0.69%,85,487,3.14%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,€                                                          71.75,,,3/2/2015,,3/2/2015,,,,,1.46%,€                71.75,1.05,204.64,63.04,110.85,6%,185%,0.51%,1.67%,8.31%,1892.75%,1902.23%,6.8,0.95%,-11.10%,,2006,0.00,,1/1/1976,1976,,9,0.72%,110,597,4.07%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,€                                                         72.47,,,3/9/2015,,3/9/2015,,,,,1.45%,€               72.47,1.05,204.64,63.04,110.85,7%,182%,0.51%,1.67%,8.22%,1872.95%,1882.34%,6.8,0.95%,-10.21%,,2007,0.00,,1/1/1977,1977,,10,0.75%,99,696,3.66%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,€                                                         73.80,,,3/16/2015,,3/16/2015,,,,,1.42%,€               73.80,1.05,204.64,63.04,110.85,8%,177%,0.51%,1.67%,8.08%,1837.40%,1846.61%,6.8,0.95%,-8.56%,,2008,0.00,,1/1/1978,1978,,11,0.78%,117,813,4.33%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,€                                                         77.23,,,3/23/2015,,3/23/2015,,,,,1.36%,€               77.23,1.05,204.64,63.04,110.85,10%,165%,0.51%,1.67%,7.72%,1751.35%,1760.16%,6.8,0.95%,-4.31%,,2009,0.00,,1/1/1979,1979,,12,0.81%,135,948,4.99%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,€                                                         80.59,,,3/30/2015,,3/30/2015,,,,,1.30%,€               80.59,1.05,204.64,63.04,110.85,12%,154%,0.51%,1.67%,7.40%,1674.17%,1682.60%,6.8,0.95%,-0.15%,,2010,0.00,,1/1/1980,1980,,13,0.84%,76,1024,2.81%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,€                                                         83.60,,,4/7/2015,,4/6/2015,,,,,1.26%,€               83.60,1.05,204.64,63.04,110.85,15%,145%,0.51%,1.67%,7.13%,1610.29%,1618.42%,6.8,0.95%,0.00%,,2011,0.00,,1/1/1981,1981,,14,0.87%,105,1129,3.88%
