,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,ASSAB SS,Assa Abloy AB,,,,,,,,,,103%,-1%,$    348.00,$        238.18,$       288.52,$          394.60,$       344.60,2.42%,1.39%,1.68%,3.23%,134.50%,142.89%,147%,,,,,,,NO,,,2.19%,1.26%,0.93%,0.02%,47
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Assa Abloy AB - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,2.02%,11/10/2017,,,,,,,,,,$       288.52,-17%,1.38%,$       344.60,$        159.29,$           148.40,$         131.49,1.22%,2.02%,1.66%,1.22%,-11.81%,-11.81%,-37%,,,,5Y CAGR,4.24%,,Assa Abloy AB - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,6.12%,,Assa Abloy AB - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Assa Abloy AB - Rating: 103% - Upside: -1%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                      171.80,,,12/29/2014,,12/29/2014,,,,,1.54%,171.80 kr,2.65,190.25,131.49,159.29,69%,11%,1.39%,2.02%,2.79%,102.56%,109.81%,12.45,1.66%,0.00%,,1997,0.00,-,103,,,0,1.26%,9,9,0.34%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,172.60 kr,,,1/5/2015,,1/5/2015,,,,,1.54%,172.60 kr,2.65,190.25,131.49,159.29,70%,10%,1.39%,2.02%,2.78%,101.62%,108.84%,12.45,1.66%,0.00%,,1998,0.00,,-1,,,1,1.28%,9,18,0.34%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,170.80 kr,,,1/12/2015,,1/12/2015,,,,,1.55%,170.80 kr,2.65,190.25,131.49,159.29,67%,11%,1.39%,2.02%,2.81%,103.75%,111.04%,12.45,1.66%,-1.04%,,1999,0.00,,,,,2,1.30%,14,32,0.53%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,168.30 kr,,,1/19/2015,,1/20/2015,,,,,1.57%,168.30 kr,2.65,190.25,131.49,159.29,63%,13%,1.39%,2.02%,2.85%,106.77%,114.17%,12.45,1.66%,-2.49%,,2000,0.00,,1/1/1970,1970,,3,1.32%,36,68,1.36%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,167.60 kr,,,1/26/2015,,1/26/2015,,,,,1.58%,167.60 kr,2.65,190.25,131.49,159.29,61%,14%,1.39%,2.02%,2.86%,107.64%,115.07%,12.45,1.66%,-2.90%,,2001,0.00,,1/1/1971,1971,,4,1.34%,27,95,1.02%
