,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,ATD CN,Alimentation Couche-Tard Inc,,,,,,,,,,49%,29%,$       88.82,$          64.74,$          82.02,$             93.76,$         114.26,1.01%,0.52%,0.72%,2.25%,235.61%,238.57%,133%,,,,,,,NO,,,0.99%,0.46%,0.52%,0.01%,52
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Alimentation Couche-Tard Inc - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,0.92%,11/10/2017,,,,,,,,,,$          82.02,-8%,0.67%,$         114.26,$           21.54,$             26.47,$           17.00,0.45%,0.92%,0.73%,0.63%,-5.27%,-5.27%,-12%,,,,5Y CAGR,9.82%,,Alimentation Couche-Tard Inc - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,14.31%,,Alimentation Couche-Tard Inc - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Alimentation Couche-Tard Inc - Rating: 49% - Upside: 29%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       30.20,,,12/29/2014,,12/29/2014,,,,,0.52%,$             30.20,0.16,30.00,17.00,21.54,102%,-1%,0.52%,0.92%,1.97%,194.11%,196.69%,0.78125,0.73%,0.00%,,1997,0.00,-,49,,,0,0.46%,17,17,0.64%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                        30.12,,,1/5/2015,,1/5/2015,,,,,0.52%,$              30.12,0.16,30.00,17.00,21.54,101%,0%,0.52%,0.92%,1.98%,194.94%,197.53%,0.78125,0.73%,-0.28%,,1998,0.00,,29,,,1,0.47%,12,29,0.45%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       29.83,,,1/12/2015,,1/12/2015,,,,,0.52%,$             29.83,0.16,30.00,17.00,21.54,99%,1%,0.52%,0.92%,1.99%,197.75%,200.37%,0.78125,0.73%,-1.23%,,1999,0.00,,,,,2,0.48%,22,51,0.83%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       29.88,,,1/19/2015,,1/20/2015,,,,,0.52%,$             29.88,0.16,30.00,17.00,21.54,99%,0%,0.52%,0.92%,1.99%,197.31%,199.92%,0.78125,0.73%,-1.08%,,2000,0.00,,1/1/1970,1970,,3,0.49%,21,72,0.79%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       30.24,,,1/26/2015,,1/26/2015,,,,,0.52%,$             30.24,0.16,30.00,17.00,21.54,102%,-1%,0.52%,0.92%,1.97%,193.72%,196.30%,0.78125,0.73%,0.00%,,2001,0.00,,1/1/1971,1971,,4,0.50%,20,92,0.76%
