,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,ATO US,Atmos Energy Corp,,,,,,,,,,111%,-4%,$     179.22,$         110.52,$        130.25,$           192.29,$        172.38,3.02%,1.75%,2.30%,4.90%,190.28%,202.71%,132%,,,,,,,NO,,,2.90%,1.61%,1.29%,0.02%,64
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Atmos Energy Corp - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,2.74%,11/10/2017,,,,,,,,,,$        130.25,-27%,1.69%,$        172.38,$          73.63,$              61.74,$          62.48,1.57%,2.74%,2.32%,1.57%,-6.80%,-6.80%,-17%,,,,5Y CAGR,3.43%,,Atmos Energy Corp - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,5.87%,,Atmos Energy Corp - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Atmos Energy Corp - Rating: 111% - Upside: -4%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       62.37,,,12/29/2014,,12/29/2014,,,,,2.74%,$             62.37,1.71,97.45,62.48,73.63,0%,56%,1.75%,2.74%,4.85%,187.35%,199.66%,7.675,2.32%,0.00%,,1997,0.00,-,111,,,0,1.61%,15,15,0.57%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       62.60,,,1/5/2015,,1/5/2015,,,,,2.73%,$             62.60,1.71,97.45,62.48,73.63,0%,56%,1.75%,2.74%,4.83%,186.29%,198.55%,7.675,2.32%,0.00%,,1998,0.00,,-4,,,1,1.63%,13,28,0.49%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       62.80,,,1/12/2015,,1/12/2015,,,,,2.72%,$             62.80,1.71,97.45,62.48,73.63,1%,55%,1.75%,2.74%,4.82%,185.38%,197.60%,7.675,2.32%,0.00%,,1999,0.00,,,,,2,1.65%,12,40,0.45%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                        62.19,,,1/20/2015,,1/20/2015,,,,,2.75%,$              62.19,1.71,97.45,62.48,73.63,-1%,57%,1.75%,2.74%,4.86%,188.18%,200.52%,7.675,2.32%,-0.97%,,2000,0.00,,1/1/1970,1970,,3,1.67%,12,52,0.45%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       62.26,,,1/26/2015,,1/26/2015,,,,,2.75%,$             62.26,1.71,97.45,62.48,73.63,-1%,57%,1.75%,2.74%,4.86%,187.86%,200.18%,7.675,2.32%,-0.86%,,2001,0.00,,1/1/1971,1971,,4,1.69%,25,77,0.94%
