,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,ATRLJB SS,Atrium Ljungberg AB,,,,,,,,,,-15%,77%,$       25.95,$          28.58,$          36.86,$             50.00,$          46.00,21.33%,11.52%,14.63%,22.08%,8.13%,78.33%,129%,,,,,,,NO,,,20.30%,10.73%,9.57%,0.15%,64
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Atrium Ljungberg AB - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,18.55%,11/10/2017,,,,,,,,,,$          36.86,42%,20.42%,$          46.00,$          24.69,$             24.00,$            19.14,10.40%,18.55%,14.38%,10.60%,-48.10%,-48.10%,-21%,,,,5Y CAGR,0.97%,,Atrium Ljungberg AB - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,4.09%,,Atrium Ljungberg AB - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Atrium Ljungberg AB - Rating: -15% - Upside: 77%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                        26.12,,,12/29/2014,,12/29/2014,,,,,13.59%,26.12 kr,3.55,30.81,19.14,24.69,60%,18%,11.52%,18.55%,20.29%,-0.65%,63.86%,16.85,14.38%,0.00%,,1997,0.00,-,-15,,,0,10.73%,19,19,0.72%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,26.20 kr,,,1/5/2015,,1/5/2015,,,,,13.55%,26.20 kr,3.55,30.81,19.14,24.69,60%,18%,11.52%,18.55%,20.23%,-0.95%,63.36%,16.85,14.38%,0.00%,,1998,0.00,,77,,,1,10.88%,16,35,0.60%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,25.90 kr,,,1/12/2015,,1/12/2015,,,,,13.71%,25.90 kr,3.55,30.81,19.14,24.69,58%,19%,11.52%,18.55%,20.46%,0.19%,65.25%,16.85,14.38%,-1.15%,,1999,0.00,,,,,2,11.03%,18,53,0.68%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,25.86 kr,,,1/19/2015,,1/20/2015,,,,,13.73%,25.86 kr,3.55,30.81,19.14,24.69,58%,19%,11.52%,18.55%,20.49%,0.35%,65.51%,16.85,14.38%,-1.30%,,2000,0.00,,1/1/1970,1970,,3,11.18%,23,76,0.87%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,25.86 kr,,,1/26/2015,,1/26/2015,,,,,13.73%,25.86 kr,3.55,30.81,19.14,24.69,58%,19%,11.52%,18.55%,20.49%,0.35%,65.51%,16.85,14.38%,-1.30%,,2001,0.00,,1/1/1971,1971,,4,11.33%,40,116,1.51%
