,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,AVGO US,Broadcom,,,,,,,,,,105%,-4%,$     381.92,$           61.02,$          97.04,$           481.57,$       365.54,7.95%,0.71%,2.53%,16.38%,3183.64%,3206.36%,138%,,,,,,,NO,,,5.68%,0.61%,5.07%,0.10%,51
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,10.92%,,Broadcom - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,4.26%,11/10/2017,,,,,,,,,,$          97.04,-75%,0.68%,$       365.54,$              9.41,$               11.63,$              5.91,0.54%,4.26%,2.68%,0.40%,-20.69%,-20.69%,-9%,,,,5Y CAGR,11.78%,,Broadcom - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,26.29%,,Broadcom - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Broadcom - Rating: 105% - Upside: -4%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                        14.23,,,12/29/2014,,12/29/2014,,,,,1.77%,$              14.23,0.25,35.43,5.91,9.41,28%,149%,0.71%,4.26%,13.39%,2584.28%,2602.86%,2.643,2.68%,0.00%,,1997,0.00,-,105,,,0,0.61%,115,115,4.33%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                        13.75,,,1/5/2015,,1/5/2015,,,,,1.83%,$              13.75,0.25,35.43,5.91,9.41,27%,158%,0.71%,4.26%,13.85%,2677.20%,2696.42%,2.643,2.68%,-3.35%,,1998,0.00,,-4,,,1,0.71%,87,202,3.28%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        13.33,,,1/12/2015,,1/12/2015,,,,,1.89%,$              13.33,0.25,35.43,5.91,9.41,25%,166%,0.71%,4.26%,14.29%,2765.33%,2785.16%,2.643,2.68%,-6.32%,,1999,0.00,,,,,2,0.81%,63,265,2.37%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                         12.91,,,1/20/2015,,1/20/2015,,,,,1.95%,$               12.91,0.25,35.43,5.91,9.41,24%,175%,0.71%,4.26%,14.76%,2859.47%,2879.95%,2.643,2.68%,-9.30%,,2000,0.00,,1/1/1970,1970,,3,0.91%,28,293,1.06%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                        12.82,,,1/26/2015,,1/26/2015,,,,,1.97%,$              12.82,0.25,35.43,5.91,9.41,23%,176%,0.71%,4.26%,14.86%,2879.10%,2899.71%,2.643,2.68%,-9.90%,,2001,0.00,,1/1/1971,1971,,4,1.01%,37,330,1.39%
