,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,AWR US,American States Water Co,,,,,,,,,,16%,64%,$        86.41,$          76.23,$        105.37,$           103.44,$         141.50,2.88%,1.42%,1.98%,4.40%,129.69%,140.66%,137%,,,,,,,NO,,,2.78%,1.24%,1.54%,0.02%,77
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,6.80%,,American States Water Co - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,2.64%,11/10/2017,,,,,,,,,,$        105.37,22%,2.33%,$         141.50,$          47.77,$             37.62,$          34.56,1.22%,2.64%,1.91%,1.60%,-16.46%,-16.46%,-9%,,,,5Y CAGR,7.57%,,American States Water Co - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,8.23%,,American States Water Co - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,American States Water Co - Rating: 16% - Upside: 64%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       40.50,,,12/29/2014,,12/29/2014,,,,,2.26%,$             40.50,0.91,64.15,34.56,47.77,20%,58%,1.42%,2.64%,4.09%,113.36%,123.55%,4.128,1.91%,0.00%,,1997,0.00,-,16,,,0,1.24%,8,8,0.30%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       40.79,,,1/5/2015,,1/5/2015,,,,,2.24%,$             40.79,0.91,64.15,34.56,47.77,21%,57%,1.42%,2.64%,4.06%,111.84%,121.96%,4.128,1.91%,0.00%,,1998,0.00,,64,,,1,1.26%,13,21,0.49%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        41.35,,,1/12/2015,,1/12/2015,,,,,2.21%,$              41.35,0.91,64.15,34.56,47.77,23%,55%,1.42%,2.64%,4.00%,108.97%,118.96%,4.128,1.91%,0.00%,,1999,0.00,,,,,2,1.28%,15,36,0.57%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       40.49,,,1/20/2015,,1/20/2015,,,,,2.26%,$             40.49,0.91,64.15,34.56,47.77,20%,58%,1.42%,2.64%,4.09%,113.41%,123.61%,4.128,1.91%,-2.08%,,2000,0.00,,1/1/1970,1970,,3,1.30%,5,41,0.19%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       40.46,,,1/26/2015,,1/26/2015,,,,,2.26%,$             40.46,0.91,64.15,34.56,47.77,20%,59%,1.42%,2.64%,4.09%,113.57%,123.77%,4.128,1.91%,-2.15%,,2001,0.00,,1/1/1971,1971,,4,1.32%,13,54,0.49%
