,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,AXS US,Axis Capital Holdings Ltd,,,,,,,,,,129%,-13%,$      116.50,$          47.79,$          63.48,$            116.50,$         101.05,4.96%,1.74%,2.77%,5.29%,249.95%,249.95%,129%,,,,,,,NO,,,4.60%,1.56%,3.04%,0.04%,76
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Axis Capital Holdings Ltd - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,3.68%,11/10/2017,,,,,,,,,,$          63.48,-46%,1.51%,$         101.05,$           51.58,$             33.29,$          38.83,1.51%,3.68%,2.77%,1.51%,0.00%,0.00%,-23%,,,,5Y CAGR,0.82%,,Axis Capital Holdings Ltd - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,2.10%,,Axis Capital Holdings Ltd - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Axis Capital Holdings Ltd - Rating: 129% - Upside: -13%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       55.90,,,12/29/2014,,12/29/2014,,,,,2.56%,$             55.90,1.43,82.10,38.83,51.58,39%,47%,1.74%,3.68%,3.15%,108.41%,119.39%,6.14,2.77%,0.00%,,1997,0.00,-,129,,,0,1.56%,3,3,0.11%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       56.03,,,1/5/2015,,1/5/2015,,,,,2.55%,$             56.03,1.43,82.10,38.83,51.58,40%,47%,1.74%,3.68%,3.14%,107.92%,118.88%,6.14,2.77%,0.00%,,1998,0.00,,-13,,,1,1.60%,12,15,0.45%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       55.66,,,1/12/2015,,1/12/2015,,,,,2.57%,$             55.66,1.43,82.10,38.83,51.58,39%,48%,1.74%,3.68%,3.16%,109.31%,120.34%,6.14,2.77%,-0.66%,,1999,0.00,,,,,2,1.64%,19,34,0.72%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       55.02,,,1/20/2015,,1/20/2015,,,,,2.60%,$             55.02,1.43,82.10,38.83,51.58,37%,49%,1.74%,3.68%,3.20%,111.74%,122.90%,6.14,2.77%,-1.80%,,2000,0.00,,1/1/1970,1970,,3,1.68%,53,87,2.00%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       54.68,,,1/26/2015,,1/26/2015,,,,,2.62%,$             54.68,1.43,82.10,38.83,51.58,37%,50%,1.74%,3.68%,3.22%,113.06%,124.29%,6.14,2.77%,-2.41%,,2001,0.00,,1/1/1971,1971,,4,1.72%,72,159,2.71%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                       54.87,,,2/2/2015,,2/2/2015,,,,,2.61%,$             54.87,1.43,82.10,38.83,51.58,37%,50%,1.74%,3.68%,3.21%,112.32%,123.51%,6.14,2.77%,-2.07%,,2002,0.00,,1/1/1972,1972,,5,1.76%,64,223,2.41%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                       54.89,,,2/9/2015,,2/9/2015,,,,,2.61%,$             54.89,1.43,82.10,38.83,51.58,37%,50%,1.74%,3.68%,3.21%,112.24%,123.43%,6.14,2.77%,-2.03%,,2003,0.14,,1/1/1973,1973,,6,1.80%,54,277,2.03%
