,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,AY US,Atlantica Yield,,,,,,,,,,5%,224%,$        21.99,$           19.56,$          29.25,$             46.42,$           71.26,10.67%,2.50%,5.95%,13.04%,61.10%,93.36%,120%,,,,,,,NO,,,10.30%,2.24%,8.06%,0.15%,54
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Atlantica Yield - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,9.10%,11/10/2017,,,,,,,,,,$          29.25,33%,8.09%,$           71.26,$             7.44,$              13.65,$             4.98,2.18%,9.10%,6.09%,3.83%,-52.63%,-52.63%,-6%,,,,5Y CAGR,0.75%,,Atlantica Yield - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,14.67%,,Atlantica Yield - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Atlantica Yield - Rating: 5% - Upside: 224%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                        18.62,,,12/29/2014,,12/29/2014,,,,,2.43%,$              18.62,0.45,18.13,4.98,7.44,104%,-3%,2.50%,9.10%,9.56%,18.10%,41.75%,4.403,6.09%,0.00%,,1997,0.00,-,5,,,0,2.24%,54,54,2.40%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                        18.37,,,1/5/2015,,1/5/2015,,,,,2.47%,$              18.37,0.45,18.13,4.98,7.44,102%,-1%,2.50%,9.10%,9.69%,19.71%,43.67%,4.403,6.09%,-1.34%,,1998,0.00,,224,,,1,2.39%,90,144,4.00%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        17.99,,,1/12/2015,,1/12/2015,,,,,2.52%,$              17.99,0.45,18.13,4.98,7.44,99%,1%,2.50%,9.10%,9.89%,22.23%,46.71%,4.403,6.09%,-3.38%,,1999,0.00,,,,,2,2.54%,58,202,2.58%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                        17.50,,,1/20/2015,,1/20/2015,,,,,2.59%,$              17.50,0.45,18.13,4.98,7.44,95%,4%,2.50%,9.10%,10.17%,25.66%,50.82%,4.403,6.09%,-6.02%,,2000,0.00,,1/1/1970,1970,,3,2.69%,30,232,1.33%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                        17.65,,,1/26/2015,,1/26/2015,,,,,2.57%,$              17.65,0.45,18.13,4.98,7.44,96%,3%,2.50%,9.10%,10.08%,24.59%,49.54%,4.403,6.09%,-5.21%,,2001,0.00,,1/1/1971,1971,,4,2.84%,6,238,0.27%
