,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,B US,#N/A Connection,,,,,,,,,,63%,41%,$       37.38,$           10.89,$          35.94,$             52.98,$           81.66,4.96%,0.80%,1.95%,4.17%,289.62%,292.95%,125%,,,,,,,NO,,,4.46%,0.71%,3.75%,0.05%,75
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,1.64%,,#N/A Connection - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,,11/10/2017,,,,,,,,,,$          23.22,-38%,1.12%,$          52.76,$              7.19,$                9.59,$             3.37,0.66%,3.86%,1.81%,0.76%,-29.45%,-29.45%,-6%,,,,5Y CAGR,3.13%,,#N/A Connection - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,18.04%,,#N/A Connection - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,#N/A Connection - Rating: 63% - Upside: 41%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2018,1/29/2018,$                                                          14.11,,,1/29/2018,,12/29/2014,,,,,1.35%,$                14.11,0.19,23.87,4.93,10.51,48%,69%,0.80%,3.86%,2.84%,164.99%,167.26%,0.32,1.81%,0.00%,,1997,0.00,-,63,,,0,0.71%,39,39,1.83%
,,,,,,,,,,,,,,,,,,2018,1/30/2018,$                                                        14.07,,,2/5/2018,,1/5/2015,,,,,1.35%,$              14.07,0.19,23.87,4.93,10.51,48%,70%,0.80%,3.86%,2.84%,165.73%,168.01%,0.32,1.81%,-0.28%,,1998,0.00,,41,,,1,0.76%,70,109,3.28%
,,,,,,,,,,,,,,,,,,2018,1/31/2018,$                                                         14.14,,,2/12/2018,,1/12/2015,,,,,1.34%,$               14.14,0.19,23.87,4.93,10.51,49%,69%,0.80%,3.86%,2.83%,164.44%,166.70%,0.32,1.81%,0.00%,,1999,0.00,,,,,2,0.81%,32,141,1.50%
,,,,,,,,,,,,,,,,,,2018,2/1/2018,$                                                         14.17,,,2/20/2018,,1/20/2015,,,,,1.34%,$               14.17,0.19,23.87,4.93,10.51,49%,68%,0.80%,3.86%,2.82%,163.71%,165.96%,0.32,1.81%,0.00%,,2000,0.00,,1/1/1970,1970,,3,0.86%,21,162,0.98%
,,,,,,,,,,,,,,,,,,2018,2/2/2018,$                                                         13.51,,,2/26/2018,,1/26/2015,,,,,1.41%,$               13.51,0.19,23.87,4.93,10.51,45%,77%,0.80%,3.86%,2.96%,176.76%,179.13%,0.32,1.81%,-4.72%,,2001,0.00,,1/1/1971,1971,,4,0.91%,23,185,1.08%
,,,,,,,,,,,,,,,,,,2018,2/5/2018,$                                                        13.40,,,3/5/2018,,2/2/2015,,,,,1.42%,$              13.40,0.19,23.87,4.93,10.51,45%,78%,0.80%,3.86%,2.99%,178.99%,181.38%,0.32,1.81%,-5.48%,,2002,0.00,,1/1/1972,1972,,5,0.96%,63,248,2.95%
,,,,,,,,,,,,,,,,,,2018,2/6/2018,$                                                        13.26,,,3/12/2018,,2/9/2015,,,,,1.43%,$              13.26,0.19,23.87,4.93,10.51,44%,80%,0.80%,3.86%,3.02%,181.89%,184.30%,0.32,1.81%,-6.45%,,2003,0.00,,1/1/1973,1973,,6,1.01%,66,314,3.09%
,,,,,,,,,,,,,,,,,,2018,2/7/2018,$                                                         13.16,,,3/19/2018,,2/17/2015,,,,,1.44%,$               13.16,0.19,23.87,4.93,10.51,43%,81%,0.80%,3.86%,3.04%,183.99%,186.42%,0.32,1.81%,-7.14%,,2004,0.00,,1/1/1974,1974,,7,1.06%,70,384,3.28%
,,,,,,,,,,,,,,,,,,2018,2/8/2018,$                                                         13.01,,,3/26/2018,,2/23/2015,,,,,1.46%,$               13.01,0.19,23.87,4.93,10.51,43%,84%,0.80%,3.86%,3.08%,187.43%,189.89%,0.32,1.81%,-8.25%,,2005,0.00,,1/1/1975,1975,,8,1.11%,68,452,3.19%
,,,,,,,,,,,,,,,,,,2018,2/9/2018,$                                                        12.84,,,4/2/2018,,3/2/2015,,,,,1.48%,$              12.84,0.19,23.87,4.93,10.51,42%,86%,0.80%,3.86%,3.12%,191.17%,193.66%,0.32,1.81%,-9.43%,,2006,0.00,,1/1/1976,1976,,9,1.16%,53,505,2.48%
,,,,,,,,,,,,,,,,,,2018,2/12/2018,$                                                        13.03,,,4/9/2018,,3/9/2015,,,,,1.46%,$              13.03,0.19,23.87,4.93,10.51,43%,83%,0.80%,3.86%,3.07%,186.78%,189.23%,0.32,1.81%,-8.04%,,2007,0.00,,1/1/1977,1977,,10,1.21%,21,526,0.98%
,,,,,,,,,,,,,,,,,,2018,2/13/2018,$                                                        13.00,,,4/16/2018,,3/16/2015,,,,,1.46%,$              13.00,0.19,23.87,4.93,10.51,43%,84%,0.80%,3.86%,3.08%,187.64%,190.11%,0.32,1.81%,-8.32%,,2008,0.00,,1/1/1978,1978,,11,1.26%,27,553,1.27%
,,,,,,,,,,,,,,,,,,2018,2/14/2018,$                                                        13.42,,,4/23/2018,,3/23/2015,,,,,1.42%,$              13.42,0.19,23.87,4.93,10.51,45%,78%,0.80%,3.86%,2.98%,178.58%,180.97%,0.32,1.81%,-5.34%,,2009,0.00,,1/1/1979,1979,,12,1.31%,25,578,1.17%
,,,,,,,,,,,,,,,,,,2018,2/15/2018,$                                                          13.11,,,4/30/2018,,3/30/2015,,,,,1.45%,$                13.11,0.19,23.87,4.93,10.51,43%,82%,0.80%,3.86%,3.05%,185.06%,187.50%,0.32,1.81%,-7.49%,,2010,0.00,,1/1/1980,1980,,13,1.36%,29,607,1.36%
,,,,,,,,,,,,,,,,,,2018,2/16/2018,$                                                        12.96,,,5/7/2018,,4/6/2015,,,,,1.47%,$              12.96,0.19,23.87,4.93,10.51,42%,84%,0.80%,3.86%,3.09%,188.52%,190.99%,0.32,1.81%,-8.60%,,2011,0.00,,1/1/1981,1981,,14,1.41%,49,656,2.30%
,,,,,,,,,,,,,,,,,,2018,2/20/2018,$                                                        12.63,,,5/14/2018,,4/13/2015,,,,,1.50%,$              12.63,0.19,23.87,4.93,10.51,41%,89%,0.80%,3.86%,3.17%,195.93%,198.46%,0.32,1.81%,-10.89%,,2012,0.00,,1/1/1982,1982,,15,1.46%,87,743,4.08%
,,,,,,,,,,,,,,,,,,2018,2/21/2018,$                                                        12.44,,,5/21/2018,,4/20/2015,,,,,1.53%,$              12.44,0.19,23.87,4.93,10.51,40%,92%,0.80%,3.86%,3.21%,200.37%,202.94%,0.32,1.81%,-12.21%,,2013,0.00,,1/1/1983,1983,,16,1.51%,71,814,3.33%
