,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,BALN SW,Baloise Holding AG,,,,,,,,,,76%,10%,$     198.00,$        135.47,$        176.06,$           217.00,$        217.60,5.93%,3.40%,4.25%,7.16%,91.49%,112.57%,115%,,,,,,,NO,,,5.75%,3.28%,2.48%,0.04%,62
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Baloise Holding AG - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,5.46%,11/10/2017,,,,,,,,,,$        176.06,-11%,3.74%,$        217.60,$         118.96,$           103.40,$           91.54,3.22%,5.46%,4.20%,3.41%,-8.76%,-8.76%,-13%,,,,5Y CAGR,2.95%,,Baloise Holding AG - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,4.00%,,Baloise Holding AG - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Baloise Holding AG - Rating: 76% - Upside: 10%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                     125.20,,,12/29/2014,,12/29/2014,,,,,3.99%,125.20 CHF,5.00,147.03,91.54,118.96,61%,17%,3.40%,5.46%,5.91%,58.15%,75.56%,21.8,4.20%,0.00%,,1997,0.00,-,76,,,0,3.28%,30,30,1.20%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,125.50 CHF,,,1/5/2015,,1/5/2015,,,,,3.98%,125.50 CHF,5.00,147.03,91.54,118.96,61%,17%,3.40%,5.46%,5.90%,57.77%,75.14%,21.8,4.20%,0.00%,,1998,0.00,,10,,,1,3.32%,36,66,1.44%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,125.10 CHF,,,1/12/2015,,1/12/2015,,,,,4.00%,125.10 CHF,5.00,147.03,91.54,118.96,60%,18%,3.40%,5.46%,5.92%,58.27%,75.70%,21.8,4.20%,-0.32%,,1999,0.00,,,,,2,3.36%,39,105,1.56%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,123.60 CHF,,,1/19/2015,,1/20/2015,,,,,4.05%,123.60 CHF,5.00,147.03,91.54,118.96,58%,19%,3.40%,5.46%,5.99%,60.19%,77.83%,21.8,4.20%,-1.51%,,2000,0.00,,1/1/1970,1970,,3,3.40%,78,183,3.12%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,121.60 CHF,,,1/26/2015,,1/26/2015,,,,,4.11%,121.60 CHF,5.00,147.03,91.54,118.96,54%,21%,3.40%,5.46%,6.09%,62.83%,80.76%,21.8,4.20%,-3.11%,,2001,0.00,,1/1/1971,1971,,4,3.44%,72,255,2.88%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,123.10 CHF,,,2/2/2015,,2/2/2015,,,,,4.06%,123.10 CHF,5.00,147.03,91.54,118.96,57%,19%,3.40%,5.46%,6.01%,60.84%,78.55%,21.8,4.20%,-1.91%,,2002,2.40,,1/1/1972,1972,,5,3.48%,40,295,1.60%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,125.00 CHF,,,2/9/2015,,2/9/2015,,,,,4.00%,125.00 CHF,5.00,147.03,91.54,118.96,60%,18%,3.40%,5.46%,5.92%,58.40%,75.84%,21.8,4.20%,-0.40%,,2003,0.40,-83.33%,1/1/1973,1973,,6,3.52%,50,345,2.00%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,126.60 CHF,,,2/16/2015,,2/17/2015,,,,,3.95%,126.60 CHF,5.00,147.03,91.54,118.96,63%,16%,3.40%,5.46%,5.85%,56.40%,73.62%,21.8,4.20%,0.00%,,2004,0.60,50.00%,1/1/1974,1974,,7,3.56%,40,385,1.60%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,124.40 CHF,,,2/23/2015,,2/23/2015,,,,,4.02%,124.40 CHF,5.00,147.03,91.54,118.96,59%,18%,3.40%,5.46%,5.95%,59.16%,76.69%,21.8,4.20%,-1.74%,,2005,1.10,83.33%,1/1/1975,1975,,8,3.60%,62,447,2.48%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,122.50 CHF,,,3/2/2015,,3/2/2015,,,,,4.08%,122.50 CHF,5.00,147.03,91.54,118.96,56%,20%,3.40%,5.46%,6.04%,61.63%,79.43%,21.8,4.20%,-3.24%,,2006,2.20,100.00%,1/1/1976,1976,,9,3.64%,56,503,2.24%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,121.60 CHF,,,3/9/2015,,3/9/2015,,,,,4.11%,121.60 CHF,5.00,147.03,91.54,118.96,54%,21%,3.40%,5.46%,6.09%,62.83%,80.76%,21.8,4.20%,-3.95%,,2007,3.80,72.73%,1/1/1977,1977,,10,3.68%,47,550,1.88%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,123.30 CHF,,,3/16/2015,,3/16/2015,,,,,4.06%,123.30 CHF,5.00,147.03,91.54,118.96,57%,19%,3.40%,5.46%,6.00%,60.58%,78.26%,21.8,4.20%,-2.61%,,2008,4.50,18.42%,1/1/1978,1978,,11,3.72%,46,596,1.84%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,119.80 CHF,,,3/23/2015,,3/23/2015,,,,,4.17%,119.80 CHF,5.00,147.03,91.54,118.96,51%,23%,3.40%,5.46%,6.18%,65.28%,83.47%,21.8,4.20%,-5.37%,,2009,4.50,0.00%,1/1/1979,1979,,12,3.76%,73,669,2.92%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,118.80 CHF,,,3/30/2015,,3/30/2015,,,,,4.21%,118.80 CHF,5.00,147.03,91.54,118.96,49%,24%,3.40%,5.46%,6.23%,66.67%,85.02%,21.8,4.20%,-6.16%,,2010,4.50,0.00%,1/1/1980,1980,,13,3.80%,72,741,2.88%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,121.90 CHF,,,4/7/2015,,4/6/2015,,,,,4.10%,121.90 CHF,5.00,147.03,91.54,118.96,55%,21%,3.40%,5.46%,6.07%,62.43%,80.31%,21.8,4.20%,-3.71%,,2011,4.50,0.00%,1/1/1981,1981,,14,3.84%,65,806,2.60%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,120.90 CHF,,,4/13/2015,,4/13/2015,,,,,4.14%,120.90 CHF,5.00,147.03,91.54,118.96,53%,22%,3.40%,5.46%,6.12%,63.77%,81.80%,21.8,4.20%,-4.50%,,2012,4.50,0.00%,1/1/1982,1982,,15,3.88%,65,871,2.60%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,122.00 CHF,,,4/20/2015,,4/20/2015,,,,,4.10%,122.00 CHF,5.00,147.03,91.54,118.96,55%,21%,3.40%,5.46%,6.07%,62.30%,80.16%,21.8,4.20%,-3.63%,,2013,4.50,0.00%,1/1/1983,1983,,16,3.92%,41,912,1.64%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,122.40 CHF,,,4/27/2015,,4/27/2015,,,,,4.08%,122.40 CHF,5.00,147.03,91.54,118.96,56%,20%,3.40%,5.46%,6.05%,61.76%,79.58%,21.8,4.20%,-3.32%,,2014,4.75,5.56%,1/1/1984,1984,,17,3.96%,51,963,2.04%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,122.00 CHF,,,5/4/2015,,5/4/2015,,,,,4.10%,122.00 CHF,5.00,147.03,91.54,118.96,55%,21%,3.40%,5.46%,6.07%,62.30%,80.16%,21.8,4.20%,-3.63%,,2015,5.00,5.26%,1/1/1985,1985,,18,4.00%,59,1022,2.36%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,124.50 CHF,,,5/11/2015,,5/11/2015,,,,,4.02%,124.50 CHF,5.00,147.03,91.54,118.96,59%,18%,3.40%,5.46%,5.94%,59.04%,76.55%,21.8,4.20%,-1.66%,,2016,5.00,0.00%,1/1/1986,1986,,19,4.04%,55,1077,2.20%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,124.40 CHF,,,5/18/2015,,5/18/2015,,,,,4.02%,124.40 CHF,5.00,147.03,91.54,118.96,59%,18%,3.40%,5.46%,5.95%,59.16%,76.69%,21.8,4.20%,-1.74%,,2017,5.20,4.00%,1/1/1987,1987,,20,4.08%,68,1145,2.72%
,,,,,,,,,,,,,,,,,,2016,2/2/2016,123.70 CHF,,,5/26/2015,,5/26/2015,,,,,4.04%,123.70 CHF,5.00,147.03,91.54,118.96,58%,19%,3.40%,5.46%,5.98%,60.06%,77.69%,21.8,4.20%,-2.29%,,2018,5.60,7.69%,1/1/1988,1988,,21,4.12%,40,1185,1.60%
