,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,BAM US,Brookfield,,,,,,,,,,32%,102%,$        41.67,$           21.93,$           61.24,$              49.17,$          84.20,6.71%,1.52%,2.73%,8.63%,181.06%,191.50%,,,,,,,,NO,,,6.44%,1.35%,5.09%,0.10%,51
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Brookfield - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,5.84%,11/10/2017,,,,,,,,,,$           61.24,47%,3.07%,$          84.20,$           16.59,$              14.83,$             5.94,1.29%,5.84%,2.09%,2.60%,-15.25%,-15.25%,,,,,5Y CAGR,19.74%,,Brookfield - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,13.95%,,Brookfield - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Brookfield - Rating: 32% - Upside: 102%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                        16.48,,,12/29/2014,,12/29/2014,,,,,2.10%,$              16.48,0.35,22.80,5.94,16.59,63%,38%,1.52%,5.84%,7.77%,152.82%,162.20%,1.546666667,2.09%,0.00%,,1997,0.00,-,32,,,0,1.35%,66,66,2.75%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                        16.49,,,1/5/2015,,1/5/2015,,,,,2.10%,$              16.49,0.35,22.80,5.94,16.59,63%,38%,1.52%,5.84%,7.76%,152.74%,162.12%,1.546666667,2.09%,0.00%,,1998,0.00,,102,,,1,1.45%,64,130,2.66%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        16.04,,,1/12/2015,,1/12/2015,,,,,2.16%,$              16.04,0.35,22.80,5.94,16.59,60%,42%,1.52%,5.84%,7.98%,159.75%,169.39%,1.546666667,2.09%,-2.70%,,1999,0.00,,,,,2,1.55%,150,280,6.24%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                        15.60,,,1/20/2015,,1/20/2015,,,,,2.22%,$              15.60,0.35,22.80,5.94,16.59,57%,46%,1.52%,5.84%,8.20%,167.07%,176.99%,1.546666667,2.09%,-5.37%,,2000,0.00,,1/1/1970,1970,,3,1.65%,237,517,9.86%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                        15.43,,,1/26/2015,,1/26/2015,,,,,2.25%,$              15.43,0.35,22.80,5.94,16.59,56%,48%,1.52%,5.84%,8.30%,170.08%,180.11%,1.546666667,2.09%,-6.42%,,2001,0.00,,1/1/1971,1971,,4,1.75%,298,815,12.40%
