,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,BCE CN,BCE Inc,,,,,,,,,,-4%,180%,$       30.08,$          32.37,$           67.14,$             73.76,$           84.31,13.22%,4.59%,6.74%,13.22%,2.77%,2.77%,110%,,,,,,,NO,,,13.03%,4.36%,8.67%,0.15%,58
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,BCE Inc - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,11.96%,11/10/2017,,,,,,,,,,$           67.14,123%,12.87%,$           84.31,$          47.36,$             29.27,$          22.83,4.32%,11.96%,5.76%,5.25%,-59.22%,-59.22%,-6%,,,,5Y CAGR,2.03%,,BCE Inc - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,3.55%,,BCE Inc - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,BCE Inc - Rating: -4% - Upside: 180%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       53.60,,,12/29/2014,,12/29/2014,,,,,5.09%,$             53.60,2.73,59.48,22.83,47.36,84%,11%,4.59%,11.96%,7.22%,-43.88%,-21.88%,11.79,5.76%,0.00%,,1997,0.00,-,-4,,,0,4.36%,58,58,2.19%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                        54.21,,,1/5/2015,,1/5/2015,,,,,5.04%,$              54.21,2.73,59.48,22.83,47.36,86%,10%,4.59%,11.96%,7.14%,-44.51%,-22.76%,11.79,5.76%,0.00%,,1998,0.00,,180,,,1,4.51%,117,175,4.42%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        54.71,,,1/12/2015,,1/12/2015,,,,,4.99%,$              54.71,2.73,59.48,22.83,47.36,87%,9%,4.59%,11.96%,7.07%,-45.02%,-23.47%,11.79,5.76%,0.00%,,1999,0.00,,,,,2,4.66%,129,304,4.87%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       53.88,,,1/19/2015,,1/20/2015,,,,,5.07%,$             53.88,2.73,59.48,22.83,47.36,85%,10%,4.59%,11.96%,7.18%,-44.17%,-22.29%,11.79,5.76%,-1.52%,,2000,0.00,,1/1/1970,1970,,3,4.81%,196,500,7.40%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                        54.21,,,1/26/2015,,1/26/2015,,,,,5.04%,$              54.21,2.73,59.48,22.83,47.36,86%,10%,4.59%,11.96%,7.14%,-44.51%,-22.76%,11.79,5.76%,-0.91%,,2001,0.00,,1/1/1971,1971,,4,4.96%,82,582,3.10%
