,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,BEP-U CN,Brookfield Renewable Partners,,,,,,,,,,95%,1%,$       24.00,$           17.02,$          20.55,$             24.83,$          24.35,12.21%,7.53%,9.00%,12.21%,59.79%,59.79%,125%,,,,,,,NO,,,12.06%,7.16%,4.90%,0.10%,49
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Brookfield Renewable Partners - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,,11/10/2017,,,,,,,,,,$          20.55,-14%,7.64%,$          24.35,$           18.66,$              15.02,$           15.45,6.99%,10.77%,8.92%,7.38%,-3.34%,-3.34%,-27%,,,,5Y CAGR,3.84%,,Brookfield Renewable Partners - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,1.55%,,Brookfield Renewable Partners - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Brookfield Renewable Partners - Rating: 95% - Upside: 1%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2022,4/14/2022,$                                                       23.80,,,4/14/2022,,12/29/2014,,,,,6.99%,$             23.80,1.66,22.10,15.45,18.66,125%,-7%,7.53%,10.77%,7.70%,0.84%,0.84%,0,8.92%,0.00%,,1997,0.00,-,95,,,0,7.16%,5,5,0.47%
,,,,,,,,,,,,,,,,,,2022,4/18/2022,$                                                       23.40,,,4/18/2022,,1/5/2015,,,,,7.11%,$             23.40,1.66,22.10,15.45,18.66,119%,-6%,7.53%,10.77%,7.84%,2.56%,2.56%,0,8.92%,-1.68%,,1998,0.00,,1,,,1,7.26%,13,18,1.21%
,,,,,,,,,,,,,,,,,,2022,4/19/2022,$                                                       23.30,,,4/25/2022,,1/12/2015,,,,,7.14%,$             23.30,1.66,22.10,15.45,18.66,118%,-5%,7.53%,10.77%,7.87%,3.00%,3.00%,0,8.92%,-2.10%,,1999,0.00,,,,,2,7.36%,17,35,1.59%
,,,,,,,,,,,,,,,,,,2022,4/20/2022,$                                                       23.37,,,5/2/2022,,1/20/2015,,,,,7.12%,$             23.37,1.66,22.10,15.45,18.66,119%,-5%,7.53%,10.77%,7.85%,2.70%,2.70%,0,8.92%,-1.81%,,2000,0.00,,1/1/1970,1970,,3,7.46%,30,65,2.80%
,,,,,,,,,,,,,,,,,,2022,4/21/2022,$                                                        23.16,,,5/9/2022,,1/26/2015,,,,,7.19%,$              23.16,1.66,22.10,15.45,18.66,116%,-5%,7.53%,10.77%,7.92%,3.63%,3.63%,0,8.92%,-2.69%,,2001,0.00,,1/1/1971,1971,,4,7.56%,56,121,5.22%
,,,,,,,,,,,,,,,,,,2022,4/22/2022,$                                                       22.44,,,5/16/2022,,2/2/2015,,,,,7.42%,$             22.44,1.66,22.10,15.45,18.66,105%,-2%,7.53%,10.77%,8.17%,6.95%,6.95%,0,8.92%,-5.71%,,2002,0.79,,1/1/1972,1972,,5,7.66%,76,197,7.09%
