,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,BF/B US,Brown-Forman Corp,,,,,,,,,,113%,-7%,$       65.74,$          27.88,$          39.97,$             70.99,$           61.28,3.39%,1.36%,2.12%,3.40%,168.22%,168.22%,129%,,,,,,,NO,,,3.24%,1.19%,2.06%,0.03%,69
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Brown-Forman Corp - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,,11/10/2017,,,,,,,,,,$          39.97,-39%,1.27%,$           61.28,$          34.83,$              24.51,$          24.29,1.18%,2.99%,2.09%,1.18%,-7.40%,-7.40%,-10%,,,,5Y CAGR,2.79%,,Brown-Forman Corp - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,4.18%,,Brown-Forman Corp - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Brown-Forman Corp - Rating: 113% - Upside: -7%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2021,1/28/2021,$                                                       30.05,,,1/28/2021,,12/29/2014,,,,,2.42%,$             30.05,0.73,53.40,24.29,34.83,20%,78%,1.36%,2.99%,2.78%,118.81%,118.81%,0,2.09%,0.00%,,1997,0.00,-,113,,,0,1.19%,19,19,1.35%
,,,,,,,,,,,,,,,,,,2021,1/29/2021,$                                                       29.42,,,2/1/2021,,1/5/2015,,,,,2.47%,$             29.42,0.73,53.40,24.29,34.83,18%,82%,1.36%,2.99%,2.84%,123.49%,123.49%,0,2.09%,-2.10%,,1998,0.00,,-7,,,1,1.22%,20,39,1.42%
,,,,,,,,,,,,,,,,,,2021,2/1/2021,$                                                       29.77,,,2/8/2021,,1/12/2015,,,,,2.44%,$             29.77,0.73,53.40,24.29,34.83,19%,79%,1.36%,2.99%,2.80%,120.81%,120.81%,0,2.09%,-0.91%,,1999,0.00,,,,,2,1.25%,12,51,0.85%
,,,,,,,,,,,,,,,,,,2021,2/2/2021,$                                                       30.44,,,2/15/2021,,1/20/2015,,,,,2.39%,$             30.44,0.73,53.40,24.29,34.83,21%,75%,1.36%,2.99%,2.74%,116.00%,116.00%,0,2.09%,0.00%,,2000,0.00,,1/1/1970,1970,,3,1.28%,3,54,0.21%
,,,,,,,,,,,,,,,,,,2021,2/3/2021,$                                                       30.44,,,2/22/2021,,1/26/2015,,,,,2.39%,$             30.44,0.73,53.40,24.29,34.83,21%,75%,1.36%,2.99%,2.74%,115.97%,115.97%,0,2.09%,0.00%,,2001,0.00,,1/1/1971,1971,,4,1.31%,5,59,0.35%
