,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,BHP AU,BHP,,,,,,,,,,42%,87%,$        60.10,$          22.47,$          80.77,$             65.59,$       200.70,18.48%,3.32%,8.96%,29.59%,375.34%,431.55%,147%,,,,,,,NO,,,17.96%,2.52%,15.44%,0.20%,77
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,BHP - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,16.65%,11/10/2017,,,,,,,,,,$          45.29,-25%,6.22%,$         112.52,$             6.92,$              12.64,$             3.43,2.42%,16.65%,8.26%,5.70%,-8.37%,-8.37%,-2%,,,,5Y CAGR,-8.16%,,BHP - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,20.67%,,BHP - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,BHP - Rating: 42% - Upside: 87%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                        15.85,,,12/29/2014,,12/29/2014,,,,,3.61%,$              15.85,0.57,17.19,3.43,6.92,90%,8%,3.32%,16.65%,23.60%,279.20%,324.04%,7.107177127,8.26%,0.00%,,1997,0.00,-,42,,,0,2.52%,23,23,0.86%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                        15.65,,,1/5/2015,,1/5/2015,,,,,3.65%,$              15.65,0.57,17.19,3.43,6.92,89%,10%,3.32%,16.65%,23.90%,283.95%,329.35%,7.107177127,8.26%,-1.24%,,1998,0.00,,87,,,1,2.72%,29,52,1.08%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        15.27,,,1/12/2015,,1/12/2015,,,,,3.74%,$              15.27,0.57,17.19,3.43,6.92,86%,13%,3.32%,16.65%,24.50%,293.57%,340.11%,7.107177127,8.26%,-3.65%,,1999,0.00,,,,,2,2.92%,25,77,0.94%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                        14.54,,,1/19/2015,,1/20/2015,,,,,3.93%,$              14.54,0.57,17.19,3.43,6.92,81%,18%,3.32%,16.65%,25.73%,313.34%,362.22%,7.107177127,8.26%,-8.26%,,2000,0.00,,1/1/1970,1970,,3,3.12%,43,120,1.61%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                        14.56,,,1/27/2015,,1/26/2015,,,,,3.92%,$              14.56,0.57,17.19,3.43,6.92,81%,18%,3.32%,16.65%,25.69%,312.83%,361.65%,7.107177127,8.26%,-8.15%,,2001,0.00,,1/1/1971,1971,,4,3.32%,42,162,1.57%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                        13.85,,,2/2/2015,,2/2/2015,,,,,4.13%,$              13.85,0.57,17.19,3.43,6.92,76%,24%,3.32%,16.65%,27.02%,334.07%,385.40%,7.107177127,8.26%,-12.64%,,2002,0.34,,1/1/1972,1972,,5,3.52%,24,186,0.90%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                        13.36,,,2/9/2015,,2/9/2015,,,,,4.28%,$              13.36,0.57,17.19,3.43,6.92,72%,29%,3.32%,16.65%,27.99%,349.69%,402.86%,7.107177127,8.26%,-15.67%,,2003,0.32,-5.32%,1/1/1973,1973,,6,3.72%,18,204,0.67%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                         13.15,,,2/16/2015,,2/17/2015,,,,,4.34%,$               13.15,0.57,17.19,3.43,6.92,71%,31%,3.32%,16.65%,28.44%,356.99%,411.03%,7.107177127,8.26%,-17.02%,,2004,0.35,9.54%,1/1/1974,1974,,7,3.92%,15,219,0.56%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                        13.25,,,2/23/2015,,2/23/2015,,,,,4.31%,$              13.25,0.57,17.19,3.43,6.92,71%,30%,3.32%,16.65%,28.23%,353.61%,407.25%,7.107177127,8.26%,-16.40%,,2005,0.51,45.42%,1/1/1975,1975,,8,4.12%,15,234,0.56%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                        13.42,,,3/2/2015,,3/2/2015,,,,,4.26%,$              13.42,0.57,17.19,3.43,6.92,73%,28%,3.32%,16.65%,27.88%,347.90%,400.86%,7.107177127,8.26%,-15.34%,,2006,0.68,32.81%,1/1/1976,1976,,9,4.32%,6,240,0.22%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,$                                                        13.03,,,3/9/2015,,3/9/2015,,,,,4.39%,$              13.03,0.57,17.19,3.43,6.92,70%,32%,3.32%,16.65%,28.72%,361.36%,415.92%,7.107177127,8.26%,-17.81%,,2007,0.83,21.27%,1/1/1977,1977,,10,4.52%,0,240,0.00%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                         13.12,,,3/16/2015,,3/16/2015,,,,,4.36%,$               13.12,0.57,17.19,3.43,6.92,70%,31%,3.32%,16.65%,28.52%,358.23%,412.42%,7.107177127,8.26%,-17.25%,,2008,1.14,37.30%,1/1/1978,1978,,11,4.72%,0,240,0.00%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                        12.65,,,3/23/2015,,3/23/2015,,,,,4.52%,$              12.65,0.57,17.19,3.43,6.92,67%,36%,3.32%,16.65%,29.56%,375.00%,431.17%,7.107177127,8.26%,-20.17%,,2009,1.61,41.45%,1/1/1979,1979,,12,4.92%,0,240,0.00%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                        12.64,,,3/30/2015,,3/30/2015,,,,,4.52%,$              12.64,0.57,17.19,3.43,6.92,67%,36%,3.32%,16.65%,29.59%,375.34%,431.55%,7.107177127,8.26%,-20.22%,,2010,1.37,-14.92%,1/1/1980,1980,,13,5.12%,0,240,0.00%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,$                                                        13.59,,,4/7/2015,,4/6/2015,,,,,4.21%,$              13.59,0.57,17.19,3.43,6.92,74%,27%,3.32%,16.65%,27.53%,342.32%,394.63%,7.107177127,8.26%,-14.27%,,2011,1.39,2.01%,1/1/1981,1981,,14,5.32%,0,240,0.00%
