,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,BHP US,BHP,,,,,,,,,,58%,51%,$       83.72,$          24.74,$          119.17,$              93.15,$        281.84,13.69%,2.31%,6.05%,19.67%,384.42%,426.54%,144%,,,,,,,NO,,,13.25%,1.77%,11.48%,0.15%,77
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,-4.95%,,BHP - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,11.80%,11/10/2017,,,,,,,,,,$          53.54,-36%,3.49%,$         126.61,$            11.00,$              17.28,$             5.08,1.70%,11.80%,5.45%,3.65%,-10.12%,-10.12%,-3%,,,,5Y CAGR,-13.47%,,BHP - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,17.14%,,BHP - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,BHP - Rating: 58% - Upside: 51%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       22.72,,,12/29/2014,,12/29/2014,,,,,2.64%,$             22.72,0.60,26.02,5.08,11.00,84%,14%,2.31%,11.80%,14.96%,268.44%,300.48%,7.28,5.45%,0.00%,,1997,0.00,-,58,,,0,1.77%,33,33,1.24%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       22.54,,,1/5/2015,,1/5/2015,,,,,2.66%,$             22.54,0.60,26.02,5.08,11.00,83%,15%,2.31%,11.80%,15.09%,271.51%,303.81%,7.28,5.45%,-0.82%,,1998,0.00,,51,,,1,1.92%,26,59,0.98%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                         21.19,,,1/12/2015,,1/12/2015,,,,,2.83%,$               21.19,0.60,26.02,5.08,11.00,77%,23%,2.31%,11.80%,16.05%,295.12%,329.47%,7.28,5.45%,-6.75%,,1999,0.00,,,,,2,2.07%,40,99,1.51%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       20.03,,,1/20/2015,,1/20/2015,,,,,3.00%,$             20.03,0.60,26.02,5.08,11.00,71%,30%,2.31%,11.80%,16.98%,317.99%,354.33%,7.28,5.45%,-11.85%,,2000,0.00,,1/1/1970,1970,,3,2.22%,33,132,1.24%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                        19.58,,,1/26/2015,,1/26/2015,,,,,3.06%,$              19.58,0.60,26.02,5.08,11.00,69%,33%,2.31%,11.80%,17.36%,327.50%,364.68%,7.28,5.45%,-13.81%,,2001,0.00,,1/1/1971,1971,,4,2.37%,43,175,1.62%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                        19.08,,,2/2/2015,,2/2/2015,,,,,3.14%,$              19.08,0.60,26.02,5.08,11.00,67%,36%,2.31%,11.80%,17.82%,338.69%,376.84%,7.28,5.45%,-16.01%,,2002,0.27,,1/1/1972,1972,,5,2.52%,21,196,0.79%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                         18.41,,,2/9/2015,,2/9/2015,,,,,3.26%,$               18.41,0.60,26.02,5.08,11.00,64%,41%,2.31%,11.80%,18.47%,354.84%,394.40%,7.28,5.45%,-19.00%,,2003,0.31,14.81%,1/1/1973,1973,,6,2.67%,10,206,0.38%
