,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,BIP US,Brookfield Infrastructure Part,,,,,,,,,,59%,19%,$       40.88,$          29.45,$           36.10,$             45.33,$          48.66,8.24%,3.53%,4.72%,9.49%,153.59%,153.59%,129%,,,,,,,NO,,,6.63%,3.24%,3.39%,0.05%,68
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,3.98%,,Brookfield Infrastructure Part - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,,11/10/2017,,,,,,,,,,$           36.10,-12%,4.21%,$          48.66,$          24.35,$               16.12,$           19.86,3.18%,5.84%,4.76%,3.38%,-9.81%,-9.81%,-45%,,,,5Y CAGR,4.81%,,Brookfield Infrastructure Part - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,5.27%,,Brookfield Infrastructure Part - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Brookfield Infrastructure Part - Rating: 59% - Upside: 19%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2017,12/1/2017,$                                                       25.90,,,12/1/2017,,12/29/2014,,,,,4.48%,$             25.90,1.16,32.82,19.86,24.35,47%,27%,3.53%,5.84%,5.91%,57.83%,72.32%,3.753333333,4.76%,0.00%,,1997,0.00,-,59,,,0,3.24%,5,5,0.23%
,,,,,,,,,,,,,,,,,,2017,12/4/2017,$                                                       25.96,,,12/4/2017,,1/5/2015,,,,,4.47%,$             25.96,1.16,32.82,19.86,24.35,47%,26%,3.53%,5.84%,5.89%,57.46%,71.92%,3.753333333,4.76%,0.00%,,1998,0.00,,19,,,1,3.29%,4,9,0.18%
,,,,,,,,,,,,,,,,,,2017,12/5/2017,$                                                       26.07,,,12/11/2017,,1/12/2015,,,,,4.45%,$             26.07,1.16,32.82,19.86,24.35,48%,26%,3.53%,5.84%,5.87%,56.78%,71.18%,3.753333333,4.76%,0.00%,,1999,0.00,,,,,2,3.34%,16,25,0.74%
,,,,,,,,,,,,,,,,,,2017,12/6/2017,$                                                         26.11,,,12/18/2017,,1/20/2015,,,,,4.44%,$               26.11,1.16,32.82,19.86,24.35,48%,26%,3.53%,5.84%,5.86%,56.57%,70.94%,3.753333333,4.76%,0.00%,,2000,0.00,,1/1/1970,1970,,3,3.39%,22,47,1.01%
,,,,,,,,,,,,,,,,,,2017,12/7/2017,$                                                        26.16,,,12/26/2017,,1/26/2015,,,,,4.43%,$              26.16,1.16,32.82,19.86,24.35,49%,25%,3.53%,5.84%,5.85%,56.28%,70.63%,3.753333333,4.76%,0.00%,,2001,0.00,,1/1/1971,1971,,4,3.44%,26,73,1.20%
,,,,,,,,,,,,,,,,,,2017,12/8/2017,$                                                        26.15,,,1/2/2018,,2/2/2015,,,,,4.44%,$              26.15,1.16,32.82,19.86,24.35,49%,26%,3.53%,5.84%,5.85%,56.35%,70.71%,3.753333333,4.76%,-0.05%,,2002,0.00,,1/1/1972,1972,,5,3.49%,33,106,1.52%
,,,,,,,,,,,,,,,,,,2017,12/11/2017,$                                                       26.09,,,1/8/2018,,2/9/2015,,,,,4.45%,$             26.09,1.16,32.82,19.86,24.35,48%,26%,3.53%,5.84%,5.86%,56.67%,71.06%,3.753333333,4.76%,-0.25%,,2003,0.00,,1/1/1973,1973,,6,3.54%,50,156,2.30%
,,,,,,,,,,,,,,,,,,2017,12/12/2017,$                                                        26.19,,,1/16/2018,,2/17/2015,,,,,4.43%,$              26.19,1.16,32.82,19.86,24.35,49%,25%,3.53%,5.84%,5.84%,56.07%,70.40%,3.753333333,4.76%,0.00%,,2004,0.00,,1/1/1974,1974,,7,3.59%,62,218,2.86%
,,,,,,,,,,,,,,,,,,2017,12/13/2017,$                                                       26.55,,,1/22/2018,,2/23/2015,,,,,4.37%,$             26.55,1.16,32.82,19.86,24.35,52%,24%,3.53%,5.84%,5.76%,53.97%,68.11%,3.753333333,4.76%,0.00%,,2005,0.00,,1/1/1975,1975,,8,3.64%,41,259,1.89%
,,,,,,,,,,,,,,,,,,2017,12/14/2017,$                                                       26.76,,,1/29/2018,,3/2/2015,,,,,4.34%,$             26.76,1.16,32.82,19.86,24.35,53%,23%,3.53%,5.84%,5.72%,52.78%,66.80%,3.753333333,4.76%,0.00%,,2006,0.00,,1/1/1976,1976,,9,3.69%,27,286,1.24%
,,,,,,,,,,,,,,,,,,2017,12/15/2017,$                                                       26.39,,,2/5/2018,,3/9/2015,,,,,4.40%,$             26.39,1.16,32.82,19.86,24.35,50%,24%,3.53%,5.84%,5.80%,54.91%,69.13%,3.753333333,4.76%,-1.38%,,2007,0.00,,1/1/1977,1977,,10,3.74%,57,343,2.63%
,,,,,,,,,,,,,,,,,,2017,12/18/2017,$                                                       26.26,,,2/12/2018,,3/16/2015,,,,,4.42%,$             26.26,1.16,32.82,19.86,24.35,49%,25%,3.53%,5.84%,5.83%,55.65%,69.94%,3.753333333,4.76%,-1.84%,,2008,0.39,,1/1/1978,1978,,11,3.79%,43,386,1.98%
,,,,,,,,,,,,,,,,,,2017,12/19/2017,$                                                        26.13,,,2/20/2018,,3/23/2015,,,,,4.44%,$              26.13,1.16,32.82,19.86,24.35,48%,26%,3.53%,5.84%,5.85%,56.42%,70.79%,3.753333333,4.76%,-2.33%,,2009,0.47,20.02%,1/1/1979,1979,,12,3.84%,40,426,1.84%
,,,,,,,,,,,,,,,,,,2017,12/20/2017,$                                                       26.22,,,2/26/2018,,3/30/2015,,,,,4.42%,$             26.22,1.16,32.82,19.86,24.35,49%,25%,3.53%,5.84%,5.83%,55.89%,70.21%,3.753333333,4.76%,-2.00%,,2010,0.49,3.77%,1/1/1980,1980,,13,3.89%,20,446,0.92%
,,,,,,,,,,,,,,,,,,2017,12/21/2017,$                                                       25.85,,,3/5/2018,,4/6/2015,,,,,4.49%,$             25.85,1.16,32.82,19.86,24.35,46%,27%,3.53%,5.84%,5.92%,58.12%,72.63%,3.753333333,4.76%,-3.38%,,2011,0.59,20.00%,1/1/1981,1981,,14,3.94%,23,469,1.06%
,,,,,,,,,,,,,,,,,,2017,12/22/2017,$                                                        26.10,,,3/12/2018,,4/13/2015,,,,,4.44%,$              26.10,1.16,32.82,19.86,24.35,48%,26%,3.53%,5.84%,5.86%,56.60%,70.98%,3.753333333,4.76%,-2.44%,,2012,0.67,13.64%,1/1/1982,1982,,15,3.99%,28,497,1.29%
,,,,,,,,,,,,,,,,,,2017,12/26/2017,$                                                        26.16,,,3/19/2018,,4/20/2015,,,,,4.43%,$              26.16,1.16,32.82,19.86,24.35,49%,25%,3.53%,5.84%,5.85%,56.25%,70.59%,3.753333333,4.76%,-2.22%,,2013,0.76,14.67%,1/1/1983,1983,,16,4.04%,9,506,0.41%
,,,,,,,,,,,,,,,,,,2017,12/27/2017,$                                                        27.19,,,3/26/2018,,4/27/2015,,,,,4.27%,$              27.19,1.16,32.82,19.86,24.35,57%,21%,3.53%,5.84%,5.63%,50.37%,64.17%,3.753333333,4.76%,0.00%,,2014,0.85,11.63%,1/1/1984,1984,,17,4.09%,25,531,1.15%
,,,,,,,,,,,,,,,,,,2017,12/28/2017,$                                                       26.69,,,4/2/2018,,5/4/2015,,,,,4.35%,$             26.69,1.16,32.82,19.86,24.35,53%,23%,3.53%,5.84%,5.73%,53.18%,67.25%,3.753333333,4.76%,-1.84%,,2015,0.94,10.42%,1/1/1985,1985,,18,4.14%,36,567,1.66%
