,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,BMI US,Badger Meter Inc,,,,,,,,,,,,$     126.32,,,,,,,,,,,,,,,,,,NO,,,,,,,
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,14.34%,,Badger Meter Inc - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,,11/10/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,5Y CAGR,14.26%,,Badger Meter Inc - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,13.16%,,Badger Meter Inc - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       28.43,,,12/29/2014,,12/29/2014,,,,,1.51%,$             28.43,0.43,,,,,,,,3.48%,,,2.12,,0.00%,,1997,0.00,-,,,,0,,,,
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       28.43,,,1/5/2015,,1/5/2015,,,,,1.51%,$             28.43,0.43,,,,,,,,3.48%,,,2.12,,0.00%,,1998,0.00,,,,,1,,,,
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       28.09,,,1/12/2015,,1/12/2015,,,,,1.53%,$             28.09,0.43,,,,,,,,3.53%,,,2.12,,-1.20%,,1999,0.00,,,,,2,,,,
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       27.83,,,1/20/2015,,1/20/2015,,,,,1.55%,$             27.83,0.43,,,,,,,,3.56%,,,2.12,,-2.09%,,2000,0.00,,1/1/1970,1970,,3,,,,
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       27.50,,,1/26/2015,,1/26/2015,,,,,1.56%,$             27.50,0.43,,,,,,,,3.60%,,,2.12,,-3.27%,,2001,0.00,,1/1/1971,1971,,4,,,,
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                       28.05,,,2/2/2015,,2/2/2015,,,,,1.53%,$             28.05,0.43,,,,,,,,3.53%,,,2.12,,-1.32%,,2002,0.13,,1/1/1972,1972,,5,,,,
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                       27.84,,,2/9/2015,,2/9/2015,,,,,1.54%,$             27.84,0.43,,,,,,,,3.56%,,,2.12,,-2.08%,,2003,0.13,3.92%,1/1/1973,1973,,6,,,,
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                       27.20,,,2/17/2015,,2/17/2015,,,,,1.58%,$             27.20,0.43,,,,,,,,3.64%,,,2.12,,-4.33%,,2004,0.12,-9.43%,1/1/1974,1974,,7,,,,
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                       27.96,,,2/23/2015,,2/23/2015,,,,,1.54%,$             27.96,0.43,,,,,,,,3.54%,,,2.12,,-1.65%,,2005,0.15,20.83%,1/1/1975,1975,,8,,,,
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                       27.39,,,3/2/2015,,3/2/2015,,,,,1.57%,$             27.39,0.43,,,,,,,,3.62%,,,2.12,,-3.66%,,2006,0.16,6.90%,1/1/1976,1976,,9,,,,
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                        27.17,,,3/9/2015,,3/9/2015,,,,,1.58%,$              27.17,0.43,,,,,,,,3.64%,,,2.12,,-4.42%,,2007,0.17,9.68%,1/1/1977,1977,,10,,,,
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                       26.88,,,3/16/2015,,3/16/2015,,,,,1.60%,$             26.88,0.43,,,,,,,,3.68%,,,2.12,,-5.44%,,2008,0.20,17.65%,1/1/1978,1978,,11,,,,
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                       27.22,,,3/23/2015,,3/23/2015,,,,,1.58%,$             27.22,0.43,,,,,,,,3.64%,,,2.12,,-4.24%,,2009,0.23,15.00%,1/1/1979,1979,,12,,,,
,,,,,,,,,,,,,,,,,,2016,1/22/2016,$                                                        27.17,,,3/30/2015,,3/30/2015,,,,,1.58%,$              27.17,0.43,,,,,,,,3.64%,,,2.12,,-4.43%,,2010,0.26,13.04%,1/1/1980,1980,,13,,,,
,,,,,,,,,,,,,,,,,,2016,1/25/2016,$                                                        26.71,,,4/6/2015,,4/6/2015,,,,,1.61%,$              26.71,0.43,,,,,,,,3.71%,,,2.12,,-6.03%,,2011,0.30,15.38%,1/1/1981,1981,,14,,,,
,,,,,,,,,,,,,,,,,,2016,1/26/2016,$                                                        27.10,,,4/13/2015,,4/13/2015,,,,,1.59%,$              27.10,0.43,,,,,,,,3.65%,,,2.12,,-4.66%,,2012,0.33,10.00%,1/1/1982,1982,,15,,,,
,,,,,,,,,,,,,,,,,,2016,1/27/2016,$                                                       26.73,,,4/20/2015,,4/20/2015,,,,,1.61%,$             26.73,0.43,,,,,,,,3.70%,,,2.12,,-5.96%,,2013,0.35,6.06%,1/1/1983,1983,,16,,,,
,,,,,,,,,,,,,,,,,,2016,1/28/2016,$                                                        26.61,,,4/27/2015,,4/27/2015,,,,,1.62%,$              26.61,0.43,,,,,,,,3.72%,,,2.12,,-6.40%,,2014,0.37,5.71%,1/1/1984,1984,,17,,,,
,,,,,,,,,,,,,,,,,,2016,1/29/2016,$                                                       27.92,,,5/4/2015,,5/4/2015,,,,,1.54%,$             27.92,0.43,,,,,,,,3.55%,,,2.12,,-1.79%,,2015,0.39,5.41%,1/1/1985,1985,,18,,,,
,,,,,,,,,,,,,,,,,,2016,2/1/2016,$                                                        27.71,,,5/11/2015,,5/11/2015,,,,,1.55%,$              27.71,0.43,,,,,,,,3.57%,,,2.12,,-2.52%,,2016,0.43,10.26%,1/1/1986,1986,,19,,,,
,,,,,,,,,,,,,,,,,,2016,2/2/2016,$                                                       27.72,,,5/18/2015,,5/18/2015,,,,,1.55%,$             27.72,0.43,,,,,,,,3.57%,,,2.12,,-2.48%,,2017,0.49,13.95%,1/1/1987,1987,,20,,,,
,,,,,,,,,,,,,,,,,,2016,2/3/2016,$                                                       29.89,,,5/26/2015,,5/26/2015,,,,,1.44%,$             29.89,0.43,,,,,,,,3.31%,,,2.12,,0.00%,,2018,0.56,14.29%,1/1/1988,1988,,21,,,,
,,,,,,,,,,,,,,,,,,2016,2/4/2016,$                                                       30.06,,,6/1/2015,,6/1/2015,,,,,1.43%,$             30.06,0.43,,,,,,,,3.29%,,,2.12,,0.00%,,2019,0.64,14.29%,1/1/1989,1989,,22,,,,
,,,,,,,,,,,,,,,,,,2016,2/5/2016,$                                                       30.06,,,6/8/2015,,6/8/2015,,,,,1.43%,$             30.06,0.43,,,,,,,,3.29%,,,2.12,,0.00%,,2020,0.70,9.38%,1/1/1990,1990,,23,,,,
,,,,,,,,,,,,,,,,,,2016,2/8/2016,$                                                        31.40,,,6/15/2015,,6/15/2015,,,,,1.37%,$              31.40,0.43,,,,,,,,3.15%,,,2.12,,0.00%,,2021,0.76,8.57%,1/1/1991,1991,,24,,,,
,,,,,,,,,,,,,,,,,,2016,2/9/2016,$                                                       30.95,,,6/22/2015,,6/22/2015,,,,,1.39%,$             30.95,0.43,,,,,,,,3.20%,,,2.12,,-1.43%,,2022,#N/A Connection,,1/1/1992,1992,,25,,,,
,,,,,,,,,,,,,,,,,,2016,2/10/2016,$                                                       30.49,,,6/29/2015,,6/29/2015,,,,,1.41%,$             30.49,0.43,,,,,,,,3.25%,,,2.12,,-2.90%,,2023,0.99,,1/1/1993,1993,,26,,,,
,,,,,,,,,,,,,,,,,,2016,2/11/2016,$                                                        31.20,,,7/6/2015,,7/6/2015,,,,,1.38%,$              31.20,0.43,,,,,,,,3.17%,,,2.12,,-0.64%,,2024,1.22,23.23%,1/1/1994,1994,,27,,,,
,,,,,,,,,,,,,,,,,,2016,2/12/2016,$                                                        31.42,,,7/13/2015,,7/13/2015,,,,,1.37%,$              31.42,0.43,,,,,,,,3.15%,,,2.12,,0.00%,,2025,1.48,21.31%,1/1/1995,1995,,28,,,,
,,,,,,,,,,,,,,,,,,2016,2/16/2016,$                                                       32.46,,,7/20/2015,,7/20/2015,,,,,1.32%,$             32.46,0.43,,,,,,,,3.05%,,,2.12,,0.00%,,2026,1.48,0.00%,1/1/1996,1996,,29,,,,
