,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,BN FP,Danone SA,,,,,,,,,,62%,16%,$       70.00,$            51.51,$          69.75,$             82.00,$          85.53,4.48%,2.46%,3.09%,4.27%,49.48%,49.48%,121%,,,,,,,NO,,,4.12%,2.33%,1.79%,0.03%,60
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Danone SA - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,3.88%,11/10/2017,,,,,,,,,,$          66.43,-5%,2.86%,$           81.46,$           53.14,$             46.83,$            41.21,2.28%,3.88%,3.01%,2.44%,-14.63%,-12.27%,-23%,,,,5Y CAGR,0.61%,,Danone SA - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,2.26%,,Danone SA - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Danone SA - Rating: 62% - Upside: 16%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       62.28,,,12/29/2014,,12/29/2014,,,,,2.57%,€               62.28,1.60,65.17,41.21,53.14,88%,5%,2.46%,3.88%,3.21%,12.40%,23.86%,7.14,3.01%,0.00%,,1997,0.00,-,62,,,0,2.33%,16,16,0.59%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,€                                                          60.81,,,1/5/2015,,1/5/2015,,,,,2.63%,€                60.81,1.60,65.17,41.21,53.14,82%,7%,2.46%,3.88%,3.29%,15.11%,26.85%,7.14,3.01%,-2.36%,,1998,0.00,,16,,,1,2.36%,16,32,0.59%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,€                                                           61.19,,,1/12/2015,,1/12/2015,,,,,2.61%,€                 61.19,1.60,65.17,41.21,53.14,83%,6%,2.46%,3.88%,3.27%,14.40%,26.07%,7.14,3.01%,-1.75%,,1999,0.00,,,,,2,2.39%,37,69,1.37%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,€                                                         60.70,,,1/19/2015,,1/20/2015,,,,,2.64%,€               60.70,1.60,65.17,41.21,53.14,81%,7%,2.46%,3.88%,3.29%,15.32%,27.08%,7.14,3.01%,-2.54%,,2000,0.00,,1/1/1970,1970,,3,2.42%,46,115,1.70%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,€                                                         59.75,,,1/26/2015,,1/26/2015,,,,,2.68%,€               59.75,1.60,65.17,41.21,53.14,77%,9%,2.46%,3.88%,3.35%,17.15%,29.10%,7.14,3.01%,-4.06%,,2001,0.00,,1/1/1971,1971,,4,2.45%,43,158,1.59%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,€                                                         59.73,,,2/2/2015,,2/2/2015,,,,,2.68%,€               59.73,1.60,65.17,41.21,53.14,77%,9%,2.46%,3.88%,3.35%,17.19%,29.15%,7.14,3.01%,-4.09%,,2002,0.59,,1/1/1972,1972,,5,2.48%,37,195,1.37%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,€                                                         58.74,,,2/9/2015,,2/9/2015,,,,,2.72%,€               58.74,1.60,65.17,41.21,53.14,73%,11%,2.46%,3.88%,3.40%,19.17%,31.32%,7.14,3.01%,-5.68%,,2003,0.63,6.80%,1/1/1973,1973,,6,2.51%,54,249,2.00%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,€                                                         60.27,,,2/16/2015,,2/17/2015,,,,,2.65%,€               60.27,1.60,65.17,41.21,53.14,80%,8%,2.46%,3.88%,3.32%,16.14%,27.99%,7.14,3.01%,-3.23%,,2004,0.61,-3.16%,1/1/1974,1974,,7,2.54%,94,343,3.48%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,€                                                         60.96,,,2/23/2015,,2/23/2015,,,,,2.62%,€               60.96,1.60,65.17,41.21,53.14,82%,7%,2.46%,3.88%,3.28%,14.83%,26.54%,7.14,3.01%,-2.12%,,2005,0.68,10.20%,1/1/1975,1975,,8,2.57%,87,430,3.22%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,€                                                         59.57,,,3/2/2015,,3/2/2015,,,,,2.69%,€               59.57,1.60,65.17,41.21,53.14,77%,9%,2.46%,3.88%,3.36%,17.51%,29.49%,7.14,3.01%,-4.35%,,2006,0.85,25.93%,1/1/1976,1976,,9,2.60%,79,509,2.92%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,€                                                         58.96,,,3/9/2015,,3/9/2015,,,,,2.71%,€               58.96,1.60,65.17,41.21,53.14,74%,11%,2.46%,3.88%,3.39%,18.72%,30.83%,7.14,3.01%,-5.33%,,2007,1.00,17.65%,1/1/1977,1977,,10,2.63%,72,581,2.66%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,€                                                         58.68,,,3/16/2015,,3/16/2015,,,,,2.73%,€               58.68,1.60,65.17,41.21,53.14,73%,11%,2.46%,3.88%,3.41%,19.29%,31.46%,7.14,3.01%,-5.78%,,2008,1.10,10.00%,1/1/1978,1978,,11,2.66%,79,660,2.92%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,€                                                          59.71,,,3/23/2015,,3/23/2015,,,,,2.68%,€                59.71,1.60,65.17,41.21,53.14,77%,9%,2.46%,3.88%,3.35%,17.23%,29.19%,7.14,3.01%,-4.13%,,2009,1.20,9.09%,1/1/1979,1979,,12,2.69%,74,734,2.74%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,€                                                          58.17,,,3/30/2015,,3/30/2015,,,,,2.75%,€                58.17,1.60,65.17,41.21,53.14,71%,12%,2.46%,3.88%,3.44%,20.34%,32.61%,7.14,3.01%,-6.60%,,2010,1.20,0.00%,1/1/1980,1980,,13,2.72%,56,790,2.07%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,€                                                         58.44,,,4/7/2015,,4/6/2015,,,,,2.74%,€               58.44,1.60,65.17,41.21,53.14,72%,12%,2.46%,3.88%,3.42%,19.78%,32.00%,7.14,3.01%,-6.17%,,2011,1.30,8.33%,1/1/1981,1981,,14,2.75%,62,852,2.29%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,€                                                          59.61,,,4/13/2015,,4/13/2015,,,,,2.68%,€                59.61,1.60,65.17,41.21,53.14,77%,9%,2.46%,3.88%,3.36%,17.43%,29.41%,7.14,3.01%,-4.29%,,2012,1.39,6.92%,1/1/1982,1982,,15,2.78%,72,924,2.66%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,€                                                          60.18,,,4/20/2015,,4/20/2015,,,,,2.66%,€                60.18,1.60,65.17,41.21,53.14,79%,8%,2.46%,3.88%,3.32%,16.32%,28.18%,7.14,3.01%,-3.37%,,2013,1.45,4.32%,1/1/1983,1983,,16,2.81%,64,988,2.37%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,€                                                         60.39,,,4/27/2015,,4/27/2015,,,,,2.65%,€               60.39,1.60,65.17,41.21,53.14,80%,8%,2.46%,3.88%,3.31%,15.91%,27.74%,7.14,3.01%,-3.03%,,2014,1.45,0.00%,1/1/1984,1984,,17,2.84%,61,1049,2.26%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,€                                                          61.44,,,5/4/2015,,5/4/2015,,,,,2.60%,€                61.44,1.60,65.17,41.21,53.14,84%,6%,2.46%,3.88%,3.26%,13.93%,25.55%,7.14,3.01%,-1.35%,,2015,1.50,3.45%,1/1/1985,1985,,18,2.87%,82,1131,3.03%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,€                                                          61.28,,,5/11/2015,,5/11/2015,,,,,2.61%,€                61.28,1.60,65.17,41.21,53.14,84%,6%,2.46%,3.88%,3.26%,14.23%,25.88%,7.14,3.01%,-1.61%,,2016,1.60,6.67%,1/1/1986,1986,,19,2.90%,73,1204,2.70%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,€                                                         63.45,,,5/18/2015,,5/18/2015,,,,,2.52%,€               63.45,1.60,65.17,41.21,53.14,93%,3%,2.46%,3.88%,3.15%,10.32%,21.58%,7.14,3.01%,0.00%,,2017,1.70,6.25%,1/1/1987,1987,,20,2.93%,60,1264,2.22%
