,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,BNS CN,Bank of Nova Scotia,,,,,,,,,,120%,-8%,$     122.73,$          64.29,$          90.07,$           126.86,$          112.81,7.71%,3.83%,5.10%,8.95%,162.69%,162.69%,129%,,,,,,,NO,,,7.20%,3.51%,3.69%,0.05%,74
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,1.10%,,Bank of Nova Scotia - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,6.72%,11/10/2017,,,,,,,,,,$          90.07,-27%,3.52%,$          112.81,$          60.04,$             46.72,$          42.86,3.41%,6.72%,4.80%,3.29%,-3.26%,-3.26%,-17%,,,,5Y CAGR,3.71%,,Bank of Nova Scotia - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,4.14%,,Bank of Nova Scotia - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Bank of Nova Scotia - Rating: 120% - Upside: -8%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       55.54,,,12/29/2014,,12/29/2014,,,,,5.19%,$             55.54,2.88,75.21,42.86,60.04,39%,35%,3.83%,6.72%,7.53%,120.98%,143.84%,12.7,4.80%,0.00%,,1997,0.00,-,120,,,0,3.51%,12,12,0.45%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                        56.13,,,1/5/2015,,1/5/2015,,,,,5.13%,$              56.13,2.88,75.21,42.86,60.04,41%,34%,3.83%,6.72%,7.45%,118.65%,141.28%,12.7,4.80%,0.00%,,1998,0.00,,-8,,,1,3.56%,5,17,0.19%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        55.16,,,1/12/2015,,1/12/2015,,,,,5.22%,$              55.16,2.88,75.21,42.86,60.04,38%,36%,3.83%,6.72%,7.58%,122.50%,145.52%,12.7,4.80%,-1.73%,,1999,0.00,,,,,2,3.61%,14,31,0.53%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                        54.31,,,1/19/2015,,1/20/2015,,,,,5.30%,$              54.31,2.88,75.21,42.86,60.04,35%,38%,3.83%,6.72%,7.70%,125.98%,149.36%,12.7,4.80%,-3.24%,,2000,0.00,,1/1/1970,1970,,3,3.66%,21,52,0.79%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       54.56,,,1/26/2015,,1/26/2015,,,,,5.28%,$             54.56,2.88,75.21,42.86,60.04,36%,38%,3.83%,6.72%,7.66%,124.95%,148.22%,12.7,4.80%,-2.80%,,2001,0.00,,1/1/1971,1971,,4,3.71%,23,75,0.87%
