,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,BNY US,Bank of New York,,,,,,,,,,,,$      158.91,,,,,,,,,,,,,,,,,,NO,,,,,,,
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,10.30%,,Bank of New York - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,,11/10/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,5Y CAGR,10.28%,,Bank of New York - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,11.40%,,Bank of New York - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       39.97,,,12/29/2014,,12/29/2014,,,,,1.80%,$             39.97,0.72,,,,,,,,3.95%,,,3.8,,0.00%,,1997,0.00,-,,,,0,,,,
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       39.82,,,1/5/2015,,1/5/2015,,,,,1.81%,$             39.82,0.72,,,,,,,,3.97%,,,3.8,,-0.38%,,1998,0.00,,,,,1,,,,
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       38.82,,,1/12/2015,,1/12/2015,,,,,1.85%,$             38.82,0.72,,,,,,,,4.07%,,,3.8,,-2.88%,,1999,0.00,,,,,2,,,,
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       37.84,,,1/20/2015,,1/20/2015,,,,,1.90%,$             37.84,0.72,,,,,,,,4.18%,,,3.8,,-5.33%,,2000,0.00,,1/1/1970,1970,,3,,,,
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                        37.15,,,1/26/2015,,1/26/2015,,,,,1.94%,$              37.15,0.72,,,,,,,,4.25%,,,3.8,,-7.06%,,2001,0.00,,1/1/1971,1971,,4,,,,
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                       37.42,,,2/2/2015,,2/2/2015,,,,,1.92%,$             37.42,0.72,,,,,,,,4.22%,,,3.8,,-6.38%,,2002,0.81,,1/1/1972,1972,,5,,,,
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                       37.72,,,2/9/2015,,2/9/2015,,,,,1.91%,$             37.72,0.72,,,,,,,,4.19%,,,3.8,,-5.63%,,2003,0.81,0.00%,1/1/1973,1973,,6,,,,
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                       36.46,,,2/17/2015,,2/17/2015,,,,,1.97%,$             36.46,0.72,,,,,,,,4.33%,,,3.8,,-8.78%,,2004,0.84,3.95%,1/1/1974,1974,,7,,,,
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                       37.07,,,2/23/2015,,2/23/2015,,,,,1.94%,$             37.07,0.72,,,,,,,,4.26%,,,3.8,,-7.26%,,2005,0.87,3.80%,1/1/1975,1975,,8,,,,
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                       35.78,,,3/2/2015,,3/2/2015,,,,,2.01%,$             35.78,0.72,,,,,,,,4.42%,,,3.8,,-10.48%,,2006,0.91,4.88%,1/1/1976,1976,,9,,,,
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                       35.93,,,3/9/2015,,3/9/2015,,,,,2.00%,$             35.93,0.72,,,,,,,,4.40%,,,3.8,,-10.11%,,2007,0.95,3.82%,1/1/1977,1977,,10,,,,
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                       35.47,,,3/16/2015,,3/16/2015,,,,,2.03%,$             35.47,0.72,,,,,,,,4.45%,,,3.8,,-11.26%,,2008,0.96,1.44%,1/1/1978,1978,,11,,,,
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                        34.31,,,3/23/2015,,3/23/2015,,,,,2.10%,$              34.31,0.72,,,,,,,,4.61%,,,3.8,,-14.16%,,2009,0.51,-46.88%,1/1/1979,1979,,12,,,,
,,,,,,,,,,,,,,,,,,2016,1/22/2016,$                                                        35.15,,,3/30/2015,,3/30/2015,,,,,2.05%,$              35.15,0.72,,,,,,,,4.50%,,,3.8,,-12.06%,,2010,0.36,-29.41%,1/1/1980,1980,,13,,,,
,,,,,,,,,,,,,,,,,,2016,1/25/2016,$                                                       34.67,,,4/6/2015,,4/6/2015,,,,,2.08%,$             34.67,0.72,,,,,,,,4.56%,,,3.8,,-13.26%,,2011,0.48,33.33%,1/1/1981,1981,,14,,,,
,,,,,,,,,,,,,,,,,,2016,1/26/2016,$                                                       35.56,,,4/13/2015,,4/13/2015,,,,,2.02%,$             35.56,0.72,,,,,,,,4.44%,,,3.8,,-11.03%,,2012,0.52,8.33%,1/1/1982,1982,,15,,,,
,,,,,,,,,,,,,,,,,,2016,1/27/2016,$                                                       35.43,,,4/20/2015,,4/20/2015,,,,,2.03%,$             35.43,0.72,,,,,,,,4.46%,,,3.8,,-11.36%,,2013,0.58,11.54%,1/1/1983,1983,,16,,,,
,,,,,,,,,,,,,,,,,,2016,1/28/2016,$                                                       35.37,,,4/27/2015,,4/27/2015,,,,,2.04%,$             35.37,0.72,,,,,,,,4.47%,,,3.8,,-11.51%,,2014,0.66,13.79%,1/1/1984,1984,,17,,,,
