,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,BRDCY US,Bridgestone,,,,,,,,,,100%,0%,$         11.33,$             0.02,$  4.098,04,$              12.55,$  5.293,66,#######,3.02%,722.24%,5.05%,66.86%,7865.77%,114%,,,,,,,NO,,,1766.13%,2.74%,1763.39%,0.01%,176339
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Bridgestone - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,1694.02%,11/10/2017,,,,,,,,,,$             8.78,-23%,3.02%,$            11.34,$             7.80,$                6.79,$             0.02,2.64%,1694.02%,3.90%,2.73%,-9.72%,-9.72%,0%,,,,5Y CAGR,-2.31%,,Bridgestone - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,-45.19%,,Bridgestone - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Bridgestone - Rating: 100% - Upside: 0%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                          8.35,,,12/29/2014,,12/29/2014,,,,,1676.65%,$                8.35,140.00,4.631,95,8.26,3.585,78,0%,55372%,3.02%,1694.02%,4.10%,35.69%,7341.08%,610,3.90%,0.00%,,1997,0.00,-,100,,,0,2.74%,4,4,0.15%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                          8.48,,,1/5/2015,,1/5/2015,,,,,1651.43%,$                8.48,140.00,4.631,95,8.26,3.585,78,0%,54538%,3.02%,1694.02%,4.04%,33.65%,7229.17%,610,3.90%,0.00%,,1998,0.00,,0,,,1,2.75%,2,6,0.08%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                           8.41,,,1/12/2015,,1/12/2015,,,,,1664.19%,$                 8.41,140.00,4.631,95,8.26,3.585,78,0%,54960%,3.02%,1694.02%,4.07%,34.68%,7285.79%,610,3.90%,-0.77%,,1999,0.00,,,,,2,2.76%,1,7,0.04%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                          8.28,,,1/20/2015,,1/20/2015,,,,,1691.84%,$                8.28,140.00,4.631,95,8.26,3.585,78,0%,55875%,3.02%,1694.02%,4.14%,36.92%,7408.52%,610,3.90%,-2.39%,,2000,0.00,,1/1/1970,1970,,3,2.77%,4,11,0.15%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                          8.24,,,1/26/2015,,1/26/2015,,,,,1699.03%,$                8.24,140.00,4.631,95,8.26,3.585,78,0%,56113%,3.02%,1694.02%,4.16%,37.50%,7440.41%,610,3.90%,-2.80%,,2001,0.00,,1/1/1971,1971,,4,2.78%,4,15,0.15%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                          8.29,,,2/2/2015,,2/2/2015,,,,,1688.78%,$                8.29,140.00,4.631,95,8.26,3.585,78,0%,55774%,3.02%,1694.02%,4.13%,36.67%,7394.93%,610,3.90%,-2.21%,,2002,0.03,,1/1/1972,1972,,5,2.79%,3,18,0.11%
