,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,BYG LN,Big Yellow Group PLC,,,,,,,,,,-2%,213%,$    889.50,$       922.00,$   1.260,00,$       1.724,00,$  2.780,64,5.57%,1.63%,3.54%,7.12%,40.08%,59.21%,146%,,,,,,,NO,,,5.43%,1.38%,4.05%,0.10%,40
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Big Yellow Group PLC - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,4.90%,11/10/2017,,,,,,,,,,$   1.260,00,42%,5.08%,$  2.780,64,$       596.55,$          635.00,$       436.52,1.24%,4.90%,3.59%,2.62%,-48.40%,-48.40%,-6%,,,,5Y CAGR,3.75%,,Big Yellow Group PLC - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,5.56%,,Big Yellow Group PLC - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Big Yellow Group PLC - Rating: -2% - Upside: 213%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                     813.50,,,12/29/2014,,12/29/2014,,,,,3.23%,813.50,26.30,1.617,94,536.47,733.14,26%,99%,1.63%,4.90%,5.56%,9.34%,24.28%,121.5,3.59%,0.00%,,1997,0.00,-,-2,,,0,1.38%,46,46,1.70%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,847.00,,,1/5/2015,,1/5/2015,,,,,3.11%,847.00,26.30,1.617,94,536.47,733.14,29%,91%,1.63%,4.90%,5.34%,5.02%,19.36%,121.5,3.59%,0.00%,,1998,0.00,,213,,,1,1.48%,49,95,1.82%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,835.50,,,1/12/2015,,1/12/2015,,,,,3.15%,835.50,26.30,1.617,94,536.47,733.14,28%,94%,1.63%,4.90%,5.41%,6.46%,21.01%,121.5,3.59%,-1.36%,,1999,0.00,,,,,2,1.58%,47,142,1.74%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,804.00,,,1/19/2015,,1/20/2015,,,,,3.27%,804.00,26.30,1.617,94,536.47,733.14,25%,101%,1.63%,4.90%,5.62%,10.63%,25.75%,121.5,3.59%,-5.08%,,2000,0.00,,1/1/1970,1970,,3,1.68%,27,169,1.00%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,806.00,,,1/26/2015,,1/26/2015,,,,,3.26%,806.00,26.30,1.617,94,536.47,733.14,25%,101%,1.63%,4.90%,5.61%,10.36%,25.43%,121.5,3.59%,-4.84%,,2001,0.00,,1/1/1971,1971,,4,1.78%,31,200,1.15%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,766.50,,,2/2/2015,,2/2/2015,,,,,3.43%,766.50,26.30,1.617,94,536.47,733.14,21%,111%,1.63%,4.90%,5.90%,16.05%,31.90%,121.5,3.59%,-9.50%,,2002,0.00,,1/1/1972,1972,,5,1.88%,23,223,0.85%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,774.50,,,2/9/2015,,2/9/2015,,,,,3.40%,774.50,26.30,1.617,94,536.47,733.14,22%,109%,1.63%,4.90%,5.84%,14.85%,30.54%,121.5,3.59%,-8.56%,,2003,1.00,,1/1/1973,1973,,6,1.98%,14,237,0.52%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,766.00,,,2/16/2015,,2/17/2015,,,,,3.43%,766.00,26.30,1.617,94,536.47,733.14,21%,111%,1.63%,4.90%,5.90%,16.12%,31.98%,121.5,3.59%,-9.56%,,2004,1.55,55.00%,1/1/1974,1974,,7,2.08%,7,244,0.26%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,745.50,,,2/23/2015,,2/23/2015,,,,,3.53%,745.50,26.30,1.617,94,536.47,733.14,19%,117%,1.63%,4.90%,6.06%,19.32%,35.61%,121.5,3.59%,-11.98%,,2005,3.50,125.81%,1/1/1975,1975,,8,2.18%,18,262,0.67%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,722.00,,,3/2/2015,,3/2/2015,,,,,3.64%,722.00,26.30,1.617,94,536.47,733.14,17%,124%,1.63%,4.90%,6.26%,23.20%,40.03%,121.5,3.59%,-14.76%,,2006,6.50,85.71%,1/1/1976,1976,,9,2.28%,12,274,0.44%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,728.50,,,3/9/2015,,3/9/2015,,,,,3.61%,728.50,26.30,1.617,94,536.47,733.14,18%,122%,1.63%,4.90%,6.20%,22.10%,38.78%,121.5,3.59%,-13.99%,,2007,9.50,46.15%,1/1/1977,1977,,10,2.38%,23,297,0.85%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,731.50,,,3/16/2015,,3/16/2015,,,,,3.60%,731.50,26.30,1.617,94,536.47,733.14,18%,121%,1.63%,4.90%,6.18%,21.60%,38.21%,121.5,3.59%,-13.64%,,2008,5.50,-42.11%,1/1/1978,1978,,11,2.48%,34,331,1.26%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,705.50,,,3/23/2015,,3/23/2015,,,,,3.73%,705.50,26.30,1.617,94,536.47,733.14,16%,129%,1.63%,4.90%,6.41%,26.08%,43.30%,121.5,3.59%,-16.71%,,2009,0.00,-100.00%,1/1/1979,1979,,12,2.58%,24,355,0.89%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,712.00,,,3/30/2015,,3/30/2015,,,,,3.69%,712.00,26.30,1.617,94,536.47,733.14,16%,127%,1.63%,4.90%,6.35%,24.93%,41.99%,121.5,3.59%,-15.94%,,2010,8.00,,1/1/1980,1980,,13,2.68%,22,377,0.82%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,732.00,,,4/7/2015,,4/6/2015,,,,,3.59%,732.00,26.30,1.617,94,536.47,733.14,18%,121%,1.63%,4.90%,6.17%,21.52%,38.11%,121.5,3.59%,-13.58%,,2011,9.50,18.75%,1/1/1981,1981,,14,2.78%,51,428,1.89%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,734.00,,,4/13/2015,,4/13/2015,,,,,3.58%,734.00,26.30,1.617,94,536.47,733.14,18%,120%,1.63%,4.90%,6.16%,21.19%,37.74%,121.5,3.59%,-13.34%,,2012,10.50,10.53%,1/1/1982,1982,,15,2.88%,91,519,3.37%
