,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,CA FR,Carrefour SA,,,,,,,,,,22%,86%,$         15.71,$           12.04,$          23.42,$             26.22,$          42.87,4.32%,1.63%,2.84%,0.00%,33.66%,33.66%,,,,,,,,NO,,,4.29%,1.45%,2.84%,0.04%,71
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,,,Carrefour SA - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,3.99%,11/10/2017,,,,,,,,,,$           16.06,2%,3.03%,$          29.40,$             7.69,$               11.75,$             5.77,1.38%,3.99%,2.99%,0.00%,-40.10%,-31.25%,,,,,5Y CAGR,,,Carrefour SA - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,,,Carrefour SA - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Carrefour SA - Rating: 22% - Upside: 86%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       26.22,,,12/29/2014,,12/29/2014,,,,,2.67%,€               26.22,0.70,42.87,17.56,23.42,34%,64%,1.63%,3.99%,,-40.10%,-31.25%,2.32,2.99%,0.00%,,1997,0.00,-,22,,,0,1.45%,11,11,0.72%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,€                                                         25.59,,,1/5/2015,,1/5/2015,,,,,2.73%,€               25.59,0.70,42.87,17.56,23.42,32%,68%,1.63%,3.99%,,-38.64%,-29.57%,2.32,2.99%,-2.38%,,1998,0.00,,86,,,1,1.49%,11,22,0.72%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,€                                                         25.60,,,1/12/2015,,1/12/2015,,,,,2.73%,€               25.60,0.70,42.87,17.56,23.42,32%,67%,1.63%,3.99%,,-38.65%,-29.59%,2.32,2.99%,-2.36%,,1999,0.00,,,,,2,1.53%,14,36,0.91%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,€                                                          25.16,,,1/19/2015,,1/20/2015,,,,,2.78%,€                25.16,0.70,42.87,17.56,23.42,30%,70%,1.63%,3.99%,,-37.57%,-28.35%,2.32,2.99%,-4.05%,,2000,0.00,,1/1/1970,1970,,3,1.57%,20,56,1.30%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,€                                                          24.91,,,1/26/2015,,1/26/2015,,,,,2.81%,€                24.91,0.70,42.87,17.56,23.42,29%,72%,1.63%,3.99%,,-36.96%,-27.64%,2.32,2.99%,-4.99%,,2001,0.00,,1/1/1971,1971,,4,1.61%,29,85,1.89%
