,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,CAG US,Conagra Brands Inc,,,,,,,,,,-6%,324%,$        14.77,$            17.41,$          45.40,$              41.50,$          62.60,10.81%,2.17%,3.75%,10.81%,17.41%,17.41%,116%,,,,,,,NO,,,10.20%,2.04%,8.16%,0.15%,54
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Conagra Brands Inc - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,7.81%,11/10/2017,,,,,,,,,,$          45.40,207%,9.21%,$          62.60,$          25.97,$              12.58,$             9.96,1.95%,7.81%,3.00%,3.28%,-64.41%,-63.94%,-11%,,,,5Y CAGR,6.88%,,Conagra Brands Inc - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,5.74%,,Conagra Brands Inc - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Conagra Brands Inc - Rating: -6% - Upside: 324%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       32.33,,,12/29/2014,,12/29/2014,,,,,2.41%,$             32.33,0.78,35.81,9.96,25.97,87%,11%,2.17%,7.81%,4.21%,-54.31%,-43.74%,3.4155,3.00%,0.00%,,1997,0.00,-,-6,,,0,2.04%,138,138,5.20%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       32.35,,,1/5/2015,,1/5/2015,,,,,2.41%,$             32.35,0.78,35.81,9.96,25.97,87%,11%,2.17%,7.81%,4.20%,-54.34%,-43.78%,3.4155,3.00%,0.00%,,1998,0.00,,324,,,1,2.19%,316,454,11.91%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       32.52,,,1/12/2015,,1/12/2015,,,,,2.39%,$             32.52,0.78,35.81,9.96,25.97,87%,10%,2.17%,7.81%,4.18%,-54.58%,-44.08%,3.4155,3.00%,0.00%,,1999,0.00,,,,,2,2.34%,230,684,8.67%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                         31.41,,,1/20/2015,,1/20/2015,,,,,2.48%,$               31.41,0.78,35.81,9.96,25.97,83%,14%,2.17%,7.81%,4.33%,-52.97%,-42.10%,3.4155,3.00%,-3.42%,,2000,0.00,,1/1/1970,1970,,3,2.49%,214,898,8.06%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                        31.56,,,1/26/2015,,1/26/2015,,,,,2.46%,$              31.56,0.78,35.81,9.96,25.97,84%,13%,2.17%,7.81%,4.31%,-53.20%,-42.38%,3.4155,3.00%,-2.94%,,2001,0.00,,1/1/1971,1971,,4,2.64%,119,1017,4.48%
