,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,CAI AV,CA Immobilien Anlagen AG,,,,,,,,,,,,$       23.50,,,,,,,,,,,,,,,,,,NO,,,,,,,
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,CA Immobilien Anlagen AG - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,,11/10/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,5Y CAGR,0.00%,,CA Immobilien Anlagen AG - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,,,CA Immobilien Anlagen AG - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                        16.79,,,12/29/2014,,12/29/2014,,,,,0.00%,€                16.79,0.00,,,,,,,,5.96%,,,2.13,,0.00%,,1997,0.00,-,,,,0,,,,
,,,,,,,,,,,,,,,,,,2016,1/5/2016,€                                                          16.97,,,1/5/2015,,1/5/2015,,,,,0.00%,€                16.97,0.00,,,,,,,,5.89%,,,2.13,,0.00%,,1998,0.00,,,,,1,,,,
,,,,,,,,,,,,,,,,,,2016,1/7/2016,€                                                          16.08,,,1/12/2015,,1/12/2015,,,,,0.00%,€                16.08,0.00,,,,,,,,6.22%,,,2.13,,-5.22%,,1999,0.00,,,,,2,,,,
,,,,,,,,,,,,,,,,,,2016,1/8/2016,€                                                          16.24,,,1/19/2015,,1/20/2015,,,,,0.00%,€                16.24,0.00,,,,,,,,6.16%,,,2.13,,-4.30%,,2000,0.00,,1/1/1970,1970,,3,,,,
,,,,,,,,,,,,,,,,,,2016,1/11/2016,€                                                          16.23,,,1/26/2015,,1/26/2015,,,,,0.00%,€                16.23,0.00,,,,,,,,6.16%,,,2.13,,-4.33%,,2001,0.00,,1/1/1971,1971,,4,,,,
,,,,,,,,,,,,,,,,,,2016,1/12/2016,€                                                           16.19,,,2/2/2015,,2/2/2015,,,,,0.00%,€                 16.19,0.00,,,,,,,,6.18%,,,2.13,,-4.60%,,2002,0.00,,1/1/1972,1972,,5,,,,
,,,,,,,,,,,,,,,,,,2016,1/13/2016,€                                                            16.11,,,2/9/2015,,2/9/2015,,,,,0.00%,€                  16.11,0.00,,,,,,,,6.21%,,,2.13,,-5.04%,,2003,0.00,,1/1/1973,1973,,6,,,,
,,,,,,,,,,,,,,,,,,2016,1/14/2016,€                                                          15.82,,,2/16/2015,,2/17/2015,,,,,0.00%,€                15.82,0.00,,,,,,,,6.32%,,,2.13,,-6.78%,,2004,0.00,,1/1/1974,1974,,7,,,,
