,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,CAR-U CN,Canadian Apartment Properties,,,,,,,,,,-9%,75%,$       35.02,$          37.07,$          48.60,$              63.19,$           61.20,4.35%,2.37%,3.04%,4.35%,4.98%,7.02%,116%,,,,,,,NO,,,4.20%,2.25%,1.94%,0.03%,65
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Canadian Apartment Properties - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,,11/10/2017,,,,,,,,,,$          48.60,39%,4.14%,$           61.20,$          42.73,$             33.36,$          32.60,2.23%,3.91%,2.98%,2.29%,-44.58%,-44.58%,-15%,,,,5Y CAGR,0.57%,,Canadian Apartment Properties - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,1.60%,,Canadian Apartment Properties - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Canadian Apartment Properties - Rating: -9% - Upside: 75%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2017,12/1/2017,$                                                         37.11,,,12/1/2017,,12/29/2014,,,,,3.44%,$               37.11,1.28,53.81,32.60,42.73,21%,45%,2.37%,3.91%,3.91%,-5.63%,5.04%,3.95999,2.98%,0.00%,,1997,0.00,-,-9,,,0,2.25%,33,33,1.52%
,,,,,,,,,,,,,,,,,,2017,12/4/2017,$                                                       36.92,,,12/4/2017,,1/5/2015,,,,,3.45%,$             36.92,1.28,53.81,32.60,42.73,20%,46%,2.37%,3.91%,3.93%,-5.14%,5.59%,3.95999,2.98%,-0.52%,,1998,0.00,,75,,,1,2.28%,27,60,1.25%
,,,,,,,,,,,,,,,,,,2017,12/5/2017,$                                                       36.92,,,12/11/2017,,1/12/2015,,,,,3.45%,$             36.92,1.28,53.81,32.60,42.73,20%,46%,2.37%,3.91%,3.93%,-5.14%,5.59%,3.95999,2.98%,-0.52%,,1999,0.00,,,,,2,2.31%,18,78,0.83%
,,,,,,,,,,,,,,,,,,2017,12/6/2017,$                                                       36.94,,,12/18/2017,,1/20/2015,,,,,3.45%,$             36.94,1.28,53.81,32.60,42.73,20%,46%,2.37%,3.91%,3.93%,-5.19%,5.53%,3.95999,2.98%,-0.46%,,2000,0.00,,1/1/1970,1970,,3,2.34%,30,108,1.38%
,,,,,,,,,,,,,,,,,,2017,12/7/2017,$                                                       37.28,,,12/27/2017,,1/26/2015,,,,,3.42%,$             37.28,1.28,53.81,32.60,42.73,22%,44%,2.37%,3.91%,3.89%,-6.06%,4.56%,3.95999,2.98%,0.00%,,2001,0.00,,1/1/1971,1971,,4,2.37%,26,134,1.20%
,,,,,,,,,,,,,,,,,,2017,12/8/2017,$                                                       37.32,,,1/2/2018,,2/2/2015,,,,,3.42%,$             37.32,1.28,53.81,32.60,42.73,22%,44%,2.37%,3.91%,3.89%,-6.16%,4.45%,3.95999,2.98%,0.00%,,2002,1.06,,1/1/1972,1972,,5,2.40%,24,158,1.11%
,,,,,,,,,,,,,,,,,,2017,12/11/2017,$                                                       37.23,,,1/8/2018,,2/9/2015,,,,,3.42%,$             37.23,1.28,53.81,32.60,42.73,22%,45%,2.37%,3.91%,3.89%,-5.93%,4.70%,3.95999,2.98%,-0.24%,,2003,1.07,1.66%,1/1/1973,1973,,6,2.43%,37,195,1.71%
,,,,,,,,,,,,,,,,,,2017,12/12/2017,$                                                       37.42,,,1/15/2018,,2/17/2015,,,,,3.41%,$             37.42,1.28,53.81,32.60,42.73,23%,44%,2.37%,3.91%,3.87%,-6.42%,4.17%,3.95999,2.98%,0.00%,,2004,1.08,0.70%,1/1/1974,1974,,7,2.46%,38,233,1.75%
,,,,,,,,,,,,,,,,,,2017,12/13/2017,$                                                       37.72,,,1/22/2018,,2/23/2015,,,,,3.38%,$             37.72,1.28,53.81,32.60,42.73,24%,43%,2.37%,3.91%,3.84%,-7.17%,3.33%,3.95999,2.98%,0.00%,,2005,1.08,0.00%,1/1/1975,1975,,8,2.49%,41,274,1.89%
,,,,,,,,,,,,,,,,,,2017,12/14/2017,$                                                        38.13,,,1/29/2018,,3/2/2015,,,,,3.34%,$              38.13,1.28,53.81,32.60,42.73,26%,41%,2.37%,3.91%,3.80%,-8.15%,2.24%,3.95999,2.98%,0.00%,,2006,1.08,0.00%,1/1/1976,1976,,9,2.52%,35,309,1.61%
,,,,,,,,,,,,,,,,,,2017,12/15/2017,$                                                        38.12,,,2/5/2018,,3/9/2015,,,,,3.34%,$              38.12,1.28,53.81,32.60,42.73,26%,41%,2.37%,3.91%,3.80%,-8.13%,2.26%,3.95999,2.98%,-0.03%,,2007,1.08,0.00%,1/1/1977,1977,,10,2.55%,34,343,1.57%
,,,,,,,,,,,,,,,,,,2017,12/18/2017,$                                                       38.00,,,2/12/2018,,3/16/2015,,,,,3.36%,$             38.00,1.28,53.81,32.60,42.73,25%,42%,2.37%,3.91%,3.82%,-7.83%,2.59%,3.95999,2.98%,-0.34%,,2008,1.08,0.00%,1/1/1978,1978,,11,2.58%,25,368,1.15%
