,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,CARLB DC,Carlsberg AS,,,,,,,,,,11%,112%,$    905.60,$       780.00,$    1.174,94,$        1.183,50,$     1.921,17,4.02%,1.41%,2.38%,5.18%,73.67%,83.83%,110%,,,,,,,NO,,,3.90%,1.34%,2.57%,0.04%,64
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Carlsberg AS - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,3.46%,11/10/2017,,,,,,,,,,$    1.174,94,30%,2.98%,$     1.921,17,$        391.65,$           521.46,$       260.00,1.33%,3.46%,2.30%,2.28%,-23.48%,-23.48%,-10%,,,,5Y CAGR,4.18%,,Carlsberg AS - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,11.61%,,Carlsberg AS - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Carlsberg AS - Rating: 11% - Upside: 112%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                     600.71,,,12/29/2014,,12/29/2014,,,,,1.50%,600.71 kr,9.00,640.39,260.00,391.65,90%,7%,1.41%,3.46%,4.49%,50.76%,59.58%,53,2.30%,0.00%,,1997,0.00,-,11,,,0,1.34%,57,57,2.16%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,607.89 kr,,,1/5/2015,,1/5/2015,,,,,1.48%,607.89 kr,9.00,640.39,260.00,391.65,91%,5%,1.41%,3.46%,4.44%,48.97%,57.69%,53,2.30%,0.00%,,1998,0.00,,112,,,1,1.38%,86,143,3.26%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,595.28 kr,,,1/12/2015,,1/12/2015,,,,,1.51%,595.28 kr,9.00,640.39,260.00,391.65,88%,8%,1.41%,3.46%,4.54%,52.13%,61.03%,53,2.30%,-2.07%,,1999,0.00,,,,,2,1.42%,118,261,4.47%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,592.07 kr,,,1/19/2015,,1/20/2015,,,,,1.52%,592.07 kr,9.00,640.39,260.00,391.65,87%,8%,1.41%,3.46%,4.56%,52.95%,61.91%,53,2.30%,-2.60%,,2000,0.00,,1/1/1970,1970,,3,1.46%,74,335,2.80%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,592.10 kr,,,1/26/2015,,1/26/2015,,,,,1.52%,592.10 kr,9.00,640.39,260.00,391.65,87%,8%,1.41%,3.46%,4.56%,52.95%,61.90%,53,2.30%,-2.60%,,2001,0.00,,1/1/1971,1971,,4,1.50%,49,384,1.86%
