,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,CAST SS,Castellum AB,,,,,,,,,,,,$     130.40,,,,,,,,,,,,,,,,,,NO,,,,,,,
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,,,Castellum AB - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,,11/10/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,5Y CAGR,,,Castellum AB - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,,,Castellum AB - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                     103.60,,,12/29/2014,,12/29/2014,,,,,4.73%,103.60 kr,4.90,,,,,,,,,,,21.3,,0.00%,,1997,0.00,-,,,,0,,,,
,,,,,,,,,,,,,,,,,,2016,1/5/2016,104.03 kr,,,1/5/2015,,1/5/2015,,,,,4.71%,104.03 kr,4.90,,,,,,,,,,,21.3,,0.00%,,1998,0.00,,,,,1,,,,
,,,,,,,,,,,,,,,,,,2016,1/7/2016,101.86 kr,,,1/12/2015,,1/12/2015,,,,,4.81%,101.86 kr,4.90,,,,,,,,,,,21.3,,-2.09%,,1999,0.00,,,,,2,,,,
,,,,,,,,,,,,,,,,,,2016,1/8/2016,101.34 kr,,,1/19/2015,,1/20/2015,,,,,4.84%,101.34 kr,4.90,,,,,,,,,,,21.3,,-2.59%,,2000,0.00,,1/1/1970,1970,,3,,,,
,,,,,,,,,,,,,,,,,,2016,1/11/2016,101.00 kr,,,1/26/2015,,1/26/2015,,,,,4.85%,101.00 kr,4.90,,,,,,,,,,,21.3,,-2.92%,,2001,0.00,,1/1/1971,1971,,4,,,,
,,,,,,,,,,,,,,,,,,2016,1/12/2016,102.12 kr,,,2/2/2015,,2/2/2015,,,,,4.80%,102.12 kr,4.90,,,,,,,,,,,21.3,,-1.83%,,2002,1.63,,1/1/1972,1972,,5,,,,
,,,,,,,,,,,,,,,,,,2016,1/13/2016,102.21 kr,,,2/9/2015,,2/9/2015,,,,,4.79%,102.21 kr,4.90,,,,,,,,,,,21.3,,-1.75%,,2003,1.88,15.38%,1/1/1973,1973,,6,,,,
,,,,,,,,,,,,,,,,,,2016,1/14/2016,100.91 kr,,,2/16/2015,,2/17/2015,,,,,4.86%,100.91 kr,4.90,,,,,,,,,,,21.3,,-3.00%,,2004,2.13,13.33%,1/1/1974,1974,,7,,,,
,,,,,,,,,,,,,,,,,,2016,1/15/2016,99.43 kr,,,2/23/2015,,2/23/2015,,,,,4.93%,99.43 kr,4.90,,,,,,,,,,,21.3,,-4.42%,,2005,2.38,11.76%,1/1/1975,1975,,8,,,,
,,,,,,,,,,,,,,,,,,2016,1/18/2016,97.87 kr,,,3/2/2015,,3/2/2015,,,,,5.01%,97.87 kr,4.90,,,,,,,,,,,21.3,,-5.92%,,2006,2.63,10.53%,1/1/1976,1976,,9,,,,
,,,,,,,,,,,,,,,,,,2016,1/19/2016,99.87 kr,,,3/9/2015,,3/9/2015,,,,,4.91%,99.87 kr,4.90,,,,,,,,,,,21.3,,-4.00%,,2007,2.85,8.57%,1/1/1977,1977,,10,,,,
,,,,,,,,,,,,,,,,,,2016,1/20/2016,101.08 kr,,,3/16/2015,,3/16/2015,,,,,4.85%,101.08 kr,4.90,,,,,,,,,,,21.3,,-2.84%,,2008,3.00,5.26%,1/1/1978,1978,,11,,,,
,,,,,,,,,,,,,,,,,,2016,1/21/2016,102.90 kr,,,3/23/2015,,3/23/2015,,,,,4.76%,102.90 kr,4.90,,,,,,,,,,,21.3,,-1.08%,,2009,3.15,5.00%,1/1/1979,1979,,12,,,,
,,,,,,,,,,,,,,,,,,2016,1/22/2016,106.72 kr,,,3/30/2015,,3/30/2015,,,,,4.59%,106.72 kr,4.90,,,,,,,,,,,21.3,,0.00%,,2010,3.50,11.11%,1/1/1980,1980,,13,,,,
,,,,,,,,,,,,,,,,,,2016,1/25/2016,107.42 kr,,,4/7/2015,,4/6/2015,,,,,4.56%,107.42 kr,4.90,,,,,,,,,,,21.3,,0.00%,,2011,3.60,2.86%,1/1/1981,1981,,14,,,,
,,,,,,,,,,,,,,,,,,2016,1/26/2016,108.37 kr,,,4/13/2015,,4/13/2015,,,,,4.52%,108.37 kr,4.90,,,,,,,,,,,21.3,,0.00%,,2012,3.70,2.78%,1/1/1982,1982,,15,,,,
,,,,,,,,,,,,,,,,,,2016,1/27/2016,106.98 kr,,,4/20/2015,,4/20/2015,,,,,4.58%,106.98 kr,4.90,,,,,,,,,,,21.3,,-1.28%,,2013,3.95,6.76%,1/1/1983,1983,,16,,,,
,,,,,,,,,,,,,,,,,,2016,1/28/2016,107.33 kr,,,4/27/2015,,4/27/2015,,,,,4.57%,107.33 kr,4.90,,,,,,,,,,,21.3,,-0.96%,,2014,4.25,7.59%,1/1/1984,1984,,17,,,,
,,,,,,,,,,,,,,,,,,2016,1/29/2016,110.63 kr,,,5/4/2015,,5/4/2015,,,,,4.43%,110.63 kr,4.90,,,,,,,,,,,21.3,,0.00%,,2015,4.60,8.24%,1/1/1985,1985,,18,,,,
