,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,CATC US,Cambridge Bancorp,,,,,,,,,,25%,62%,$       73.59,$          58.50,$          90.77,$             96.59,$         119.37,5.73%,2.25%,3.20%,5.93%,62.92%,78.66%,116%,,,,,,,NO,,,5.49%,2.14%,3.34%,0.05%,67
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Cambridge Bancorp - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,4.58%,11/10/2017,,,,,,,,,,$          90.77,23%,3.64%,$         119.37,$          62.32,$              45.17,$           40.17,2.08%,4.58%,2.95%,2.77%,-23.81%,-23.81%,-19%,,,,5Y CAGR,2.40%,,Cambridge Bancorp - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,3.83%,,Cambridge Bancorp - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Cambridge Bancorp - Rating: 25% - Upside: 62%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       47.65,,,12/29/2014,,12/29/2014,,,,,3.86%,$             47.65,1.84,81.95,40.17,62.32,18%,72%,2.25%,4.58%,5.62%,54.44%,70.60%,7.7,2.95%,0.00%,,1997,0.35,-,25,,,0,2.14%,36,36,1.76%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                        47.16,,,1/5/2015,,1/5/2015,,,,,3.90%,$              47.16,1.84,81.95,40.17,62.32,17%,74%,2.25%,4.58%,5.68%,56.04%,72.37%,7.7,2.95%,-1.03%,,1998,0.31,-13.21%,62,,,1,2.19%,54,90,2.64%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       47.00,,,1/12/2015,,1/12/2015,,,,,3.91%,$             47.00,1.84,81.95,40.17,62.32,16%,74%,2.25%,4.58%,5.70%,56.57%,72.96%,7.7,2.95%,-1.36%,,1999,0.61,97.83%,,,,2,2.24%,66,156,3.22%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       46.70,,,1/20/2015,,1/20/2015,,,,,3.94%,$             46.70,1.84,81.95,40.17,62.32,16%,75%,2.25%,4.58%,5.74%,57.58%,74.07%,7.7,2.95%,-1.99%,,2000,0.61,1.10%,1/1/1970,1970,,3,2.29%,34,190,1.66%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                       46.06,,,1/28/2015,,1/26/2015,,,,,3.99%,$             46.06,1.84,81.95,40.17,62.32,14%,78%,2.25%,4.58%,5.82%,59.77%,76.49%,7.7,2.95%,-3.34%,,2001,0.77,25.00%,1/1/1971,1971,,4,2.34%,26,216,1.27%
