,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,CBU US,Community Bank System Inc,,,,,,,,,,62%,19%,$       67.24,$          45.49,$          66.38,$             82.46,$           80.31,4.74%,2.22%,2.80%,5.16%,95.07%,111.31%,122%,,,,,,,NO,,,4.31%,2.07%,2.24%,0.03%,75
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Community Bank System Inc - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,3.91%,11/10/2017,,,,,,,,,,$          66.38,-1%,2.65%,$           80.31,$          46.99,$             34.47,$          32.20,2.02%,3.91%,2.68%,2.16%,-18.46%,-18.46%,-23%,,,,5Y CAGR,0.92%,,Community Bank System Inc - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,3.52%,,Community Bank System Inc - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Community Bank System Inc - Rating: 62% - Upside: 19%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       38.64,,,12/29/2014,,12/29/2014,,,,,3.26%,$             38.64,1.26,56.85,32.20,46.99,26%,47%,2.22%,3.91%,4.61%,74.02%,88.51%,5.6,2.68%,0.00%,,1997,0.00,-,62,,,0,2.07%,16,16,0.60%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       39.07,,,1/5/2015,,1/5/2015,,,,,3.22%,$             39.07,1.26,56.85,32.20,46.99,28%,46%,2.22%,3.91%,4.56%,72.10%,86.43%,5.6,2.68%,0.00%,,1998,0.00,,19,,,1,2.10%,19,35,0.72%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       38.96,,,1/12/2015,,1/12/2015,,,,,3.23%,$             38.96,1.26,56.85,32.20,46.99,27%,46%,2.22%,3.91%,4.57%,72.59%,86.96%,5.6,2.68%,-0.28%,,1999,0.00,,,,,2,2.13%,17,52,0.64%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       37.80,,,1/20/2015,,1/20/2015,,,,,3.33%,$             37.80,1.26,56.85,32.20,46.99,23%,50%,2.22%,3.91%,4.71%,77.88%,92.70%,5.6,2.68%,-3.25%,,2000,0.00,,1/1/1970,1970,,3,2.16%,48,100,1.81%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       37.40,,,1/26/2015,,1/26/2015,,,,,3.37%,$             37.40,1.26,56.85,32.20,46.99,21%,52%,2.22%,3.91%,4.76%,79.79%,94.76%,5.6,2.68%,-4.27%,,2001,0.00,,1/1/1971,1971,,4,2.19%,32,132,1.21%
