,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,CCA CN,Cogeco Communications Inc,,,,,,,,,,1%,164%,$       60.66,$          59.79,$          115.21,$            122.17,$         160.17,6.25%,1.99%,3.36%,6.25%,19.22%,19.22%,116%,,,,,,,NO,,,6.17%,1.86%,4.30%,0.10%,43
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Cogeco Communications Inc - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,5.32%,11/10/2017,,,,,,,,,,$          115.21,90%,5.25%,$         160.17,$          57.93,$             50.88,$          30.06,1.81%,5.32%,2.76%,2.60%,-50.35%,-50.35%,-9%,,,,5Y CAGR,3.92%,,Cogeco Communications Inc - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,7.12%,,Cogeco Communications Inc - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Cogeco Communications Inc - Rating: 1% - Upside: 164%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                        61.74,,,12/29/2014,,12/29/2014,,,,,2.59%,$              61.74,1.60,80.54,30.06,57.93,63%,30%,1.99%,5.32%,5.15%,-1.75%,10.35%,7.47,2.76%,0.00%,,1997,0.00,-,1,,,0,1.86%,96,96,3.63%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                        61.67,,,1/5/2015,,1/5/2015,,,,,2.59%,$              61.67,1.60,80.54,30.06,57.93,63%,31%,1.99%,5.32%,5.16%,-1.64%,10.48%,7.47,2.76%,-0.11%,,1998,0.00,,164,,,1,1.96%,107,203,4.04%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        61.70,,,1/12/2015,,1/12/2015,,,,,2.59%,$              61.70,1.60,80.54,30.06,57.93,63%,31%,1.99%,5.32%,5.16%,-1.69%,10.42%,7.47,2.76%,-0.06%,,1999,0.00,,,,,2,2.06%,51,254,1.93%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       60.50,,,1/19/2015,,1/20/2015,,,,,2.64%,$             60.50,1.60,80.54,30.06,57.93,60%,33%,1.99%,5.32%,5.26%,0.26%,12.61%,7.47,2.76%,-2.01%,,2000,0.00,,1/1/1970,1970,,3,2.16%,199,453,7.52%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       60.96,,,1/26/2015,,1/26/2015,,,,,2.62%,$             60.96,1.60,80.54,30.06,57.93,61%,32%,1.99%,5.32%,5.22%,-0.49%,11.76%,7.47,2.76%,-1.26%,,2001,0.00,,1/1/1971,1971,,4,2.26%,217,670,8.19%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                       60.84,,,2/2/2015,,2/2/2015,,,,,2.63%,$             60.84,1.60,80.54,30.06,57.93,61%,32%,1.99%,5.32%,5.23%,-0.30%,11.98%,7.47,2.76%,-1.46%,,2002,0.00,,1/1/1972,1972,,5,2.36%,189,859,7.14%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                       62.04,,,2/9/2015,,2/9/2015,,,,,2.58%,$             62.04,1.60,80.54,30.06,57.93,63%,30%,1.99%,5.32%,5.13%,-2.22%,9.82%,7.47,2.76%,0.00%,,2003,0.00,,1/1/1973,1973,,6,2.46%,255,1114,9.63%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                        61.66,,,2/17/2015,,2/17/2015,,,,,2.59%,$              61.66,1.60,80.54,30.06,57.93,63%,31%,1.99%,5.32%,5.16%,-1.62%,10.49%,7.47,2.76%,-0.61%,,2004,0.02,,1/1/1974,1974,,7,2.56%,112,1226,4.23%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                        63.19,,,2/23/2015,,2/23/2015,,,,,2.53%,$              63.19,1.60,80.54,30.06,57.93,66%,27%,1.99%,5.32%,5.04%,-4.00%,7.82%,7.47,2.76%,0.00%,,2005,0.12,500.00%,1/1/1975,1975,,8,2.66%,84,1310,3.17%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                        60.81,,,3/2/2015,,3/2/2015,,,,,2.63%,$              60.81,1.60,80.54,30.06,57.93,61%,32%,1.99%,5.32%,5.23%,-0.25%,12.04%,7.47,2.76%,-3.77%,,2006,0.16,33.33%,1/1/1976,1976,,9,2.76%,103,1413,3.89%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,$                                                       59.06,,,3/9/2015,,3/9/2015,,,,,2.71%,$             59.06,1.60,80.54,30.06,57.93,57%,36%,1.99%,5.32%,5.39%,2.71%,15.36%,7.47,2.76%,-6.54%,,2007,0.30,87.50%,1/1/1977,1977,,10,2.86%,94,1507,3.55%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                       63.27,,,3/16/2015,,3/16/2015,,,,,2.53%,$             63.27,1.60,80.54,30.06,57.93,66%,27%,1.99%,5.32%,5.03%,-4.13%,7.68%,7.47,2.76%,0.00%,,2008,0.42,40.00%,1/1/1978,1978,,11,2.96%,84,1591,3.17%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                       62.06,,,3/23/2015,,3/23/2015,,,,,2.58%,$             62.06,1.60,80.54,30.06,57.93,63%,30%,1.99%,5.32%,5.13%,-2.26%,9.78%,7.47,2.76%,-1.91%,,2009,0.50,19.05%,1/1/1979,1979,,12,3.06%,10,1601,0.38%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                       62.63,,,3/30/2015,,3/30/2015,,,,,2.55%,$             62.63,1.60,80.54,30.06,57.93,65%,29%,1.99%,5.32%,5.08%,-3.15%,8.78%,7.47,2.76%,-1.01%,,2010,0.59,18.00%,1/1/1980,1980,,13,3.16%,17,1618,0.64%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,$                                                       62.43,,,4/6/2015,,4/6/2015,,,,,2.56%,$             62.43,1.60,80.54,30.06,57.93,64%,29%,1.99%,5.32%,5.10%,-2.84%,9.13%,7.47,2.76%,-1.33%,,2011,0.79,33.90%,1/1/1981,1981,,14,3.26%,8,1626,0.30%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,$                                                        61.58,,,4/13/2015,,4/13/2015,,,,,2.60%,$              61.58,1.60,80.54,30.06,57.93,62%,31%,1.99%,5.32%,5.17%,-1.49%,10.64%,7.47,2.76%,-2.67%,,2012,1.01,27.85%,1/1/1982,1982,,15,3.36%,18,1644,0.68%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,$                                                       62.53,,,4/20/2015,,4/20/2015,,,,,2.56%,$             62.53,1.60,80.54,30.06,57.93,64%,29%,1.99%,5.32%,5.09%,-2.99%,8.96%,7.47,2.76%,-1.17%,,2013,1.08,6.93%,1/1/1983,1983,,16,3.46%,13,1657,0.49%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,$                                                       62.76,,,4/27/2015,,4/27/2015,,,,,2.55%,$             62.76,1.60,80.54,30.06,57.93,65%,28%,1.99%,5.32%,5.07%,-3.35%,8.56%,7.47,2.76%,-0.81%,,2014,1.25,15.74%,1/1/1984,1984,,17,3.56%,3,1660,0.11%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,$                                                       63.96,,,5/4/2015,,5/4/2015,,,,,2.50%,$             63.96,1.60,80.54,30.06,57.93,67%,26%,1.99%,5.32%,4.97%,-5.16%,6.52%,7.47,2.76%,0.00%,,2015,1.44,15.20%,1/1/1985,1985,,18,3.66%,11,1671,0.42%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,$                                                       63.25,,,5/11/2015,,5/11/2015,,,,,2.53%,$             63.25,1.60,80.54,30.06,57.93,66%,27%,1.99%,5.32%,5.03%,-4.09%,7.72%,7.47,2.76%,-1.11%,,2016,1.60,11.11%,1/1/1986,1986,,19,3.76%,19,1690,0.72%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,$                                                       62.32,,,5/19/2015,,5/18/2015,,,,,2.57%,$             62.32,1.60,80.54,30.06,57.93,64%,29%,1.99%,5.32%,5.11%,-2.66%,9.32%,7.47,2.76%,-2.56%,,2017,1.77,10.31%,1/1/1987,1987,,20,3.86%,19,1709,0.72%
,,,,,,,,,,,,,,,,,,2016,2/2/2016,$                                                        63.10,,,5/25/2015,,5/26/2015,,,,,2.54%,$              63.10,1.60,80.54,30.06,57.93,65%,28%,1.99%,5.32%,5.04%,-3.87%,7.97%,7.47,2.76%,-1.34%,,2018,1.95,10.48%,1/1/1988,1988,,21,3.96%,13,1722,0.49%
,,,,,,,,,,,,,,,,,,2016,2/3/2016,$                                                       62.67,,,6/1/2015,,6/1/2015,,,,,2.55%,$             62.67,1.60,80.54,30.06,57.93,65%,29%,1.99%,5.32%,5.08%,-3.21%,8.71%,7.47,2.76%,-2.02%,,2019,2.16,10.51%,1/1/1989,1989,,22,4.06%,13,1735,0.49%
,,,,,,,,,,,,,,,,,,2016,2/4/2016,$                                                       62.49,,,6/8/2015,,6/8/2015,,,,,2.56%,$             62.49,1.60,80.54,30.06,57.93,64%,29%,1.99%,5.32%,5.09%,-2.93%,9.03%,7.47,2.76%,-2.30%,,2020,2.38,10.44%,1/1/1990,1990,,23,4.16%,4,1739,0.15%
,,,,,,,,,,,,,,,,,,2016,2/5/2016,$                                                        63.01,,,6/15/2015,,6/15/2015,,,,,2.54%,$              63.01,1.60,80.54,30.06,57.93,65%,28%,1.99%,5.32%,5.05%,-3.73%,8.13%,7.47,2.76%,-1.49%,,2021,2.63,10.29%,1/1/1991,1991,,24,4.26%,16,1755,0.60%
,,,,,,,,,,,,,,,,,,2016,2/8/2016,$                                                        61.96,,,6/22/2015,,6/22/2015,,,,,2.58%,$              61.96,1.60,80.54,30.06,57.93,63%,30%,1.99%,5.32%,5.14%,-2.10%,9.96%,7.47,2.76%,-3.13%,,2022,2.89,10.13%,1/1/1992,1992,,25,4.36%,46,1801,1.74%
,,,,,,,,,,,,,,,,,,2016,2/9/2016,$                                                       62.00,,,6/29/2015,,6/29/2015,,,,,2.58%,$             62.00,1.60,80.54,30.06,57.93,63%,30%,1.99%,5.32%,5.13%,-2.16%,9.89%,7.47,2.76%,-3.06%,,2023,3.18,10.07%,1/1/1993,1993,,26,4.46%,52,1853,1.96%
,,,,,,,,,,,,,,,,,,2016,2/10/2016,$                                                        61.94,,,7/6/2015,,7/6/2015,,,,,2.58%,$              61.94,1.60,80.54,30.06,57.93,63%,30%,1.99%,5.32%,5.14%,-2.07%,9.99%,7.47,2.76%,-3.16%,,2024,3.18,0.00%,1/1/1994,1994,,27,4.56%,80,1933,3.02%
,,,,,,,,,,,,,,,,,,2016,2/11/2016,$                                                        61.24,,,7/13/2015,,7/13/2015,,,,,2.61%,$              61.24,1.60,80.54,30.06,57.93,62%,32%,1.99%,5.32%,5.20%,-0.95%,11.25%,7.47,2.76%,-4.25%,,2025,3.18,0.00%,1/1/1995,1995,,28,4.66%,92,2025,3.47%
,,,,,,,,,,,,,,,,,,2016,2/12/2016,$                                                        61.87,,,7/20/2015,,7/20/2015,,,,,2.59%,$              61.87,1.60,80.54,30.06,57.93,63%,30%,1.99%,5.32%,5.14%,-1.96%,10.12%,7.47,2.76%,-3.27%,,2026,3.18,0.00%,1/1/1996,1996,,29,4.76%,131,2156,4.95%
,,,,,,,,,,,,,,,,,,2016,2/16/2016,$                                                        62.51,,,7/27/2015,,7/27/2015,,,,,2.56%,$              62.51,1.60,80.54,30.06,57.93,64%,29%,1.99%,5.32%,5.09%,-2.96%,8.99%,7.47,2.76%,-2.27%,,,,,1/1/1997,1997,,30,4.86%,113,2269,4.27%
,,,,,,,,,,,,,,,,,,2016,2/17/2016,$                                                       63.32,,,8/4/2015,,8/3/2015,,,,,2.53%,$             63.32,1.60,80.54,30.06,57.93,66%,27%,1.99%,5.32%,5.03%,-4.20%,7.60%,7.47,2.76%,-1.00%,,,,,1/1/1998,1998,,31,4.96%,91,2360,3.44%
,,,,,,,,,,,,,,,,,,2016,2/18/2016,$                                                        64.21,,,8/10/2015,,8/10/2015,,,,,2.49%,$              64.21,1.60,80.54,30.06,57.93,68%,25%,1.99%,5.32%,4.96%,-5.53%,6.10%,7.47,2.76%,0.00%,,,,,1/1/1999,1999,,32,5.06%,71,2431,2.68%
,,,,,,,,,,,,,,,,,,2016,2/19/2016,$                                                        64.19,,,8/17/2015,,8/17/2015,,,,,2.49%,$              64.19,1.60,80.54,30.06,57.93,68%,25%,1.99%,5.32%,4.96%,-5.50%,6.14%,7.47,2.76%,-0.03%,,,,,1/1/2000,2000,,33,5.16%,51,2482,1.93%
,,,,,,,,,,,,,,,,,,2016,2/22/2016,$                                                       64.84,,,8/24/2015,,8/24/2015,,,,,2.47%,$             64.84,1.60,80.54,30.06,57.93,69%,24%,1.99%,5.32%,4.91%,-6.45%,5.07%,7.47,2.76%,0.00%,,,,,1/1/2001,2001,,34,5.26%,26,2508,0.98%
,,,,,,,,,,,,,,,,,,2016,2/23/2016,$                                                        64.12,,,8/31/2015,,8/31/2015,,,,,2.50%,$              64.12,1.60,80.54,30.06,57.93,67%,26%,1.99%,5.32%,4.96%,-5.40%,6.25%,7.47,2.76%,-1.11%,,,,,1/1/2002,2002,,35,5.36%,8,2516,0.30%
,,,,,,,,,,,,,,,,,,2016,2/24/2016,$                                                       62.84,,,9/8/2015,,9/8/2015,,,,,2.55%,$             62.84,1.60,80.54,30.06,57.93,65%,28%,1.99%,5.32%,5.06%,-3.47%,8.42%,7.47,2.76%,-3.08%,,,,,1/1/2003,2003,,36,5.46%,8,2524,0.30%
,,,,,,,,,,,,,,,,,,2016,2/25/2016,$                                                       63.08,,,9/14/2015,,9/14/2015,,,,,2.54%,$             63.08,1.60,80.54,30.06,57.93,65%,28%,1.99%,5.32%,5.04%,-3.84%,8.01%,7.47,2.76%,-2.71%,,,,,1/1/2004,2004,,37,5.56%,25,2549,0.94%
,,,,,,,,,,,,,,,,,,2016,2/26/2016,$                                                        63.41,,,9/21/2015,,9/21/2015,,,,,2.52%,$              63.41,1.60,80.54,30.06,57.93,66%,27%,1.99%,5.32%,5.02%,-4.34%,7.44%,7.47,2.76%,-2.21%,,,,,1/1/2005,2005,,38,5.66%,23,2572,0.87%
,,,,,,,,,,,,,,,,,,2016,2/29/2016,$                                                       63.43,,,9/28/2015,,9/28/2015,,,,,2.52%,$             63.43,1.60,80.54,30.06,57.93,66%,27%,1.99%,5.32%,5.02%,-4.37%,7.41%,7.47,2.76%,-2.17%,,,,,1/1/2006,2006,,39,5.76%,11,2583,0.42%
,,,,,,,,,,,,,,,,,,2016,3/1/2016,$                                                       64.26,,,10/5/2015,,10/5/2015,,,,,2.49%,$             64.26,1.60,80.54,30.06,57.93,68%,25%,1.99%,5.32%,4.95%,-5.60%,6.02%,7.47,2.76%,-0.89%,,,,,1/1/2007,2007,,40,5.86%,8,2591,0.30%
,,,,,,,,,,,,,,,,,,2016,3/2/2016,$                                                       63.77,,,10/13/2015,,10/12/2015,,,,,2.51%,$             63.77,1.60,80.54,30.06,57.93,67%,26%,1.99%,5.32%,4.99%,-4.88%,6.84%,7.47,2.76%,-1.65%,,,,,1/1/2008,2008,,41,5.96%,11,2602,0.42%
,,,,,,,,,,,,,,,,,,2016,3/3/2016,$                                                       64.90,,,10/19/2015,,10/19/2015,,,,,2.47%,$             64.90,1.60,80.54,30.06,57.93,69%,24%,1.99%,5.32%,4.90%,-6.53%,4.98%,7.47,2.76%,0.00%,,,,,1/1/2009,2009,,42,6.06%,20,2622,0.76%
