,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,CCOI US,Cogent Communications Holdings,,,,,,,,,,-14%,776%,$         11.87,$           23.01,$          80.08,$             90.75,$         104.01,34.28%,3.61%,5.97%,34.28%,8.20%,8.20%,123%,,,,,,,NO,,,29.13%,3.16%,25.97%,0.01%,2597
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Cogent Communications Holdings - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,16.34%,11/10/2017,,,,,,,,,,$          80.08,575%,31.68%,$         104.01,$           32.16,$              10.97,$             9.24,3.06%,16.34%,4.70%,4.14%,-86.92%,-86.92%,-15%,,,,5Y CAGR,3.47%,,Cogent Communications Holdings - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,9.55%,,Cogent Communications Holdings - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Cogent Communications Holdings - Rating: -14% - Upside: 776%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       34.03,,,12/29/2014,,12/29/2014,,,,,4.44%,$             34.03,1.51,41.77,9.24,32.16,76%,23%,3.61%,16.34%,11.05%,-65.12%,-41.99%,7.87,4.70%,0.00%,,1997,0.00,-,-14,,,0,3.16%,0,0,0.00%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       34.22,,,1/5/2015,,1/5/2015,,,,,4.41%,$             34.22,1.51,41.77,9.24,32.16,77%,22%,3.61%,16.34%,10.99%,-65.31%,-42.31%,7.87,4.70%,0.00%,,1998,0.00,,776,,,1,3.17%,1,1,0.04%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       34.42,,,1/12/2015,,1/12/2015,,,,,4.39%,$             34.42,1.51,41.77,9.24,32.16,77%,21%,3.61%,16.34%,10.92%,-65.51%,-42.65%,7.87,4.70%,0.00%,,1999,0.00,,,,,2,3.18%,1,2,0.04%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                        33.51,,,1/20/2015,,1/20/2015,,,,,4.51%,$              33.51,1.51,41.77,9.24,32.16,75%,25%,3.61%,16.34%,11.22%,-64.58%,-41.09%,7.87,4.70%,-2.64%,,2000,0.00,,1/1/1970,1970,,3,3.19%,3,5,0.11%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       33.06,,,1/26/2015,,1/26/2015,,,,,4.57%,$             33.06,1.51,41.77,9.24,32.16,73%,26%,3.61%,16.34%,11.37%,-64.10%,-40.29%,7.87,4.70%,-3.95%,,2001,0.00,,1/1/1971,1971,,4,3.20%,1,6,0.04%
