,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,CDFF LN,Cardiff Property PLC/The,,,,,,,,,,100%,0%,$2.750,00,$  2.084,56,$    2.316,18,$      2.750,00,$  2.750,00,1.06%,0.76%,0.90%,1.63%,113.59%,118.31%,110%,,,,,,,NO,,,1.03%,0.75%,0.29%,0.01%,29
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Cardiff Property PLC/The - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,1.01%,11/10/2017,,,,,,,,,,$    2.316,18,-16%,0.76%,$  2.750,00,$   1.500,00,$       1.287,50,$   1.350,00,0.75%,1.01%,0.91%,0.76%,0.00%,0.00%,-15%,,,,5Y CAGR,3.36%,,Cardiff Property PLC/The - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,4.44%,,Cardiff Property PLC/The - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Cardiff Property PLC/The - Rating: 100% - Upside: 0%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                 1.287,50,,,12/29/2014,,12/29/2014,,,,,1.06%,1.287,50,13.60,1.780,95,1.350,00,1.500,00,-15%,38%,0.76%,1.01%,1.63%,113.59%,118.31%,60.7,0.91%,0.00%,,1997,0.00,-,100,,,0,0.75%,65,65,2.41%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,1.287,50,,,1/5/2015,,1/5/2015,,,,,1.06%,1.287,50,13.60,1.780,95,1.350,00,1.500,00,-15%,38%,0.76%,1.01%,1.63%,113.59%,118.31%,60.7,0.91%,0.00%,,1998,0.00,,0,,,1,0.76%,125,190,4.63%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,1.287,50,,,1/12/2015,,1/12/2015,,,,,1.06%,1.287,50,13.60,1.780,95,1.350,00,1.500,00,-15%,38%,0.76%,1.01%,1.63%,113.59%,118.31%,60.7,0.91%,0.00%,,1999,0.00,,,,,2,0.77%,0,190,0.00%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,1.287,50,,,1/19/2015,,1/20/2015,,,,,1.06%,1.287,50,13.60,1.780,95,1.350,00,1.500,00,-15%,38%,0.76%,1.01%,1.63%,113.59%,118.31%,60.7,0.91%,0.00%,,2000,0.00,,1/1/1970,1970,,3,0.78%,79,269,2.93%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,1.287,50,,,1/26/2015,,1/26/2015,,,,,1.06%,1.287,50,13.60,1.780,95,1.350,00,1.500,00,-15%,38%,0.76%,1.01%,1.63%,113.59%,118.31%,60.7,0.91%,0.00%,,2001,0.00,,1/1/1971,1971,,4,0.79%,53,322,1.96%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,1.310,00,,,2/2/2015,,2/2/2015,,,,,1.04%,1.310,00,13.60,1.780,95,1.350,00,1.500,00,-9%,36%,0.76%,1.01%,1.60%,109.92%,114.56%,60.7,0.91%,0.00%,,2002,5.80,,1/1/1972,1972,,5,0.80%,1,323,0.04%
