,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,CEG US,Constellation Energy Corp,,,,,,,,,,66%,30%,$    270.00,$         109.61,$       222.48,$          403.95,$        351.62,1.54%,0.44%,0.80%,2.69%,544.43%,544.43%,122%,,,,,,,NO,,,1.51%,0.40%,1.11%,0.02%,56
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,11.20%,,Constellation Energy Corp - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,,11/10/2017,,,,,,,,,,$       222.48,-18%,0.57%,$        351.62,$          80.89,$              41.90,$          39.85,0.38%,1.42%,0.70%,0.28%,-33.16%,-33.16%,-4%,,,,5Y CAGR,,,Constellation Energy Corp - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,,,Constellation Energy Corp - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Constellation Energy Corp - Rating: 66% - Upside: 30%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2022,1/19/2022,$                                                       42.00,,,1/19/2022,,12/29/2014,,,,,1.34%,$             42.00,0.56,127.85,39.85,80.89,2%,204%,0.44%,1.42%,2.69%,542.86%,542.86%,0,0.70%,0.00%,,1997,0.00,-,66,,,0,0.40%,10,10,0.88%
,,,,,,,,,,,,,,,,,,2022,1/20/2022,$                                                       45.00,,,1/24/2022,,1/5/2015,,,,,1.25%,$             45.00,0.56,127.85,39.85,80.89,6%,184%,0.44%,1.42%,2.51%,500.00%,500.00%,0,0.70%,0.00%,,1998,0.00,,30,,,1,0.42%,39,49,3.44%
,,,,,,,,,,,,,,,,,,2022,1/21/2022,$                                                       45.00,,,1/31/2022,,1/12/2015,,,,,1.25%,$             45.00,0.56,127.85,39.85,80.89,6%,184%,0.44%,1.42%,2.51%,500.00%,500.00%,0,0.70%,0.00%,,1999,0.00,,,,,2,0.44%,25,74,2.21%
,,,,,,,,,,,,,,,,,,2022,1/24/2022,$                                                       42.80,,,2/7/2022,,1/20/2015,,,,,1.32%,$             42.80,0.56,127.85,39.85,80.89,3%,199%,0.44%,1.42%,2.64%,530.84%,530.84%,0,0.70%,-4.89%,,2000,0.00,,1/1/1970,1970,,3,0.46%,28,102,2.47%
,,,,,,,,,,,,,,,,,,2022,1/25/2022,$                                                        41.90,,,2/14/2022,,1/26/2015,,,,,1.35%,$              41.90,0.56,127.85,39.85,80.89,2%,205%,0.44%,1.42%,2.69%,544.43%,544.43%,0,0.70%,-6.89%,,2001,0.00,,1/1/1971,1971,,4,0.48%,62,164,5.47%
,,,,,,,,,,,,,,,,,,2022,1/26/2022,$                                                       43.22,,,2/22/2022,,2/2/2015,,,,,1.30%,$             43.22,0.56,127.85,39.85,80.89,4%,196%,0.44%,1.42%,2.61%,524.71%,524.71%,0,0.70%,-3.96%,,2002,0.00,,1/1/1972,1972,,5,0.50%,50,214,4.41%
,,,,,,,,,,,,,,,,,,2022,1/27/2022,$                                                       45.76,,,2/28/2022,,2/9/2015,,,,,1.23%,$             45.76,0.56,127.85,39.85,80.89,7%,179%,0.44%,1.42%,2.47%,490.03%,490.03%,0,0.70%,0.00%,,2003,0.00,,1/1/1973,1973,,6,0.52%,56,270,4.94%
,,,,,,,,,,,,,,,,,,2022,1/28/2022,$                                                       46.75,,,3/7/2022,,2/17/2015,,,,,1.21%,$             46.75,0.56,127.85,39.85,80.89,8%,173%,0.44%,1.42%,2.41%,477.54%,477.54%,0,0.70%,0.00%,,2004,0.00,,1/1/1974,1974,,7,0.54%,36,306,3.18%
,,,,,,,,,,,,,,,,,,2022,1/31/2022,$                                                       48.00,,,3/14/2022,,2/23/2015,,,,,1.18%,$             48.00,0.56,127.85,39.85,80.89,9%,166%,0.44%,1.42%,2.35%,462.50%,462.50%,0,0.70%,0.00%,,2005,0.00,,1/1/1975,1975,,8,0.56%,31,337,2.74%
,,,,,,,,,,,,,,,,,,2022,2/1/2022,$                                                       49.78,,,3/21/2022,,3/2/2015,,,,,1.13%,$             49.78,0.56,127.85,39.85,80.89,11%,157%,0.44%,1.42%,2.27%,442.39%,442.39%,0,0.70%,0.00%,,2006,0.00,,1/1/1976,1976,,9,0.58%,38,375,3.35%
,,,,,,,,,,,,,,,,,,2022,2/2/2022,$                                                        53.01,,,3/28/2022,,3/9/2015,,,,,1.06%,$              53.01,0.56,127.85,39.85,80.89,15%,141%,0.44%,1.42%,2.13%,409.34%,409.34%,0,0.70%,0.00%,,2007,0.00,,1/1/1977,1977,,10,0.60%,38,413,3.35%
,,,,,,,,,,,,,,,,,,2022,2/3/2022,$                                                       53.62,,,4/4/2022,,3/16/2015,,,,,1.05%,$             53.62,0.56,127.85,39.85,80.89,16%,138%,0.44%,1.42%,2.10%,403.54%,403.54%,0,0.70%,0.00%,,2008,0.00,,1/1/1978,1978,,11,0.62%,41,454,3.62%
,,,,,,,,,,,,,,,,,,2022,2/4/2022,$                                                        50.14,,,4/11/2022,,3/23/2015,,,,,1.12%,$              50.14,0.56,127.85,39.85,80.89,12%,155%,0.44%,1.42%,2.25%,438.49%,438.49%,0,0.70%,-6.49%,,2009,0.00,,1/1/1979,1979,,12,0.64%,54,508,4.77%
,,,,,,,,,,,,,,,,,,2022,2/7/2022,$                                                       46.07,,,4/18/2022,,3/30/2015,,,,,1.22%,$             46.07,0.56,127.85,39.85,80.89,7%,178%,0.44%,1.42%,2.45%,486.06%,486.06%,0,0.70%,-14.08%,,2010,0.00,,1/1/1980,1980,,13,0.66%,25,533,2.21%
,,,,,,,,,,,,,,,,,,2022,2/8/2022,$                                                       45.50,,,4/25/2022,,4/6/2015,,,,,1.24%,$             45.50,0.56,127.85,39.85,80.89,6%,181%,0.44%,1.42%,2.48%,493.41%,493.41%,0,0.70%,-15.14%,,2011,0.00,,1/1/1981,1981,,14,0.68%,31,564,2.74%
,,,,,,,,,,,,,,,,,,2022,2/9/2022,$                                                        47.31,,,5/2/2022,,4/13/2015,,,,,1.19%,$              47.31,0.56,127.85,39.85,80.89,8%,170%,0.44%,1.42%,2.38%,470.70%,470.70%,0,0.70%,-11.77%,,2012,0.00,,1/1/1982,1982,,15,0.70%,21,585,1.85%
,,,,,,,,,,,,,,,,,,2022,2/10/2022,$                                                       47.05,,,5/9/2022,,4/20/2015,,,,,1.20%,$             47.05,0.56,127.85,39.85,80.89,8%,172%,0.44%,1.42%,2.40%,473.86%,473.86%,0,0.70%,-12.25%,,2013,0.00,,1/1/1983,1983,,16,0.72%,20,605,1.77%
,,,,,,,,,,,,,,,,,,2022,2/11/2022,$                                                       48.09,,,5/16/2022,,4/27/2015,,,,,1.17%,$             48.09,0.56,127.85,39.85,80.89,9%,166%,0.44%,1.42%,2.35%,461.45%,461.45%,0,0.70%,-10.31%,,2014,0.00,,1/1/1984,1984,,17,0.74%,42,647,3.71%
