,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,CHD US,Church & Dwight Co Inc,,,,,,,,,,79%,9%,$       97.64,$           63.31,$          89.04,$            113.20,$        106.77,1.92%,1.02%,1.29%,2.79%,149.62%,157.93%,115%,,,,,,,NO,,,1.87%,0.98%,0.88%,0.02%,44
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Church & Dwight Co Inc - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,1.72%,11/10/2017,,,,,,,,,,$          89.04,-9%,1.12%,$        106.77,$          58.00,$              39.12,$           41.24,0.96%,1.72%,1.22%,0.96%,-13.75%,-13.75%,-15%,,,,5Y CAGR,1.54%,,Church & Dwight Co Inc - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,4.38%,,Church & Dwight Co Inc - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Church & Dwight Co Inc - Rating: 79% - Upside: 9%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                        41.76,,,12/29/2014,,12/29/2014,,,,,1.70%,$              41.76,0.71,69.55,41.24,58.00,2%,67%,1.02%,1.72%,2.61%,133.84%,141.62%,3.25,1.22%,0.00%,,1997,0.00,-,79,,,0,0.98%,43,43,1.62%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                        41.40,,,1/5/2015,,1/5/2015,,,,,1.71%,$              41.40,0.71,69.55,41.24,58.00,1%,68%,1.02%,1.72%,2.63%,135.85%,143.70%,3.25,1.22%,-0.85%,,1998,0.00,,9,,,1,1.00%,100,143,3.77%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                         41.21,,,1/12/2015,,1/12/2015,,,,,1.72%,$               41.21,0.71,69.55,41.24,58.00,0%,69%,1.02%,1.72%,2.65%,136.96%,144.85%,3.25,1.22%,-1.32%,,1999,0.00,,,,,2,1.02%,117,260,4.41%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       40.54,,,1/20/2015,,1/20/2015,,,,,1.75%,$             40.54,0.71,69.55,41.24,58.00,-2%,72%,1.02%,1.72%,2.69%,140.85%,148.87%,3.25,1.22%,-2.91%,,2000,0.00,,1/1/1970,1970,,3,1.04%,99,359,3.73%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                        41.03,,,1/26/2015,,1/26/2015,,,,,1.73%,$              41.03,0.71,69.55,41.24,58.00,-1%,70%,1.02%,1.72%,2.66%,137.97%,145.89%,3.25,1.22%,-1.74%,,2001,0.00,,1/1/1971,1971,,4,1.06%,86,445,3.24%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                         41.31,,,2/2/2015,,2/2/2015,,,,,1.72%,$               41.31,0.71,69.55,41.24,58.00,0%,68%,1.02%,1.72%,2.64%,136.36%,144.23%,3.25,1.22%,-1.07%,,2002,0.05,,1/1/1972,1972,,5,1.08%,109,554,4.11%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                        41.87,,,2/9/2015,,2/9/2015,,,,,1.70%,$              41.87,0.71,69.55,41.24,58.00,2%,66%,1.02%,1.72%,2.60%,133.23%,140.99%,3.25,1.22%,0.00%,,2003,0.05,3.33%,1/1/1973,1973,,6,1.10%,131,685,4.94%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                       39.33,,,2/17/2015,,2/17/2015,,,,,1.81%,$             39.33,0.71,69.55,41.24,58.00,-7%,77%,1.02%,1.72%,2.77%,148.29%,156.55%,3.25,1.22%,-6.07%,,2004,0.06,9.68%,1/1/1974,1974,,7,1.12%,125,810,4.71%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                        39.12,,,2/23/2015,,2/23/2015,,,,,1.82%,$              39.12,0.71,69.55,41.24,58.00,-8%,78%,1.02%,1.72%,2.79%,149.62%,157.93%,3.25,1.22%,-6.57%,,2005,0.06,5.88%,1/1/1975,1975,,8,1.14%,134,944,5.05%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                       39.47,,,3/2/2015,,3/2/2015,,,,,1.80%,$             39.47,0.71,69.55,41.24,58.00,-6%,76%,1.02%,1.72%,2.76%,147.41%,155.64%,3.25,1.22%,-5.73%,,2006,0.07,8.33%,1/1/1976,1976,,9,1.16%,124,1068,4.67%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                       39.48,,,3/9/2015,,3/9/2015,,,,,1.80%,$             39.48,0.71,69.55,41.24,58.00,-6%,76%,1.02%,1.72%,2.76%,147.32%,155.55%,3.25,1.22%,-5.70%,,2007,0.08,15.38%,1/1/1977,1977,,10,1.18%,134,1202,5.05%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                       39.26,,,3/16/2015,,3/16/2015,,,,,1.81%,$             39.26,0.71,69.55,41.24,58.00,-7%,77%,1.02%,1.72%,2.78%,148.70%,156.98%,3.25,1.22%,-6.22%,,2008,0.09,13.33%,1/1/1978,1978,,11,1.20%,112,1314,4.22%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                        39.61,,,3/23/2015,,3/23/2015,,,,,1.79%,$              39.61,0.71,69.55,41.24,58.00,-6%,76%,1.02%,1.72%,2.75%,146.53%,154.74%,3.25,1.22%,-5.40%,,2009,0.12,35.29%,1/1/1979,1979,,12,1.22%,94,1408,3.54%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,$                                                       40.54,,,3/30/2015,,3/30/2015,,,,,1.75%,$             40.54,0.71,69.55,41.24,58.00,-2%,72%,1.02%,1.72%,2.69%,140.88%,148.90%,3.25,1.22%,-3.18%,,2010,0.16,34.78%,1/1/1980,1980,,13,1.24%,61,1469,2.30%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,$                                                       39.73,,,4/6/2015,,4/6/2015,,,,,1.79%,$             39.73,0.71,69.55,41.24,58.00,-5%,75%,1.02%,1.72%,2.74%,145.79%,153.97%,3.25,1.22%,-5.11%,,2011,0.30,91.94%,1/1/1981,1981,,14,1.26%,70,1539,2.64%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,$                                                        40.16,,,4/13/2015,,4/13/2015,,,,,1.77%,$              40.16,0.71,69.55,41.24,58.00,-4%,73%,1.02%,1.72%,2.71%,143.16%,151.25%,3.25,1.22%,-4.08%,,2012,0.48,61.34%,1/1/1982,1982,,15,1.28%,83,1622,3.13%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,$                                                       40.26,,,4/20/2015,,4/20/2015,,,,,1.76%,$             40.26,0.71,69.55,41.24,58.00,-3%,73%,1.02%,1.72%,2.71%,142.55%,150.63%,3.25,1.22%,-3.85%,,2013,0.56,16.67%,1/1/1983,1983,,16,1.30%,84,1706,3.17%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,$                                                       40.80,,,4/27/2015,,4/27/2015,,,,,1.74%,$             40.80,0.71,69.55,41.24,58.00,-2%,70%,1.02%,1.72%,2.67%,139.34%,147.31%,3.25,1.22%,-2.56%,,2014,0.62,10.71%,1/1/1984,1984,,17,1.32%,53,1759,2.00%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,$                                                       42.00,,,5/4/2015,,5/4/2015,,,,,1.69%,$             42.00,0.71,69.55,41.24,58.00,3%,66%,1.02%,1.72%,2.60%,132.48%,140.21%,3.25,1.22%,0.00%,,2015,0.67,8.06%,1/1/1985,1985,,18,1.34%,41,1800,1.54%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,$                                                       42.54,,,5/11/2015,,5/11/2015,,,,,1.67%,$             42.54,0.71,69.55,41.24,58.00,5%,64%,1.02%,1.72%,2.56%,129.55%,137.19%,3.25,1.22%,0.00%,,2016,0.71,5.97%,1/1/1986,1986,,19,1.36%,32,1832,1.21%
,,,,,,,,,,,,,,,,,,2016,2/2/2016,$                                                       42.89,,,5/18/2015,,5/18/2015,,,,,1.66%,$             42.89,0.71,69.55,41.24,58.00,6%,62%,1.02%,1.72%,2.54%,127.65%,135.23%,3.25,1.22%,0.00%,,2017,0.76,7.04%,1/1/1987,1987,,20,1.38%,38,1870,1.43%
,,,,,,,,,,,,,,,,,,2016,2/3/2016,$                                                       43.54,,,5/26/2015,,5/26/2015,,,,,1.63%,$             43.54,0.71,69.55,41.24,58.00,8%,60%,1.02%,1.72%,2.50%,124.28%,131.74%,3.25,1.22%,0.00%,,2018,0.87,14.47%,1/1/1988,1988,,21,1.40%,52,1922,1.96%
,,,,,,,,,,,,,,,,,,2016,2/4/2016,$                                                       43.37,,,6/1/2015,,6/1/2015,,,,,1.64%,$             43.37,0.71,69.55,41.24,58.00,8%,60%,1.02%,1.72%,2.51%,125.13%,132.63%,3.25,1.22%,-0.38%,,2019,0.91,4.60%,1/1/1989,1989,,22,1.42%,71,1993,2.68%
,,,,,,,,,,,,,,,,,,2016,2/5/2016,$                                                       43.45,,,6/8/2015,,6/8/2015,,,,,1.63%,$             43.45,0.71,69.55,41.24,58.00,8%,60%,1.02%,1.72%,2.51%,124.72%,132.20%,3.25,1.22%,-0.20%,,2020,0.96,5.49%,1/1/1990,1990,,23,1.44%,55,2048,2.07%
,,,,,,,,,,,,,,,,,,2016,2/8/2016,$                                                       43.63,,,6/15/2015,,6/15/2015,,,,,1.63%,$             43.63,0.71,69.55,41.24,58.00,8%,59%,1.02%,1.72%,2.50%,123.82%,131.27%,3.25,1.22%,0.00%,,2021,1.01,5.21%,1/1/1991,1991,,24,1.46%,44,2092,1.66%
,,,,,,,,,,,,,,,,,,2016,2/9/2016,$                                                       44.25,,,6/22/2015,,6/22/2015,,,,,1.60%,$             44.25,0.71,69.55,41.24,58.00,11%,57%,1.02%,1.72%,2.46%,120.68%,128.03%,3.25,1.22%,0.00%,,2022,1.05,3.96%,1/1/1992,1992,,25,1.48%,36,2128,1.36%
,,,,,,,,,,,,,,,,,,2016,2/10/2016,$                                                        44.21,,,6/29/2015,,6/29/2015,,,,,1.61%,$              44.21,0.71,69.55,41.24,58.00,10%,57%,1.02%,1.72%,2.47%,120.86%,128.21%,3.25,1.22%,-0.08%,,2023,1.09,3.81%,1/1/1993,1993,,26,1.50%,80,2208,3.01%
,,,,,,,,,,,,,,,,,,2016,2/11/2016,$                                                        43.31,,,7/6/2015,,7/6/2015,,,,,1.64%,$              43.31,0.71,69.55,41.24,58.00,7%,61%,1.02%,1.72%,2.52%,125.44%,132.95%,3.25,1.22%,-2.11%,,2024,1.09,0.00%,1/1/1994,1994,,27,1.52%,80,2288,3.01%
,,,,,,,,,,,,,,,,,,2016,2/12/2016,$                                                       44.29,,,7/13/2015,,7/13/2015,,,,,1.60%,$             44.29,0.71,69.55,41.24,58.00,11%,57%,1.02%,1.72%,2.46%,120.46%,127.79%,3.25,1.22%,0.00%,,2025,1.09,0.00%,1/1/1995,1995,,28,1.54%,37,2325,1.39%
,,,,,,,,,,,,,,,,,,2016,2/16/2016,$                                                       44.82,,,7/20/2015,,7/20/2015,,,,,1.58%,$             44.82,0.71,69.55,41.24,58.00,13%,55%,1.02%,1.72%,2.43%,117.85%,125.10%,3.25,1.22%,0.00%,,2026,1.09,0.00%,1/1/1996,1996,,29,1.56%,44,2369,1.66%
,,,,,,,,,,,,,,,,,,2016,2/17/2016,$                                                       44.94,,,7/27/2015,,7/27/2015,,,,,1.58%,$             44.94,0.71,69.55,41.24,58.00,13%,55%,1.02%,1.72%,2.43%,117.27%,124.50%,3.25,1.22%,0.00%,,,,,1/1/1997,1997,,30,1.58%,44,2413,1.66%
,,,,,,,,,,,,,,,,,,2016,2/18/2016,$                                                       44.76,,,8/3/2015,,8/3/2015,,,,,1.59%,$             44.76,0.71,69.55,41.24,58.00,12%,55%,1.02%,1.72%,2.44%,118.17%,125.43%,3.25,1.22%,-0.41%,,,,,1/1/1998,1998,,31,1.60%,18,2431,0.68%
,,,,,,,,,,,,,,,,,,2016,2/19/2016,$                                                        44.71,,,8/10/2015,,8/10/2015,,,,,1.59%,$              44.71,0.71,69.55,41.24,58.00,12%,56%,1.02%,1.72%,2.44%,118.41%,125.68%,3.25,1.22%,-0.52%,,,,,1/1/1999,1999,,32,1.62%,15,2446,0.57%
,,,,,,,,,,,,,,,,,,2016,2/22/2016,$                                                       45.09,,,8/17/2015,,8/17/2015,,,,,1.57%,$             45.09,0.71,69.55,41.24,58.00,14%,54%,1.02%,1.72%,2.42%,116.57%,123.78%,3.25,1.22%,0.00%,,,,,1/1/2000,2000,,33,1.64%,13,,0.49%
,,,,,,,,,,,,,,,,,,2016,2/23/2016,$                                                       45.46,,,8/24/2015,,8/24/2015,,,,,1.56%,$             45.46,0.71,69.55,41.24,58.00,15%,53%,1.02%,1.72%,2.40%,114.78%,121.93%,3.25,1.22%,0.00%,,,,,1/1/2001,2001,,34,1.66%,,,
,,,,,,,,,,,,,,,,,,2016,2/24/2016,$                                                        45.81,,,8/31/2015,,8/31/2015,,,,,1.55%,$              45.81,0.71,69.55,41.24,58.00,16%,52%,1.02%,1.72%,2.38%,113.14%,120.24%,3.25,1.22%,0.00%,,,,,1/1/2002,2002,,35,1.68%,,,
,,,,,,,,,,,,,,,,,,2016,2/25/2016,$                                                         46.11,,,9/8/2015,,9/8/2015,,,,,1.54%,$               46.11,0.71,69.55,41.24,58.00,17%,51%,1.02%,1.72%,2.36%,111.78%,118.83%,3.25,1.22%,0.00%,,,,,1/1/2003,2003,,36,,,,
,,,,,,,,,,,,,,,,,,2016,2/26/2016,$                                                       45.85,,,9/14/2015,,9/14/2015,,,,,1.55%,$             45.85,0.71,69.55,41.24,58.00,16%,52%,1.02%,1.72%,2.38%,112.96%,120.04%,3.25,1.22%,-0.55%,,,,,1/1/2004,2004,,37,,,,
,,,,,,,,,,,,,,,,,,2016,2/29/2016,$                                                       45.38,,,9/21/2015,,9/21/2015,,,,,1.56%,$             45.38,0.71,69.55,41.24,58.00,15%,53%,1.02%,1.72%,2.40%,115.16%,122.32%,3.25,1.22%,-1.57%,,,,,1/1/2005,2005,,38,,,,
,,,,,,,,,,,,,,,,,,2016,3/1/2016,$                                                       45.49,,,9/28/2015,,9/28/2015,,,,,1.56%,$             45.49,0.71,69.55,41.24,58.00,15%,53%,1.02%,1.72%,2.40%,114.64%,121.79%,3.25,1.22%,-1.33%,,,,,1/1/2006,2006,,39,,,,
,,,,,,,,,,,,,,,,,,2016,3/2/2016,$                                                       45.68,,,10/5/2015,,10/5/2015,,,,,1.55%,$             45.68,0.71,69.55,41.24,58.00,16%,52%,1.02%,1.72%,2.39%,113.77%,120.89%,3.25,1.22%,-0.93%,,,,,1/1/2007,2007,,40,,,,
,,,,,,,,,,,,,,,,,,2016,3/3/2016,$                                                       45.88,,,10/12/2015,,10/12/2015,,,,,1.55%,$             45.88,0.71,69.55,41.24,58.00,16%,52%,1.02%,1.72%,2.38%,112.84%,119.92%,3.25,1.22%,-0.50%,,,,,1/1/2008,2008,,41,,,,
,,,,,,,,,,,,,,,,,,2016,3/4/2016,$                                                       45.89,,,10/19/2015,,10/19/2015,,,,,1.55%,$             45.89,0.71,69.55,41.24,58.00,16%,52%,1.02%,1.72%,2.38%,112.77%,119.85%,3.25,1.22%,-0.47%,,,,,1/1/2009,2009,,42,,,,
,,,,,,,,,,,,,,,,,,2016,3/7/2016,$                                                       45.33,,,10/26/2015,,10/26/2015,,,,,1.57%,$             45.33,0.71,69.55,41.24,58.00,14%,53%,1.02%,1.72%,2.40%,115.42%,122.59%,3.25,1.22%,-1.69%,,,,,1/1/2010,2010,,43,,,,
