,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,CHRT LN,Cohort PLC,,,,,,,,,,97%,2%,$ 1.290,00,$       489.00,$       728.57,$       1.748,00,$    1.333,81,3.14%,1.02%,1.89%,4.70%,352.63%,361.19%,153%,,,,,,,NO,,,3.03%,0.86%,2.17%,0.03%,72
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Cohort PLC - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,2.74%,11/10/2017,,,,,,,,,,$        717.86,-44%,1.04%,$    1.314,20,$        321.43,$          285.00,$        218.96,0.77%,2.74%,1.87%,0.77%,-26.20%,-26.20%,-8%,,,,5Y CAGR,12.01%,,Cohort PLC - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,8.37%,,Cohort PLC - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Cohort PLC - Rating: 97% - Upside: 2%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                    380.00,,,12/29/2014,,12/29/2014,,,,,1.58%,380.00,6.00,588.45,218.96,321.43,44%,55%,1.02%,2.74%,3.53%,239.47%,247.47%,30.4,1.87%,0.00%,,1997,0.00,-,97,,,0,0.86%,32,32,1.19%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,380.00,,,1/5/2015,,1/5/2015,,,,,1.58%,380.00,6.00,588.45,218.96,321.43,44%,55%,1.02%,2.74%,3.53%,239.47%,247.47%,30.4,1.87%,0.00%,,1998,0.00,,2,,,1,0.89%,14,46,0.52%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,386.00,,,1/12/2015,,1/12/2015,,,,,1.55%,386.00,6.00,588.45,218.96,321.43,45%,52%,1.02%,2.74%,3.47%,234.20%,242.07%,30.4,1.87%,0.00%,,1999,0.00,,,,,2,0.92%,13,59,0.48%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,385.00,,,1/19/2015,,1/20/2015,,,,,1.56%,385.00,6.00,588.45,218.96,321.43,45%,53%,1.02%,2.74%,3.48%,235.06%,242.96%,30.4,1.87%,-0.26%,,2000,0.00,,1/1/1970,1970,,3,0.95%,23,82,0.85%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,385.00,,,1/26/2015,,1/26/2015,,,,,1.56%,385.00,6.00,588.45,218.96,321.43,45%,53%,1.02%,2.74%,3.48%,235.06%,242.96%,30.4,1.87%,-0.26%,,2001,0.00,,1/1/1971,1971,,4,0.98%,37,119,1.37%
