,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,CL US,Colgate-Palmolive Co,,,,,,,,,,59%,10%,$       90.75,$          77.83,$          87.95,$           108.77,$          99.58,2.92%,2.07%,2.35%,3.30%,56.79%,62.61%,162%,,,,,,,NO,,,2.79%,1.87%,0.92%,0.02%,46
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,2.55%,,Colgate-Palmolive Co - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,2.65%,11/10/2017,,,,,,,,,,$          87.95,-3%,2.27%,$          99.58,$           66.18,$             57.88,$          58.56,1.82%,2.65%,2.34%,1.76%,-16.57%,-16.57%,-34%,,,,5Y CAGR,2.85%,,Colgate-Palmolive Co - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,2.89%,,Colgate-Palmolive Co - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Colgate-Palmolive Co - Rating: 59% - Upside: 10%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                        64.71,,,12/29/2014,,12/29/2014,,,,,2.40%,$              64.71,1.55,74.93,58.56,66.18,38%,16%,2.07%,2.65%,2.95%,40.24%,50.30%,6.51,2.34%,0.00%,,1997,0.00,-,59,,,0,1.87%,3,3,0.11%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       65.00,,,1/5/2015,,1/5/2015,,,,,2.38%,$             65.00,1.55,74.93,58.56,66.18,39%,15%,2.07%,2.65%,2.94%,39.62%,49.63%,6.51,2.34%,0.00%,,1998,0.00,,10,,,1,1.89%,7,10,0.26%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        64.14,,,1/12/2015,,1/12/2015,,,,,2.42%,$              64.14,1.55,74.93,58.56,66.18,34%,17%,2.07%,2.65%,2.98%,41.49%,51.64%,6.51,2.34%,-1.32%,,1999,0.00,,,,,2,1.91%,9,19,0.34%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                        63.01,,,1/20/2015,,1/20/2015,,,,,2.46%,$              63.01,1.55,74.93,58.56,66.18,27%,19%,2.07%,2.65%,3.03%,44.02%,54.36%,6.51,2.34%,-3.06%,,2000,0.00,,1/1/1970,1970,,3,1.93%,9,28,0.34%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       62.55,,,1/26/2015,,1/26/2015,,,,,2.48%,$             62.55,1.55,74.93,58.56,66.18,24%,20%,2.07%,2.65%,3.05%,45.08%,55.49%,6.51,2.34%,-3.77%,,2001,0.00,,1/1/1971,1971,,4,1.95%,12,40,0.45%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                        62.81,,,2/2/2015,,2/2/2015,,,,,2.47%,$              62.81,1.55,74.93,58.56,66.18,26%,19%,2.07%,2.65%,3.04%,44.48%,54.85%,6.51,2.34%,-3.37%,,2002,0.36,,1/1/1972,1972,,5,1.97%,7,47,0.26%
