,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,CM CN,Canadian Imperial Bank,,,,,,,,,,140%,-23%,$     165.68,$          30.04,$          69.29,$           169.94,$         218.41,17.28%,2.74%,7.65%,10.32%,390.11%,390.11%,144%,,,,,,,NO,,,14.96%,2.13%,12.83%,0.20%,64
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Canadian Imperial Bank - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,11.62%,11/10/2017,,,,,,,,,,$          40.37,-76%,2.11%,$        127.25,$          38.35,$              33.81,$          28.54,2.05%,11.62%,8.64%,2.05%,-2.51%,-2.51%,-10%,,,,5Y CAGR,-10.24%,,Canadian Imperial Bank - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,-3.22%,,Canadian Imperial Bank - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Canadian Imperial Bank - Rating: 140% - Upside: -23%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       45.86,,,12/29/2014,,12/29/2014,,,,,10.55%,$             45.86,4.84,176.48,41.67,55.99,3%,285%,2.74%,11.62%,7.61%,261.27%,307.15%,21.04,8.64%,0.00%,,1997,0.00,-,140,,,0,2.13%,49,49,1.85%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       45.94,,,1/5/2015,,1/5/2015,,,,,10.54%,$             45.94,4.84,176.48,41.67,55.99,3%,284%,2.74%,11.62%,7.60%,260.64%,306.44%,21.04,8.64%,0.00%,,1998,0.00,,-23,,,1,2.33%,18,67,0.68%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       45.64,,,1/12/2015,,1/12/2015,,,,,10.60%,$             45.64,4.84,176.48,41.67,55.99,3%,287%,2.74%,11.62%,7.65%,263.01%,309.11%,21.04,8.64%,-0.65%,,1999,0.00,,,,,2,2.53%,49,116,1.85%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       44.84,,,1/19/2015,,1/20/2015,,,,,10.79%,$             44.84,4.84,176.48,41.67,55.99,2%,294%,2.74%,11.62%,7.78%,269.49%,316.41%,21.04,8.64%,-2.39%,,2000,0.00,,1/1/1970,1970,,3,2.73%,45,161,1.70%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       44.57,,,1/26/2015,,1/26/2015,,,,,10.86%,$             44.57,4.84,176.48,41.67,55.99,2%,296%,2.74%,11.62%,7.83%,271.73%,318.94%,21.04,8.64%,-2.98%,,2001,0.00,,1/1/1971,1971,,4,2.93%,37,198,1.40%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                       44.37,,,2/2/2015,,2/2/2015,,,,,10.91%,$             44.37,4.84,176.48,41.67,55.99,2%,298%,2.74%,11.62%,7.87%,273.45%,320.87%,21.04,8.64%,-3.43%,,2002,1.64,,1/1/1972,1972,,5,3.13%,17,215,0.64%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                       44.45,,,2/9/2015,,2/9/2015,,,,,10.89%,$             44.45,4.84,176.48,41.67,55.99,2%,297%,2.74%,11.62%,7.85%,272.78%,320.11%,21.04,8.64%,-3.25%,,2003,1.73,5.49%,1/1/1973,1973,,6,3.33%,35,250,1.32%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                       43.30,,,2/17/2015,,2/17/2015,,,,,11.18%,$             43.30,4.84,176.48,41.67,55.99,1%,308%,2.74%,11.62%,8.06%,282.63%,331.22%,21.04,8.64%,-5.75%,,2004,2.35,35.84%,1/1/1974,1974,,7,3.53%,33,283,1.25%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                        43.31,,,2/23/2015,,2/23/2015,,,,,11.18%,$              43.31,4.84,176.48,41.67,55.99,1%,307%,2.74%,11.62%,8.06%,282.54%,331.12%,21.04,8.64%,-5.72%,,2005,2.69,14.47%,1/1/1975,1975,,8,3.73%,67,350,2.53%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                       42.45,,,3/2/2015,,3/2/2015,,,,,11.40%,$             42.45,4.84,176.48,41.67,55.99,1%,316%,2.74%,11.62%,8.22%,290.34%,339.91%,21.04,8.64%,-7.61%,,2006,2.78,3.35%,1/1/1976,1976,,9,3.93%,76,426,2.87%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,$                                                       42.23,,,3/9/2015,,3/9/2015,,,,,11.46%,$             42.23,4.84,176.48,41.67,55.99,0%,318%,2.74%,11.62%,8.27%,292.37%,342.20%,21.04,8.64%,-8.09%,,2007,3.28,17.99%,1/1/1977,1977,,10,4.13%,84,510,3.17%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                       42.92,,,3/16/2015,,3/16/2015,,,,,11.28%,$             42.92,4.84,176.48,41.67,55.99,1%,311%,2.74%,11.62%,8.13%,286.02%,335.04%,21.04,8.64%,-6.57%,,2008,3.48,6.10%,1/1/1978,1978,,11,4.33%,24,534,0.91%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                         41.71,,,3/23/2015,,3/23/2015,,,,,11.60%,$               41.71,4.84,176.48,41.67,55.99,0%,323%,2.74%,11.62%,8.37%,297.22%,347.66%,21.04,8.64%,-9.21%,,2009,3.48,0.00%,1/1/1979,1979,,12,4.53%,23,557,0.87%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                       42.28,,,3/30/2015,,3/30/2015,,,,,11.45%,$             42.28,4.84,176.48,41.67,55.99,0%,317%,2.74%,11.62%,8.25%,291.86%,341.63%,21.04,8.64%,-7.97%,,2010,3.48,0.00%,1/1/1980,1980,,13,4.73%,36,593,1.36%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,$                                                       44.04,,,4/6/2015,,4/6/2015,,,,,10.99%,$             44.04,4.84,176.48,41.67,55.99,2%,301%,2.74%,11.62%,7.92%,276.20%,323.98%,21.04,8.64%,-4.14%,,2011,3.54,1.72%,1/1/1981,1981,,14,4.93%,54,647,2.04%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,$                                                       42.82,,,4/13/2015,,4/13/2015,,,,,11.30%,$             42.82,4.84,176.48,41.67,55.99,1%,312%,2.74%,11.62%,8.15%,286.97%,336.11%,21.04,8.64%,-6.80%,,2012,3.68,3.95%,1/1/1982,1982,,15,5.13%,116,763,4.38%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,$                                                       43.50,,,4/20/2015,,4/20/2015,,,,,11.13%,$             43.50,4.84,176.48,41.67,55.99,1%,306%,2.74%,11.62%,8.02%,280.87%,329.24%,21.04,8.64%,-5.31%,,2013,3.82,3.80%,1/1/1983,1983,,16,5.33%,53,816,2.00%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,$                                                       43.84,,,4/27/2015,,4/27/2015,,,,,11.04%,$             43.84,4.84,176.48,41.67,55.99,2%,303%,2.74%,11.62%,7.96%,277.92%,325.91%,21.04,8.64%,-4.57%,,2014,4.01,4.97%,1/1/1984,1984,,17,5.53%,76,892,2.87%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,$                                                         45.11,,,5/4/2015,,5/4/2015,,,,,10.73%,$               45.11,4.84,176.48,41.67,55.99,3%,291%,2.74%,11.62%,7.74%,267.28%,313.92%,21.04,8.64%,-1.81%,,2015,4.42,10.22%,1/1/1985,1985,,18,5.73%,18,910,0.68%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,$                                                       45.62,,,5/11/2015,,5/11/2015,,,,,10.61%,$             45.62,4.84,176.48,41.67,55.99,3%,287%,2.74%,11.62%,7.65%,263.17%,309.29%,21.04,8.64%,-0.70%,,2016,4.84,9.50%,1/1/1986,1986,,19,5.93%,79,989,2.98%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,$                                                        45.19,,,5/19/2015,,5/18/2015,,,,,10.71%,$              45.19,4.84,176.48,41.67,55.99,3%,291%,2.74%,11.62%,7.72%,266.63%,313.19%,21.04,8.64%,-1.63%,,2017,5.14,6.20%,1/1/1987,1987,,20,6.13%,69,1058,2.61%
,,,,,,,,,,,,,,,,,,2016,2/2/2016,$                                                       44.54,,,5/25/2015,,5/26/2015,,,,,10.87%,$             44.54,4.84,176.48,41.67,55.99,2%,296%,2.74%,11.62%,7.84%,271.98%,319.22%,21.04,8.64%,-3.05%,,2018,5.38,4.67%,1/1/1988,1988,,21,6.33%,31,1089,1.17%
,,,,,,,,,,,,,,,,,,2016,2/3/2016,$                                                       44.53,,,6/1/2015,,6/1/2015,,,,,10.87%,$             44.53,4.84,176.48,41.67,55.99,2%,296%,2.74%,11.62%,7.84%,272.06%,319.31%,21.04,8.64%,-3.07%,,2019,5.68,5.58%,1/1/1989,1989,,22,6.53%,16,1105,0.60%
