,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,CNC LN,Concurrent Technologies PLC,,,,,,,,,,70%,20%,$    275.00,$           38.21,$           90.71,$          276.00,$        160.64,4.11%,1.62%,2.78%,0.00%,395.50%,403.30%,,,,,,,,NO,,,3.86%,1.50%,2.36%,0.03%,79
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,,,Concurrent Technologies PLC - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,3.66%,11/10/2017,,,,,,,,,,$          48.84,-82%,1.94%,$          86.50,$          48.84,$             55.50,$           38.21,1.46%,3.66%,2.87%,0.00%,-0.36%,-0.36%,,,,,5Y CAGR,,,Concurrent Technologies PLC - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,,,Concurrent Technologies PLC - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Concurrent Technologies PLC - Rating: 70% - Upside: 20%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       59.00,,,12/29/2014,,12/29/2014,,,,,3.39%,59.00,2.00,123.57,54.58,69.78,6%,109%,1.62%,3.66%,,366.10%,381.10%,8.85,2.87%,0.00%,,1997,0.00,-,70,,,0,1.50%,16,16,0.90%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,60.00,,,1/5/2015,,1/5/2015,,,,,3.33%,60.00,2.00,123.57,54.58,69.78,8%,106%,1.62%,3.66%,,358.33%,373.08%,8.85,2.87%,0.00%,,1998,0.00,,20,,,1,1.53%,14,30,0.78%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,60.00,,,1/12/2015,,1/12/2015,,,,,3.33%,60.00,2.00,123.57,54.58,69.78,8%,106%,1.62%,3.66%,,358.33%,373.08%,8.85,2.87%,0.00%,,1999,0.00,,,,,2,1.56%,24,54,1.34%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,58.50,,,1/19/2015,,1/20/2015,,,,,3.42%,58.50,2.00,123.57,54.58,69.78,6%,111%,1.62%,3.66%,,370.09%,385.21%,8.85,2.87%,-2.50%,,2000,0.00,,1/1/1970,1970,,3,1.59%,31,85,1.74%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,58.50,,,1/26/2015,,1/26/2015,,,,,3.42%,58.50,2.00,123.57,54.58,69.78,6%,111%,1.62%,3.66%,,370.09%,385.21%,8.85,2.87%,-2.50%,,2001,0.00,,1/1/1971,1971,,4,1.62%,28,113,1.57%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,56.50,,,2/2/2015,,2/2/2015,,,,,3.54%,56.50,2.00,123.57,54.58,69.78,3%,119%,1.62%,3.66%,,386.73%,402.39%,8.85,2.87%,-5.83%,,2002,0.00,,1/1/1972,1972,,5,1.65%,8,121,0.45%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,57.50,,,2/9/2015,,2/9/2015,,,,,3.48%,57.50,2.00,123.57,54.58,69.78,4%,115%,1.62%,3.66%,,378.26%,393.65%,8.85,2.87%,-4.17%,,2003,0.60,,1/1/1973,1973,,6,1.68%,10,131,0.56%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,57.50,,,2/16/2015,,2/17/2015,,,,,3.48%,57.50,2.00,123.57,54.58,69.78,4%,115%,1.62%,3.66%,,378.26%,393.65%,8.85,2.87%,-4.17%,,2004,0.50,-16.67%,1/1/1974,1974,,7,1.71%,7,138,0.39%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,61.00,,,2/23/2015,,2/23/2015,,,,,3.28%,61.00,2.00,123.57,54.58,69.78,9%,103%,1.62%,3.66%,,350.82%,365.33%,8.85,2.87%,0.00%,,2005,0.50,0.00%,1/1/1975,1975,,8,1.74%,18,156,1.01%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,62.00,,,3/2/2015,,3/2/2015,,,,,3.23%,62.00,2.00,123.57,54.58,69.78,11%,99%,1.62%,3.66%,,343.55%,357.82%,8.85,2.87%,0.00%,,2006,0.85,70.00%,1/1/1976,1976,,9,1.77%,18,174,1.01%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,60.50,,,3/9/2015,,3/9/2015,,,,,3.31%,60.50,2.00,123.57,54.58,69.78,9%,104%,1.62%,3.66%,,354.55%,369.17%,8.85,2.87%,-2.42%,,2007,1.05,23.53%,1/1/1977,1977,,10,1.80%,9,183,0.50%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,60.50,,,3/16/2015,,3/16/2015,,,,,3.31%,60.50,2.00,123.57,54.58,69.78,9%,104%,1.62%,3.66%,,354.55%,369.17%,8.85,2.87%,-2.42%,,2008,1.25,19.05%,1/1/1978,1978,,11,1.83%,24,207,1.34%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,61.50,,,3/23/2015,,3/23/2015,,,,,3.25%,61.50,2.00,123.57,54.58,69.78,10%,101%,1.62%,3.66%,,347.15%,361.54%,8.85,2.87%,-0.81%,,2009,1.35,8.00%,1/1/1979,1979,,12,1.86%,20,227,1.12%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,61.00,,,3/30/2015,,3/30/2015,,,,,3.28%,61.00,2.00,123.57,54.58,69.78,9%,103%,1.62%,3.66%,,350.82%,365.33%,8.85,2.87%,-1.61%,,2010,1.45,7.41%,1/1/1980,1980,,13,1.89%,8,235,0.45%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,61.00,,,4/7/2015,,4/6/2015,,,,,3.28%,61.00,2.00,123.57,54.58,69.78,9%,103%,1.62%,3.66%,,350.82%,365.33%,8.85,2.87%,-1.61%,,2011,1.55,6.90%,1/1/1981,1981,,14,1.92%,9,244,0.50%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,61.00,,,4/13/2015,,4/13/2015,,,,,3.28%,61.00,2.00,123.57,54.58,69.78,9%,103%,1.62%,3.66%,,350.82%,365.33%,8.85,2.87%,-1.61%,,2012,1.65,6.45%,1/1/1982,1982,,15,1.95%,5,249,0.28%
