,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,CNI US,Canadian National Railway,,,,,,,,,,37%,42%,$     129.48,$           98.21,$         138.16,$           136.63,$        183.76,2.80%,1.39%,1.89%,4.88%,171.90%,183.31%,141%,,,,,,,NO,,,2.74%,1.18%,1.56%,0.02%,78
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,3.09%,,Canadian National Railway  - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,2.59%,11/10/2017,,,,,,,,,,$         138.16,7%,1.97%,$        183.76,$          62.24,$             47.62,$          44.25,1.16%,2.59%,1.84%,1.70%,-5.23%,-5.23%,-9%,,,,5Y CAGR,5.32%,,Canadian National Railway  - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,8.30%,,Canadian National Railway  - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Canadian National Railway  - Rating: 37% - Upside: 42%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       54.86,,,12/29/2014,,12/29/2014,,,,,2.09%,$             54.86,1.15,82.79,44.25,62.24,28%,51%,1.39%,2.59%,4.24%,136.02%,145.92%,5.4319,1.84%,0.00%,,1997,0.00,-,37,,,0,1.18%,25,25,0.94%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       53.96,,,1/5/2015,,1/5/2015,,,,,2.13%,$             53.96,1.15,82.79,44.25,62.24,25%,53%,1.39%,2.59%,4.31%,139.96%,150.02%,5.4319,1.84%,-1.64%,,1998,0.00,,42,,,1,1.20%,10,35,0.38%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        52.17,,,1/12/2015,,1/12/2015,,,,,2.20%,$              52.17,1.15,82.79,44.25,62.24,21%,59%,1.39%,2.59%,4.46%,148.19%,158.60%,5.4319,1.84%,-4.90%,,1999,0.00,,,,,2,1.22%,20,55,0.75%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                        51.03,,,1/20/2015,,1/20/2015,,,,,2.25%,$              51.03,1.15,82.79,44.25,62.24,18%,62%,1.39%,2.59%,4.56%,153.73%,164.38%,5.4319,1.84%,-6.98%,,2000,0.00,,1/1/1970,1970,,3,1.24%,19,74,0.72%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                        51.33,,,1/26/2015,,1/26/2015,,,,,2.24%,$              51.33,1.15,82.79,44.25,62.24,18%,61%,1.39%,2.59%,4.53%,152.25%,162.83%,5.4319,1.84%,-6.43%,,2001,0.00,,1/1/1971,1971,,4,1.26%,8,82,0.30%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                         51.61,,,2/2/2015,,2/2/2015,,,,,2.22%,$               51.61,1.15,82.79,44.25,62.24,19%,60%,1.39%,2.59%,4.50%,150.88%,161.41%,5.4319,1.84%,-5.92%,,2002,0.09,,1/1/1972,1972,,5,1.28%,4,86,0.15%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                       52.49,,,2/9/2015,,2/9/2015,,,,,2.19%,$             52.49,1.15,82.79,44.25,62.24,21%,58%,1.39%,2.59%,4.43%,146.68%,157.02%,5.4319,1.84%,-4.32%,,2003,0.12,32.36%,1/1/1973,1973,,6,1.30%,4,90,0.15%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                       50.77,,,2/17/2015,,2/17/2015,,,,,2.26%,$             50.77,1.15,82.79,44.25,62.24,17%,63%,1.39%,2.59%,4.58%,155.03%,165.73%,5.4319,1.84%,-7.46%,,2004,0.15,23.94%,1/1/1974,1974,,7,1.32%,5,95,0.19%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                        51.60,,,2/23/2015,,2/23/2015,,,,,2.22%,$              51.60,1.15,82.79,44.25,62.24,19%,60%,1.39%,2.59%,4.51%,150.93%,161.46%,5.4319,1.84%,-5.94%,,2005,0.21,38.14%,1/1/1975,1975,,8,1.34%,7,102,0.26%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                       49.83,,,3/2/2015,,3/2/2015,,,,,2.30%,$             49.83,1.15,82.79,44.25,62.24,14%,66%,1.39%,2.59%,4.67%,159.84%,170.74%,5.4319,1.84%,-9.17%,,2006,0.29,38.11%,1/1/1976,1976,,9,1.36%,11,113,0.41%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                       49.22,,,3/9/2015,,3/9/2015,,,,,2.33%,$             49.22,1.15,82.79,44.25,62.24,13%,68%,1.39%,2.59%,4.72%,163.06%,174.10%,5.4319,1.84%,-10.28%,,2007,0.39,36.35%,1/1/1977,1977,,10,1.38%,17,130,0.64%
