,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,CNQ CN,Canadian Natural Resources Ltd,,,,,,,,,,51%,46%,$       65.48,$          34.39,$           55.15,$             69.50,$          95.90,15.45%,2.42%,4.28%,33.64%,1090.55%,1090.55%,128%,,,,,,,NO,,,9.83%,2.13%,7.71%,0.10%,77
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,7.92%,,Canadian Natural Resources Ltd - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,6.76%,11/10/2017,,,,,,,,,,$           55.15,-16%,3.55%,$          95.90,$             11.15,$                5.50,$             6.95,2.05%,6.76%,4.22%,2.66%,-5.78%,-5.78%,-31%,,,,5Y CAGR,18.41%,,Canadian Natural Resources Ltd - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,17.34%,,Canadian Natural Resources Ltd - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Canadian Natural Resources Ltd - Rating: 51% - Upside: 46%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                        14.83,,,12/29/2014,,12/29/2014,,,,,3.17%,$              14.83,0.47,19.39,6.95,11.15,63%,31%,2.42%,6.76%,12.47%,341.41%,357.86%,2.44,4.22%,0.00%,,1997,0.00,-,51,,,0,2.13%,39,39,1.47%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                         15.15,,,1/5/2015,,1/5/2015,,,,,3.10%,$               15.15,0.47,19.39,6.95,11.15,66%,28%,2.42%,6.76%,12.22%,332.35%,348.46%,2.44,4.22%,0.00%,,1998,0.00,,46,,,1,2.23%,46,85,1.74%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        14.48,,,1/12/2015,,1/12/2015,,,,,3.24%,$              14.48,0.47,19.39,6.95,11.15,61%,34%,2.42%,6.76%,12.77%,352.09%,368.93%,2.44,4.22%,-4.37%,,1999,0.00,,,,,2,2.33%,37,122,1.40%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                        13.59,,,1/19/2015,,1/20/2015,,,,,3.46%,$              13.59,0.47,19.39,6.95,11.15,53%,43%,2.42%,6.76%,13.62%,381.98%,399.94%,2.44,4.22%,-10.30%,,2000,0.00,,1/1/1970,1970,,3,2.43%,87,209,3.29%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                        13.47,,,1/26/2015,,1/26/2015,,,,,3.49%,$              13.47,0.47,19.39,6.95,11.15,52%,44%,2.42%,6.76%,13.73%,386.04%,404.15%,2.44,4.22%,-11.05%,,2001,0.00,,1/1/1971,1971,,4,2.53%,63,272,2.38%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                        12.74,,,2/2/2015,,2/2/2015,,,,,3.69%,$              12.74,0.47,19.39,6.95,11.15,47%,52%,2.42%,6.76%,14.52%,414.10%,433.25%,2.44,4.22%,-15.90%,,2002,0.03,,1/1/1972,1972,,5,2.63%,60,332,2.27%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                        12.34,,,2/9/2015,,2/9/2015,,,,,3.81%,$              12.34,0.47,19.39,6.95,11.15,43%,57%,2.42%,6.76%,15.00%,430.75%,450.53%,2.44,4.22%,-18.54%,,2003,0.04,20.00%,1/1/1973,1973,,6,2.73%,68,400,2.57%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                        12.20,,,2/17/2015,,2/17/2015,,,,,3.85%,$              12.20,0.47,19.39,6.95,11.15,42%,59%,2.42%,6.76%,15.17%,436.77%,456.77%,2.44,4.22%,-19.45%,,2004,0.05,33.33%,1/1/1974,1974,,7,2.83%,85,485,3.21%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                        12.78,,,2/23/2015,,2/23/2015,,,,,3.68%,$              12.78,0.47,19.39,6.95,11.15,47%,52%,2.42%,6.76%,14.47%,412.31%,431.40%,2.44,4.22%,-15.61%,,2005,0.06,18.13%,1/1/1975,1975,,8,2.93%,59,544,2.23%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                        12.06,,,3/2/2015,,3/2/2015,,,,,3.90%,$              12.06,0.47,19.39,6.95,11.15,41%,61%,2.42%,6.76%,15.34%,442.92%,463.15%,2.44,4.22%,-20.37%,,2006,0.08,26.98%,1/1/1976,1976,,9,3.03%,24,568,0.91%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,$                                                         11.80,,,3/9/2015,,3/9/2015,,,,,3.98%,$               11.80,0.47,19.39,6.95,11.15,39%,64%,2.42%,6.76%,15.67%,454.72%,475.39%,2.44,4.22%,-22.06%,,2007,0.09,13.33%,1/1/1977,1977,,10,3.13%,34,602,1.28%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                          11.31,,,3/16/2015,,3/16/2015,,,,,4.16%,$                11.31,0.47,19.39,6.95,11.15,35%,71%,2.42%,6.76%,16.36%,478.92%,500.49%,2.44,4.22%,-25.32%,,2008,0.10,17.65%,1/1/1978,1978,,11,3.23%,20,622,0.76%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                         11.30,,,3/23/2015,,3/23/2015,,,,,4.16%,$               11.30,0.47,19.39,6.95,11.15,35%,72%,2.42%,6.76%,16.37%,479.42%,501.01%,2.44,4.22%,-25.38%,,2009,0.11,5.00%,1/1/1979,1979,,12,3.33%,31,653,1.17%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                        12.25,,,3/30/2015,,3/30/2015,,,,,3.84%,$              12.25,0.47,19.39,6.95,11.15,43%,58%,2.42%,6.76%,15.10%,434.60%,454.52%,2.44,4.22%,-19.13%,,2010,0.15,42.86%,1/1/1980,1980,,13,3.43%,43,696,1.62%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,$                                                        12.86,,,4/6/2015,,4/6/2015,,,,,3.65%,$              12.86,0.47,19.39,6.95,11.15,48%,51%,2.42%,6.76%,14.39%,409.16%,428.14%,2.44,4.22%,-15.09%,,2011,0.18,20.00%,1/1/1981,1981,,14,3.53%,54,750,2.04%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,$                                                        12.29,,,4/13/2015,,4/13/2015,,,,,3.82%,$              12.29,0.47,19.39,6.95,11.15,43%,58%,2.42%,6.76%,15.06%,432.89%,452.74%,2.44,4.22%,-18.87%,,2012,0.21,16.67%,1/1/1982,1982,,15,3.63%,57,807,2.15%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,$                                                        13.04,,,4/20/2015,,4/20/2015,,,,,3.60%,$              13.04,0.47,19.39,6.95,11.15,49%,49%,2.42%,6.76%,14.19%,402.23%,420.94%,2.44,4.22%,-13.91%,,2013,0.29,36.90%,1/1/1983,1983,,16,3.73%,91,898,3.44%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,$                                                        13.66,,,4/27/2015,,4/27/2015,,,,,3.44%,$              13.66,0.47,19.39,6.95,11.15,54%,42%,2.42%,6.76%,13.54%,379.37%,397.23%,2.44,4.22%,-9.81%,,2014,0.45,56.52%,1/1/1984,1984,,17,3.83%,74,972,2.79%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,$                                                        14.40,,,5/4/2015,,5/4/2015,,,,,3.26%,$              14.40,0.47,19.39,6.95,11.15,60%,35%,2.42%,6.76%,12.85%,354.72%,371.67%,2.44,4.22%,-4.92%,,2015,0.46,2.22%,1/1/1985,1985,,18,3.93%,100,1072,3.78%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,$                                                        14.80,,,5/11/2015,,5/11/2015,,,,,3.18%,$              14.80,0.47,19.39,6.95,11.15,63%,31%,2.42%,6.76%,12.50%,342.44%,358.93%,2.44,4.22%,-2.28%,,2016,0.47,2.17%,1/1/1986,1986,,19,4.03%,129,1201,4.87%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,$                                                        14.36,,,5/19/2015,,5/18/2015,,,,,3.27%,$              14.36,0.47,19.39,6.95,11.15,60%,35%,2.42%,6.76%,12.88%,355.97%,372.96%,2.44,4.22%,-5.18%,,2017,0.55,17.02%,1/1/1987,1987,,20,4.13%,124,1325,4.68%
,,,,,,,,,,,,,,,,,,2016,2/2/2016,$                                                        13.69,,,5/25/2015,,5/26/2015,,,,,3.43%,$              13.69,0.47,19.39,6.95,11.15,54%,42%,2.42%,6.76%,13.51%,378.16%,395.97%,2.44,4.22%,-9.58%,,2018,0.67,21.82%,1/1/1988,1988,,21,4.23%,127,1452,4.80%
,,,,,,,,,,,,,,,,,,2016,2/3/2016,$                                                        14.78,,,6/1/2015,,6/1/2015,,,,,3.18%,$              14.78,0.47,19.39,6.95,11.15,63%,31%,2.42%,6.76%,12.52%,343.18%,359.70%,2.44,4.22%,-2.44%,,2019,0.75,11.94%,1/1/1989,1989,,22,4.33%,104,1556,3.93%
